DateTime,AddedIPs,RemovedIPs
1517458516,3,3
1517459715,3,0
1517460016,3,0
1517460616,3,0
1517461216,5,0
1517461515,12,3
1517462115,6,0
1517462416,2,0
1517463017,9,3
1517463615,5,0
1517464215,3,0
1517464515,3,0
1517465115,26,0
1517466015,2,0
1517466617,1,0
1517466915,1,0
1517467214,8,0
1517467815,25,0
1517468116,3,0
1517468415,3,0
1517469016,7,0
1517469315,15,6
1517469615,13,0
1517470216,38,0
1517472615,8,0
1517473215,18,0
1517475916,18,0
1517478016,1,0
1517478615,10,0
1517478916,16,0
1517481615,1,0
1517482215,5,0
1517482816,10,0
1517484620,13,0
1517485216,8,0
1517486715,12,0
1517487615,1,0
1517488215,14,0
1517488816,99,0
1517489115,92,3
1517489715,1,0
1517490615,1,0
1517491216,1,0
1517491515,1,0
1517492115,18,0
1517492715,5,0
1517493016,1,0
1517493616,2,0
1517493915,1,0
1517494515,1,0
1517494816,30,0
1517495717,256,0
1517496017,9,0
1517496615,37,0
1517496915,36,3
1517497816,2,0
1517498116,4,0
1517498415,1,0
1517500215,121,0
1517500817,67,0
1517502916,2,0
1517503216,4,0
1517503816,151,21
1517504415,34,3
1517505315,1,0
1517506216,7,0
1517506515,7,0
1517507115,2,0
1517508018,1,0
1517510417,4,0
1517511016,1,0
1517512515,37,0
1517512819,105,0
1517513415,40,0
1517514016,10,0
1517514316,10,0
1517515814,1,0
1517516116,1,0
1517517615,3,0
1517518215,1,0
1517518816,1,0
1517519715,104,9
1517520015,4,3
1517520616,4,0
1517521815,5,0
1517522116,8,0
1517523015,35,0
1517524218,2,0
1517524816,2,0
1517527216,2,0
1517528114,161,0
1517528416,6,0
1517529616,2,0
1517530816,4,0
1517531415,2,0
1517533218,2,0
1517533816,6,0
1517534416,49,0
1517534722,11,0
1517536515,9,0
1517537116,10,0
1517537715,3,0
1517538326,16,0
1517538616,4,0
1517541616,2,0
1517541915,2,0
1517542817,1,0
1517543415,2,0
1517544016,1,0
1517545215,18,0
1517545516,2,0
1517546116,4,0
1517547616,6,0
1517548815,6,0
1517549116,1,0
1517550316,5,0
1517552416,38,0
1517554215,5,0
1517556615,2,0
1517557216,37,0
1517557818,24,0
1517558716,0,1
1517559015,7,0
1517559615,5,0
1517559926,11,0
1517560515,3,0
1517561415,1,0
1517563215,13,0
1517563815,6,0
1517565315,14,0
1517565915,7,0
1517566816,10,0
1517568316,1,0
1517568915,8,0
1517569516,7,0
1517570416,17,3
1517570722,12,0
1517571024,1,0
1517574018,4,0
1517574915,4,0
1517576716,5,0
1517578217,7,0
1517578816,10,0
1517581524,7,0
1517582114,3,0
1517582417,4,0
1517583914,15,0
1517584816,35,0
1517585416,106,0
1517586016,170,0
1517586316,161,0
1517586914,10,0
1517588115,8,0
1517588416,7,0
1517589615,1,0
1517591715,10,0
1517592316,19,0
1517593516,14,0
1517594115,34,0
1517594417,24,0
1517595015,10,0
1517595617,5,0
1517595914,27,0
1517596515,39,1
1517596816,14,0
1517597414,8,0
1517598016,1,0
1517599817,2,0
1517600416,2,0
1517601916,51,0
1517602816,79,0
1517603119,2,0
1517603715,11,0
1517604616,2,0
1517605216,1,0
1517605516,5,0
1517605816,23,0
1517606417,2,0
1517608515,4,0
1517609416,17,0
1517610016,16,0
1517610915,1,0
1517611823,2,0
1517613617,9,3
1517614815,41,0
1517616017,1,0
1517616616,14,0
1517617523,14,0
1517619915,9,0
1517621416,52,0
1517622016,6,0
1517624116,9,0
1517624729,13,0
1517625315,9,0
1517626216,91,24
1517626816,99,0
1517627716,6,0
1517628320,7,0
1517628915,3,0
1517630115,17,3
1517631616,8,0
1517632816,3,0
1517633415,2,0
1517633714,4,0
1517634018,1,0
1517635216,39,0
1517638515,3,0
1517639129,7,3
1517640016,6,0
1517642116,1,0
1517642417,2,0
1517643016,14,0
1517643315,2,3
1517646016,17,0
1517646618,1,0
1517646915,8,0
1517647216,8,0
1517647516,3,0
1517650515,7,0
1517650815,8,0
1517651416,18,0
1517652015,1,0
1517653216,3,0
1517653518,11,0
1517653817,1,0
1517654417,5,0
1517655315,5,0
1517658018,11,3
1517658615,30,0
1517658916,22,0
1517659216,14,0
1517660116,12,3
1517660416,2,0
1517664017,7,0
1517664315,1,0
1517666417,34,0
1517666717,44,0
1517667314,64,3
1517670315,3,0
1517671815,4,0
1517672416,153,0
1517672715,2,0
1517673315,4,0
1517676016,22,0
1517676315,5,0
1517678416,40,0
1517679016,58,0
1517679616,1,0
1517680214,1,0
1517680515,1,0
1517681115,1,0
1517681416,1,0
1517682015,3,0
1517682914,1,3
1517683215,6,0
1517683815,1,0
1517684416,1,0
1517684713,1,0
1517685314,50,0
1517685915,2,3
1517686515,2,0
1517687115,1,0
1517687714,34,0
1517688017,5,0
1517688916,5,0
1517690115,21,6
1517690415,4,0
1517691015,2,0
1517691916,3,0
1517692515,1,0
1517692816,3,0
1517693714,3,0
1517694016,1,0
1517694620,14,0
1517695216,8,0
1517695515,52,0
1517696116,16,0
1517696416,2,0
1517697016,3,0
1517697615,1,0
1517698215,30,0
1517698819,5,0
1517699415,1,0
1517699716,3,0
1517700015,2,0
1517700914,22,0
1517701514,1,0
1517702115,4,0
1517702417,4,0
1517702715,4,0
1517703016,16,0
1517703616,18,0
1517703916,11,0
1517704515,8,0
1517704815,6,0
1517705714,76,3
1517706017,11,0
1517706316,4,0
1517706914,56,0
1517708416,1,0
1517709616,1,0
1517710514,2,0
1517710816,9,0
1517711414,6,0
1517713516,19,0
1517714416,1,0
1517714724,25,0
1517716215,1,0
1517718331,6,0
1517718619,21,0
1517719216,1,0
1517720418,1,0
1517722216,1,0
1517722816,1,0
1517723415,2,0
1517724316,22,0
1517724915,7,0
1517726116,11,0
1517726415,6,0
1517727617,14,0
1517730015,8,0
1517731814,2,0
1517732416,47,0
1517733016,2,0
1517733315,10,0
1517733616,4,0
1517734215,10,0
1517735115,1,0
1517736015,11,3
1517736915,19,0
1517739615,6,0
1517739920,6,0
1517740815,30,0
1517741714,3,0
1517743821,36,0
1517744115,8,0
1517746217,8,0
1517746818,62,0
1517747414,42,0
1517750116,1,0
1517752818,41,0
1517755216,25,0
1517755516,68,0
1517756115,257,0
1517756416,33,0
1517757615,4,0
1517758815,26,0
1517759415,1,0
1517761215,56,0
1517761816,32,0
1517762116,8,0
1517762416,7,0
1517765416,2,0
1517766315,1,0
1517767216,2,0
1517769915,12,0
1517771117,69,0
1517771416,5,0
1517772016,29,0
1517774717,21,0
1517775314,6,0
1517775914,1,0
1517778017,2,0
1517778615,4,0
1517780415,57,0
1517781016,5,0
1517781916,1,0
1517783416,12,0
1517786415,49,0
1517786715,2,0
1517787615,12,0
1517788221,12,0
1517790616,6,0
1517791215,18,0
1517791815,20,0
1517793315,21,0
1517793917,1,0
1517795114,6,0
1517795415,1,0
1517797216,8,0
1517797815,14,0
1517798415,16,0
1517799014,8,0
1517800816,12,0
1517801715,5,0
1517803215,1,0
1517803516,13,0
1517804716,1,0
1517805016,1,0
1517805616,17,3
1517806817,10,0
1517808316,11,0
1517810417,6,0
1517812216,11,0
1517812817,3,0
1517813715,2,0
1517814315,1,0
1517815517,4,0
1517816415,2,0
1517817017,31,0
1517817615,35,0
1517819116,8,0
1517820615,3,0
1517822715,6,0
1517823314,17,1
1517823616,7,0
1517824216,7,0
1517824815,1,0
1517825714,18,3
1517826315,2,0
1517827815,14,1
1517828417,11,0
1517830516,7,0
1517831416,5,0
1517831716,53,9
1517832017,40,0
1517832615,6,0
1517834416,3,0
1517835616,43,0
1517836215,117,2
1517836515,87,0
1517838315,11,3
1517840416,3,0
1517841616,7,0
1517841916,102,0
1517842216,72,0
1517842515,161,0
1517842818,24,0
1517844315,9,0
1517846115,1,0
1517847615,43,0
1517848216,134,0
1517848816,4,0
1517849715,73,15
1517850018,167,6
1517850616,1,0
1517852716,2,0
1517853315,0,1
1517854516,6,0
1517854816,4,0
1517856615,1,0
1517864115,0,2
1517866816,1,0
1517868615,104,0
1517869215,67,3
1517882418,1,0
1517900716,0,3
1517920816,0,1
1517921414,0,1
1517922016,1,1
1517922316,0,3
1517925914,2,0
1517928016,1,0
1517930416,1,0
1517935815,18,0
1517936416,45,0
1517936716,20,0
1517937615,55,0
1517938216,113,0
1517938819,293,0
1517939416,210,3
1517940015,236,0
1517940315,2,0
1517940915,10,0
1517941515,88,3
1517944816,45,0
1517945716,3,0
1517946615,3,0
1517947816,5,0
1517949616,19,0
1517952915,1,0
1517953815,3,0
1517954416,40,0
1517956215,14,0
1517959216,2,0
1517961917,32,0
1517962516,64,0
1517964016,6,0
1517965815,31,0
1517967016,15,0
1517968216,5,0
1517968816,44,0
1517970316,7,0
1517971816,4,0
1517973618,7,0
1517973915,1,0
1517974216,1,0
1517974816,19,0
1517975415,4,0
1517976616,10,3
1517976915,1,0
1517978416,15,0
1517979915,18,0
1517981115,9,0
1517981417,7,0
1517985015,9,0
1517986215,6,0
1517987416,2,0
1517988015,11,0
1517991617,0,2
