DateTime,AddedIPs,RemovedIPs
1514364002,32,22
1514371924,1,1
1514380083,3,2
1514384165,2,2
1514399765,4,4
1514407448,7,7
1514415364,19,22
1514419442,909,871
1514427363,861,909
1514435284,13,13
1514443203,4,5
1514450884,6,8
1514458811,8,8
1514462883,2,2
1514470564,20,20
1514478484,2,3
1514486165,5,5
1514493844,2,1
1514501523,7,9
1514505614,891,856
1514513283,854,891
1514520964,91,86
1514528885,10,9
1514536803,112,103
1514544723,21,21
1514552410,19,19
1514556244,1,2
1514563925,18,19
1514571603,0,1
1514579285,4,1
1514587203,3,3
1514594884,13,869
1514602809,839,10
1514610485,41,39
1514618164,224,210
1514625844,3,4
1514633526,4,4
1514641445,11,9
1514649844,12,8
1514653684,2,3
1514661843,66,60
1514669764,62,60
1514677682,8,8
1514681522,105,865
1514689206,859,105
1514696884,148,143
1514704804,26,24
1514712484,16,16
1514720165,13,12
1514724003,12,15
1514731683,8,8
1514739362,11,9
1514747042,12,12
1514754723,10,8
1514762643,8,8
1514766725,520,873
1514774885,872,520
1514782565,155,154
1514786423,25,29
1514794083,15,15
1514802003,23,21
1514809693,10,11
1514817603,8,8
1514825522,7,6
1514833442,11,7
1514837284,9,9
1514844963,7,10
1514852644,883,872
1514860804,865,883
1514868484,216,220
1514876164,43,37
1514883843,17,15
1514887684,21,19
1514895364,12,12
1514903042,7,5
1514910725,11,10
1514918404,7,8
1514926562,8,7
1514934242,4,4
1514938083,911,874
1514946005,873,911
1514954164,174,166
1514961843,91,88
1514969523,15,14
1514977685,23,25
1514981525,17,17
1514989442,11,9
1514997123,5,5
1515004803,5,6
1515012722,14,14
1515020407,5,5
1515024245,877,884
1515033606,870,877
1515041523,168,151
1515049445,38,39
1515053522,15,15
1515061443,16,18
1515069123,15,18
1515077283,15,14
1515084964,12,12
1515093363,7,8
1515097203,8,9
1515105125,8,9
1515113285,889,879
1515120962,878,889
1515128645,214,206
1515132483,39,40
1515140164,20,22
1515147844,23,25
1515155524,19,17
1515163203,9,9
1515170882,7,6
1515178562,7,6
1515186244,5,8
1515190084,5,5
1515198485,890,882
1515206163,883,890
1515214084,173,171
1515221763,41,40
1515229443,16,16
1515233283,20,18
1515240963,13,13
1515248643,9,7
1515256564,8,8
1515264247,6,8
1515271922,4,4
1515279602,5,4
1515283684,876,889
1515291363,876,876
1515299044,186,186
1515306964,34,34
1515314645,19,19
1515322324,22,23
1515330012,17,18
1515333843,10,13
1515341522,10,8
1515349204,12,11
1515356885,8,7
1515365284,3,3
1515373207,890,875
1515377044,886,890
1515384724,214,217
1515392403,31,34
1515400085,44,47
1515408004,19,19
1515415683,26,26
1515423365,10,9
1515431284,6,6
