DateTime,AddedIPs,RemovedIPs
1517521216,16,13
1517522201,50,150
1517523142,93,13
1517524101,20,11
1517525079,40,11
1517526042,74,64
1517526982,17,11
1517528184,30,5
1517529136,30,13
1517529856,20,45
1517530103,32,10
1517531067,29,18
1517532013,21,8
1517533000,35,17
1517533950,42,17
1517534898,27,22
1517535861,22,11
1517536823,39,4
1517537798,25,11
1517538735,34,15
1517539711,29,7
1517540665,17,28
1517541616,17,3
1517542583,25,7
1517543547,23,10
1517544501,38,10
1517545724,88,124
1517546656,32,2
1517547624,33,11
1517548575,20,15
1517549564,28,24
1517550502,32,12
1517551464,29,20
1517552412,19,0
1517553397,16,22
1517554333,53,0
1517555299,25,34
1517556254,23,0
1517557217,24,7
1517558180,38,20
1517559163,23,21
1517560095,13,0
1517561061,30,13
1517562019,18,0
1517562982,23,9
1517563942,30,0
1517566013,59,33
1517567055,38,20
1517568053,24,9
1517568975,25,5
1517570200,34,10
1517571176,23,15
1517572099,22,11
1517573091,27,21
1517574033,31,21
1517574976,34,8
1517575942,32,20
1517576914,41,17
1517577857,35,17
1517578815,27,14
1517579775,23,13
1517580755,31,9
1517581693,44,16
1517582657,32,21
1517583626,21,8
1517584582,15,10
1517585542,22,20
1517586513,17,5
1517587470,41,12
1517588680,38,10
1517589639,19,11
1517590817,18,12
1517591790,891,1275
1517592739,26,16
1517593702,28,20
1517594669,34,0
1517595632,70,43
1517596583,52,17
1517597545,30,15
1517598494,19,11
1517599489,33,12
1517600413,30,13
1517601374,25,14
1517602353,37,25
1517603298,23,22
1517604257,28,21
1517605246,29,4
1517606183,17,10
1517607153,21,38
1517608108,12,9
1517609068,76,458
1517610016,21,19
1517610991,61,40
1517612466,34,37
1517613378,30,0
1517614918,29,8
1517615539,29,22
1517616030,40,18
1517616987,21,14
1517617947,15,25
1517618896,48,15
1517619868,37,0
1517621071,41,27
1517622013,23,0
1517622986,29,12
1517623945,28,12
1517624896,35,19
1517625863,20,16
1517626842,22,0
1517628036,38,26
1517629005,25,5
1517629935,27,11
1517630894,21,4
1517631875,140,91
1517632813,37,26
1517633781,26,17
1517634748,21,8
1517635706,30,8
1517636655,22,26
1517637629,24,9
1517638580,24,16
1517639542,28,21
1517640495,44,18
1517641481,21,15
1517642418,26,14
1517643381,32,19
1517644342,24,15
1517645295,24,15
1517646276,30,10
1517647214,30,21
1517648175,40,23
1517649156,21,15
1517650092,14,0
1517651064,41,7
1517652028,21,12
1517652982,33,17
1517653953,13,25
1517654924,15,17
1517656104,23,20
1517657066,27,12
1517658018,19,15
1517658977,28,28
1517660124,47,12
1517661147,22,21
1517662100,25,0
1517663069,19,16
1517664017,26,24
