DateTime,AddedIPs,RemovedIPs
1517699282,168,110
1517699522,15,12
1517700121,7,2
1517700724,106,53
1517701444,5,292
1517701922,1,11
1517702571,1,0
1517703602,79,0
1517703723,7,14
1517704563,0,98
1517704922,8,0
1517705524,128,0
1517706171,0,3
1517706721,1,5
1517707321,8,1
1517707922,12,0
1517707981,0,1
1517708521,7,6
1517709364,82,8
1517709770,8,0
1517710564,2,179
1517710922,1,8
1517711523,75,3
1517712122,1,0
1517713370,33,2
1517714521,7,0
1517715362,6,73
1517715721,15,0
1517716322,70,0
1517716921,1,8
1517717284,83,87
1517717521,12,0
1517718243,9,111
1517719204,113,0
1517719321,2,2
1517719921,4,0
1517720571,0,1
1517721124,77,8
1517722085,14,138
1517722321,1,0
1517722381,2,3
1517722921,12,4
1517723522,0,1
1517724122,6,0
1517724171,0,3
1517724722,0,5
1517725322,2,0
1517725981,1,2
1517726522,1,0
1517727122,103,69
1517728083,2,165
1517728322,6,0
1517728922,7,0
1517729521,7,5
1517730121,4,5
1517731209,73,0
1517731371,1,10
1517732521,1,23
1517733362,71,9
1517733722,1,3
1517734921,0,12
1517734971,0,1
1517735764,4,153
1517736721,0,2
1517737203,115,0
1517737322,1,20
1517738631,9,1
1517739122,6,0
1517739721,1,5
1517740382,4,19
1517741283,96,11
1517741763,13,121
1517742231,10,7
1517742696,28,0
1517743202,104,0
1517743321,10,15
1517744521,12,79
1517745122,1,0
1517745721,4,23
1517745831,0,1
1517746922,10,22
1517747581,0,1
1517748121,6,6
1517748963,79,19
1517749444,4,175
1517749922,0,1
1517750521,12,7
1517750884,113,0
1517751181,1,2
1517751721,8,20
1517752322,2,0
1517752971,5,34
1517753521,1,0
1517754122,3,2
1517754722,90,15
1517755322,21,15
1517755922,6,23
1517756571,6,1
1517757123,20,162
1517757722,4,1
1517758322,6,0
1517758562,103,0
1517758922,17,16
1517759521,0,1
1517760232,0,35
1517760964,2,72
1517761322,0,5
1517762402,84,0
1517762521,32,41
1517763831,21,16
1517764563,0,80
1517764921,2,10
1517765581,8,62
1517766122,3,2
1517766483,80,0
1517766721,33,28
1517767371,9,1
1517767921,3,2
1517768403,104,15
1517770564,5,186
1517770972,14,3
1517771522,1,0
1517772484,110,6
1517772781,22,16
1517773322,5,2
1517773921,7,0
1517774412,82,174
1517774572,15,25
1517775121,1,0
1517775721,9,4
1517776322,6,42
1517776381,0,1
1517776922,27,0
1517778242,97,1
1517778722,5,5
1517779322,3,1
1517780162,99,25
1517780521,9,6
1517781722,8,1
1517782083,0,194
1517782322,9,1
1517782922,8,1
1517783521,1,0
1517784004,98,0
1517784122,3,1
1517784722,4,0
1517785372,8,12
1517785921,13,12
1517786522,37,40
1517787182,2,6
1517788085,81,219
1517788322,7,9
1517788972,11,3
1517789523,6,5
1517790121,4,5
1517790721,5,0
1517791922,15,3
1517792632,9,1
1517793844,132,147
1517794921,5,24
1517796009,106,0
1517796121,3,1
1517797321,3,4
1517797924,64,95
1517797982,0,6
1517798521,6,2
1517799122,6,0
1517799772,10,0
1517800321,6,0
1517800923,15,3
1517801522,8,4
1517801764,73,75
1517802121,1,2
1517802723,10,3
1517803372,0,7
1517803921,3,0
1517804522,1,0
1517805122,8,1
1517805605,0,138
1517805722,7,5
1517806322,2,5
1517806972,5,10
1517807523,107,0
1517808122,4,0
1517808721,11,1
1517809444,92,13
1517809922,2,19
1517810572,16,23
1517811364,104,181
1517811722,5,4
1517812381,0,4
1517812921,3,0
1517813521,1,1
1517814172,4,2
1517814722,5,0
1517815443,1,71
1517815921,1,0
1517816522,10,2
1517817122,5,2
1517817609,88,0
1517817772,8,26
1517818321,1,0
1517819524,6,88
1517820121,1,0
1517821443,92,3
1517822521,19,0
1517823364,83,62
1517824321,2,2
1517824972,15,0
1517825521,6,1
1517826121,5,6
1517826782,1,0
1517827445,60,66
1517828632,2,2
1517829121,14,17
1517829607,74,76
1517829721,10,10
1517830381,1,7
1517830921,2,3
1517832232,14,3
1517832722,2,1
1517833453,74,62
1517834521,3,1
1517835121,4,0
1517835772,2,2
1517836921,4,1
1517837287,0,97
1517837581,6,1
1517838121,12,0
1517839208,109,0
1517839321,5,1
1517839372,0,2
1517839922,4,1
1517840522,1,0
1517841125,67,75
1517841181,0,5
1517841722,6,0
1517842972,4,2
1517843522,5,0
1517844122,9,1
1517844722,0,1
1517844965,77,13
1517845322,9,0
1517846884,7,155
1517847122,3,5
1517847721,5,0
1517848803,88,0
1517848922,20,0
1517849522,12,0
1517850172,20,0
1517850723,102,68
1517851321,13,29
1517852522,6,13
1517853121,13,0
1517853832,11,15
1517854322,3,0
1517854803,74,69
1517854921,12,1
1517855581,4,0
1517856121,4,0
1517856965,106,89
1517857432,9,2
1517857922,4,0
1517858522,10,7
1517858884,106,180
1517859182,5,0
1517860972,7,8
1517862121,20,8
1517862722,5,0
1517862962,90,0
1517863321,4,0
1517864572,8,4
1517865121,49,8
1517865722,3,4
1517866921,20,2
1517868172,14,0
1517868726,96,186
1517869054,35,11
1517869321,5,11
1517869922,15,3
1517870642,89,0
1517871121,59,14
1517871772,37,18
1517872322,8,0
1517872921,14,0
1517873521,11,0
1517873581,0,3
1517874122,13,4
1517874482,87,19
1517874722,10,3
1517875372,3,0
1517875923,6,0
1517876407,79,85
1517876522,14,1
1517877121,9,0
1517877722,1,0
1517878324,159,217
1517878921,9,1
1517880244,2,116
1517881322,10,0
1517881921,8,5
1517882168,101,0
1517882572,7,1
1517884088,14,130
1517884381,1,0
1517884922,3,4
1517885521,4,3
1517886007,59,0
1517886172,8,0
1517887321,14,0
1517887925,79,166
1517888521,4,1
1517889121,10,1
1517889773,4,4
1517890321,4,0
1517890921,4,0
1517891522,9,0
1517891765,121,0
1517892122,4,0
1517892722,3,2
1517893321,1,1
1517893373,0,3
1517893921,4,9
1517894521,13,2
1517895606,78,223
1517895965,22,10
1517896973,11,4
1517898122,3,5
1517898722,3,6
1517899447,125,7
1517899922,1,0
1517900633,12,8
1517901363,71,22
1517901722,2,0
