DateTime,AddedIPs,RemovedIPs
1517587476,266,255
1517588129,381,0
1517589009,115,0
1517589624,22,16
1517589923,167,385
1517591785,29,14
1517592609,217,176
1517593695,359,367
1517594169,146,0
1517595009,112,215
1517595629,24,25
1517596243,184,274
1517597540,146,178
1517599474,239,193
1517599913,223,1300
1517600871,143,92
1517601369,16,26
1517601784,123,189
1517602531,78,255
1517603295,29,23
1517603427,130,249
1517604325,102,90
1517605231,162,201
1517606110,158,0
1517607147,129,23
1517607908,108,292
1517609062,23,18
1517609734,0,254
1517610274,334,219
1517610986,4,23
1517611076,100,311
1517612128,123,1
1517612907,14,19
1517613020,94,156
1517613327,0,254
1517614904,146,34
1517615138,96,322
1517615866,118,173
1517616734,10,22
1517616940,110,1
1517617809,0,510
1517618652,267,29
1517618707,175,368
1517620601,665,495
1517621408,118,1
1517622007,106,352
1517622506,9,9
1517622907,115,0
1517624415,17,18
1517625010,144,451
1517626352,284,404
1517626567,109,1
1517627408,79,212
1517628521,129,13
1517629208,101,442
1517630433,36,34
1517630767,171,213
1517631249,88,0
1517632345,142,357
1517633107,124,166
1517634273,174,287
1517634943,120,1
1517636183,194,538
1517638121,196,23
1517638208,133,259
1517639441,134,0
1517640026,10,16
1517640309,173,463
1517641935,8,18
1517642416,266,275
1517643241,96,360
1517643872,14,22
1517643941,68,0
1517645788,205,386
1517646009,111,0
1517647707,26,22
1517648109,295,321
1517649010,146,310
1517649620,18,21
1517650930,273,380
1517651548,16,23
1517652943,156,219
1517653208,145,1
1517653697,18,18
1517653807,74,0
1517654744,141,388
1517655628,33,41
1517656539,162,177
1517656808,147,1
1517657553,18,35
1517658016,152,368
1517658907,132,1
1517659485,14,1544
1517659807,137,171
1517661130,284,324
1517661614,28,37
1517663062,251,311
1517663549,793,0
1517664008,111,0
1517664844,112,234
1517665466,27,29
1517665744,118,0
1517666643,103,257
1517667383,19,34
1517667606,93,0
1517669298,35,24
1517670251,311,488
1517671475,28,1039
1517672765,307,233
1517673385,20,18
1517673613,104,1
1517674208,100,258
1517675298,131,25
1517676127,140,319
1517677236,181,241
1517678143,105,0
1517679151,18,33
1517679607,197,339
1517680511,124,0
1517681066,15,46
1517681407,126,178
1517682992,787,32
1517683508,477,235
1517684923,15,22
1517685326,381,526
1517685607,149,0
1517687311,7,26
1517688113,267,479
1517689220,148,43
1517690064,137,211
1517690090,255,0
1517691153,60,21
1517692535,252,245
1517693057,19,33
1517693286,106,0
1517694124,349,342
1517695238,141,61
1517696126,93,174
1517697144,140,49
1517697907,109,371
1517699317,6,39
1517699736,141,168
1517700609,99,0
1517701568,11,22
1517702416,204,307
1517702933,78,204
1517703636,5,25
1517704233,136,273
1517705558,122,131
1517706013,256,254
1517706943,161,165
1517707472,728,0
1517707889,134,0
1517708707,85,312
1517709388,14,45
1517711552,353,500
1517712307,113,97
1517713471,12,25
1517713705,186,203
1517714628,135,1
1517715386,10,18
1517715615,125,418
1517717311,13,24
1517717725,195,283
1517719229,214,422
1517721152,190,231
1517721307,109,1
1517722281,120,281
1517723070,16,33
1517723127,91,138
1517723989,140,203
1517724991,110,46
1517725820,118,323
1517727156,96,151
1517728538,225,250
1517729300,13,23
1517729778,185,440
1517731218,21,53
1517731487,212,234
1517732407,96,0
1517733383,10,37
1517733938,138,330
1517734631,113,350
1517735293,15,33
1517735737,189,0
1517736687,122,326
1517737215,6,30
1517738667,260,335
1517739143,12,33
1517739606,86,0
1517740089,74,0
1517741313,99,440
1517742942,207,182
1517743213,12,40
1517744897,217,432
1517745140,26,34
1517746540,160,281
1517747065,8,1155
1517748008,166,419
1517748974,98,31
1517749807,113,204
1517750909,626,0
1517751727,91,367
1517752844,30,26
1517753746,163,190
1517754007,127,0
1517754735,15,16
1517755207,153,398
1517756170,80,0
1517756667,10,13
1517757007,109,202
1517758087,181,0
1517758574,18,12
1517759076,164,469
1517759792,79,0
1517760526,13,23
1517760940,75,174
1517761810,65,0
1517762413,127,421
1517763628,12,0
1517764599,615,207
1517765707,764,0
1517766127,424,267
1517766496,24,20
1517768424,204,279
1517770602,246,1040
1517771409,258,236
1517772503,22,7
1517772698,118,233
1517773507,64,90
1517774429,26,40
1517775326,138,144
1517776342,81,287
1517776930,112,372
1517777840,101,174
1517778276,26,29
1517778929,94,1
1517780188,145,257
1517780707,168,84
1517782099,37,25
1517782529,118,146
1517783106,89,0
1517784027,29,273
1517784333,84,285
1517784906,110,0
1517785219,0,256
1517785949,136,181
1517786886,146,0
1517788116,25,27
1517788235,149,243
1517789735,125,161
1517790018,12,23
1517791953,259,344
1517792413,0,253
1517793350,174,166
1517793872,506,0
1517794928,164,390
1517796028,24,24
1517796608,226,143
1517797953,154,213
1517799872,19,11
1517800262,128,273
1517801791,6,12
1517802328,181,198
1517803719,126,23
1517804138,113,274
1517804886,96,1
1517805631,14,11
1517805907,92,312
1517807548,10,15
1517807735,317,197
1517808487,103,0
1517809463,112,342
1517811402,250,188
1517813316,226,333
1517815465,212,168
1517815512,130,1
1517816527,103,337
1517817632,109,34
1517818449,123,190
1517819547,17,27
1517819741,147,337
1517821465,14,20
1517821696,217,165
1517823399,25,17
1517823606,184,259
1517825316,21,21
1517825736,164,257
1517826306,88,0
1517827473,87,251
1517829630,197,279
1517830806,185,401
1517831549,18,22
1517832934,188,165
1517833470,16,851
1517833830,156,215
1517834527,69,79
1517835385,20,21
1517836207,196,150
1517837305,337,0
1517838155,117,229
1517838307,61,0
1517839246,51,44
1517840148,149,206
1517841150,129,16
1517841728,75,338
1517843085,95,164
1517843419,79,0
1517844991,31,12
1517845327,179,228
1517846924,20,13
1517847339,142,258
1517848842,187,301
1517849717,66,0
1517850753,111,163
1517850939,0,1022
1517852923,1235,494
1517853367,51,0
1517854207,71,153
1517854818,38,13
1517856127,152,276
1517856991,31,7
1517857065,89,166
1517858106,181,0
1517858894,40,19
1517859003,106,216
1517859907,123,61
1517861080,84,22
1517861407,159,165
1517862204,133,0
1517862973,62,11
1517863216,111,271
1517864913,52,14
1517865324,219,245
1517866813,39,9
1517867128,226,256
1517867939,114,133
1517868746,58,14
1517868907,127,0
1517869836,95,202
1517870661,63,8
1517870707,114,1
1517872601,265,234
1517874127,189,253
1517874496,54,8
1517876433,206,421
1517877607,211,254
1517878340,36,20
1517879246,162,140
1517880264,703,0
1517881037,165,282
1517882188,36,21
1517882914,249,168
1517884104,292,22
1517884927,229,333
1517886027,185,194
1517886908,105,9
1517887953,32,11
1517888707,179,265
1517889865,46,12
1517890533,172,179
1517891286,69,0
1517891789,33,10
1517893696,106,292
1517895009,192,392
1517895622,33,18
1517895907,50,70
1517897544,32,12
1517897647,157,162
1517898488,81,0
1517899467,35,5
1517900341,180,482
1517901391,106,18
1517902088,54,2
1517902977,101,253
1517903299,36,11
1517903794,57,147
1517904609,65,0
