DateTime,Entries,UniqueIPs
1517663548,77667,9337252
1517664452,77667,9337251
1517665465,77687,9337274
1517666134,77685,9337272
1517666853,77687,9337274
1517667572,77692,9337279
1517668293,77699,9337286
1517669012,77706,9337293
1517669297,77705,9337292
1517669733,77700,9337287
1517670262,77702,9337289
1517670694,77705,9337291
1517671474,77709,9337296
1517672372,77716,9337303
1517673384,77719,9337306
1517674292,77724,9337310
1517675013,77725,9337312
1517675297,77727,9337313
1517675733,77721,9337309
1517676453,77739,9337328
1517677234,77742,9337330
1517678133,77741,9337336
1517679150,77753,9337347
1517679812,77766,9337360
1517680102,77767,9337361
1517680533,77774,9337368
1517681065,77778,9337372
1517681253,77784,9337378
1517681972,77799,9337393
1517682991,77818,9337411
1517683893,77828,9337421
1517684922,77825,9337418
1517685813,77846,9337439
1517686533,77853,9337446
1517687310,77863,9337456
1517688213,77873,9337466
1517688932,77887,9337480
1517689219,77887,9337481
1517689653,77901,9337495
1517690373,77907,9337501
1517691152,77917,9337511
1517691812,77913,9337507
1517692533,77923,9337517
1517693056,77927,9337522
1517693253,77923,9337518
1517694213,77931,9337526
1517695237,77924,9337506
1517695689,77927,9337509
1517696613,77939,9337521
1517697143,77940,9337522
1517697572,77953,9337535
1517698293,77956,9337538
1517699316,77965,9337548
1517699778,77968,9337550
1517700212,77982,9337564
1517701567,78003,9337584
1517702134,78013,9337595
1517702853,78013,9337595
1517703635,78024,9337607
1517704533,78036,9337619
1517705557,78038,9337622
1517706453,78031,9337615
1517707471,78046,9337629
1517708372,78064,9337647
1517709387,78061,9337644
1517710052,78063,9337646
1517710775,78069,9337652
1517711552,78058,9337641
1517712214,78071,9337653
1517712933,78077,9337659
1517713470,78071,9337654
1517713893,78071,9337654
1517714418,78078,9337661
1517714613,78074,9337656
1517715815,78078,9337660
1517716537,78078,9337659
1517717310,78073,9337655
1517718214,78073,9337655
1517719228,78072,9337654
1517719605,78075,9337657
1517720372,78066,9337647
1517721150,78058,9337639
1517722054,78058,9337639
1517723070,78062,9337643
1517724037,78063,9337644
1517724453,78062,9337643
1517724989,78068,9337649
1517725413,78061,9337642
1517726134,78062,9337643
1517727155,78060,9337642
1517728053,78067,9337649
1517728773,78069,9337652
1517729299,78077,9337661
1517729493,78091,9337675
1517730213,78097,9337681
1517730932,78105,9337689
1517731217,78107,9337692
1517731894,78112,9337697
1517732853,78120,9337705
1517733382,78116,9337702
1517733813,78129,9337715
1517734773,78127,9337713
1517735733,78119,9337705
1517736693,78121,9337707
1517737213,78108,9337694
1517737652,78114,9337700
1517738373,78127,9337714
1517739093,78131,9337718
1517739609,78146,9337733
1517739814,78144,9337731
1517740703,78136,9337723
1517741312,78127,9337715
1517741972,78120,9337708
1517742693,78118,9337706
1517743212,78121,9337709
1517743653,78124,9337712
1517743928,78133,9337721
1517744373,78133,9337721
1517745139,78153,9337742
1517746293,78148,9337737
1517747064,78153,9337741
1517747733,78154,9337742
1517748693,78147,9337735
1517748973,78140,9337728
1517749413,78137,9337725
1517750133,78137,9337725
1517750908,78136,9337724
1517751574,78129,9337716
1517752293,78123,9337710
1517752842,78116,9337703
1517753253,78119,9337706
1517754213,78124,9337711
1517755173,78112,9337699
1517756134,78120,9337707
1517756666,78120,9337707
1517757093,78123,9337710
1517758053,78116,9337703
1517758570,78119,9337706
1517759013,78124,9337712
1517760525,78122,9337712
1517761173,78124,9337713
1517761893,78138,9337727
1517762412,78136,9337733
1517762853,78120,9337715
1517763573,78113,9337708
1517764598,78117,9337707
1517765253,78118,9337707
1517765973,78110,9337699
1517766495,78097,9337700
1517766933,78099,9337703
1517767949,78113,9337718
1517768423,78126,9337731
1517770601,78095,9337702
1517771253,78094,9337701
1517771973,78089,9337695
1517772502,78097,9337710
1517772934,78083,9337696
1517773205,78091,9337704
1517773894,78087,9337700
1517774428,78087,9337701
1517774853,78087,9337701
1517775813,78074,9337688
1517776341,78075,9337689
1517776773,78072,9337686
1517777494,78064,9337678
1517778275,78071,9337685
1517778933,78071,9337685
1517779653,78071,9337685
1517780614,78073,9337687
1517781573,78069,9337140
1517782098,78069,9337140
1517782533,78064,9337135
1517783289,78064,9337135
1517784025,78064,9337135
1517784934,78052,9337123
1517785653,78048,9337119
1517785949,78040,9337111
1517786374,78032,9337103
1517787333,78042,9337113
1517788114,78049,9337120
1517788774,78052,9337123
1517789733,78055,9337126
1517790017,78058,9337129
1517790453,78058,9337129
1517791173,78059,9337131
1517791952,78058,9337129
1517792854,78076,9337147
1517793871,78056,9337126
1517794534,78039,9337118
1517795494,78038,9337117
1517796027,78043,9337121
1517796214,78038,9337116
1517796934,78044,9337122
1517797952,78052,9337124
1517798853,78050,9337121
1517799573,78056,9337127
1517799870,78048,9337119
1517800293,78062,9337133
1517801013,78063,9337134
1517801789,78081,9337152
1517802748,78082,9337153
1517803653,78080,9337150
1517804614,78085,9337155
1517805629,78083,9337154
1517806552,78093,9337164
1517807546,78104,9337174
1517808213,78100,9337169
1517808932,78100,9337170
1517809462,78101,9337172
1517809653,78105,9337176
1517810373,78104,9337175
1517811401,78107,9337178
1517812293,78106,9337177
1517813315,78110,9337181
1517814214,78105,9337176
1517814934,78106,9337176
1517815463,78103,9337174
1517815653,78098,9337169
1517816374,78099,9337170
1517817094,78092,9337163
1517817631,78101,9337172
1517818054,78089,9337160
1517818774,78441,9337512
1517819546,78427,9337497
1517820213,78420,9337490
1517820932,78424,9337494
1517821464,78434,9337504
1517821652,78444,9337514
1517822372,78447,9337517
1517823398,78464,9337535
1517824294,78460,9337531
1517825315,78450,9337520
1517826453,78462,9337532
1517826969,78469,9337539
1517827412,78480,9337550
1517828372,78486,9337556
1517829093,78495,9337565
1517829629,78497,9337567
1517830054,78491,9337562
1517830773,78491,9337562
1517831547,78471,9337540
1517832513,78481,9337550
1517832934,78499,9337568
1517833469,78512,9337581
1517833893,78515,9337584
1517834614,78517,9337587
1517835384,78519,9337590
1517836293,78516,9337589
1517837013,78527,9337600
1517837304,78527,9337601
1517837734,78534,9337608
1517838452,78528,9337602
1517839245,78526,9337601
1517840132,78540,9337616
1517840853,78529,9337607
1517841149,78521,9337599
1517841573,78518,9337597
1517842293,78515,9337595
1517843084,78506,9337586
1517843493,78512,9337596
1517844214,78506,9337591
1517844990,78516,9337601
1517845892,78512,9337598
1517846923,78509,9337596
1517847378,78522,9337609
1517847813,78521,9337608
1517848840,78510,9337599
1517849733,78501,9337589
1517850752,78493,9337581
1517851653,78493,9337582
1517852922,78493,9337583
1517853333,78485,9337575
1517854294,78493,9337588
1517854817,78491,9337586
1517855253,78492,9337589
1517855778,78493,9337590
1517856213,78494,9337591
1517856990,78479,9337576
1517857654,78479,9337576
1517858373,78470,9337567
1517858893,78481,9337579
1517859333,78481,9337580
1517860053,78481,9337581
1517861079,78476,9337576
1517862025,78489,9337589
1517862693,78480,9337579
1517862972,78479,9337578
1517863412,78476,9337575
1517864134,78479,9337578
1517864912,78480,9337579
1517865572,78475,9337574
1517866294,78472,9337572
1517866811,78464,9337564
1517867253,78459,9337558
1517867973,78461,9338117
1517868745,78439,9338095
1517869414,78436,9338092
1517870134,78428,9338084
1517870660,78456,9338112
1517871572,78439,9338095
1517872600,78436,9338092
1517873253,78422,9338078
1517873973,78413,9338069
1517874934,78400,9338056
1517875894,78393,9338049
1517876903,78386,9338042
1517877572,78379,9338033
1517878338,78355,9338009
1517879014,78345,9337999
1517879734,78338,9337992
1517880263,78342,9337997
1517880694,78340,9337994
1517881413,78339,9337993
1517882187,78344,9337999
1517882853,78341,9337996
1517883572,78330,9337985
1517884103,78324,9337979
1517884534,78337,9337991
1517885494,78338,9337992
1517886026,78345,9337999
1517886454,78335,9337989
1517887173,78324,9337978
1517887951,78322,9337976
1517888614,78316,9337971
1517889334,78310,9337965
1517890292,78314,9337969
1517891014,78313,9337968
1517891530,78318,9337973
1517891733,78308,9337963
1517892454,78303,9337957
1517893174,78296,9337949
1517893695,78287,9337941
1517894134,78282,9337936
1517895094,78283,9337939
1517895621,78280,9337936
1517896053,78291,9337948
1517896773,78284,9337941
1517897494,78286,9337943
1517898213,78292,9337949
1517898933,78285,9337942
1517899468,78292,9337949
1517899894,78290,9337946
1517900853,78288,9337944
1517901813,78289,9337945
1517902774,78278,9337935
1517903298,78265,9337922
1517903734,78274,9337932
1517904721,78270,9337928
1517905412,77930,9337588
1517906180,77937,9337595
1517906854,77943,9337601
1517907138,77918,9337580
1517907572,77907,9337569
1517908293,77906,9337568
1517909064,77897,9337559
1517909733,77885,9337547
1517910453,77887,9337549
1517910983,77888,9337550
1517911413,77882,9337544
1517912373,77880,9337542
1517912897,77880,9337543
1517913093,77884,9337548
1517913812,77882,9337546
1517914329,77892,9337556
1517914865,77889,9337553
1517916761,77884,9337547
1517917413,77877,9337540
1517918133,77879,9337542
1517918678,77880,9337544
1517919093,77864,9337526
1517919813,77851,9337513
1517920585,77857,9337518
1517921053,77859,9337520
1517921494,77858,9337518
1517922532,77853,9337515
1517923414,77848,9337510
1517924133,77840,9337502
1517924414,77840,9337502
1517924853,77845,9337508
1517925574,77857,9337519
1517926352,77844,9337506
1517927014,77841,9337503
1517927732,77848,9337510
1517928255,77843,9337506
1517928693,77844,9337505
1517929653,77845,9337504
1517930188,77839,9337499
1517930613,77843,9337501
1517931333,77852,9337510
1517932108,77851,9337509
1517932773,77855,9337512
1517933492,77862,9337518
1517934065,77866,9337523
1517934453,77861,9337517
1517935173,77864,9337519
1517935688,77869,9337524
1517935944,77867,9337522
1517936613,77879,9337534
1517937332,77874,9337529
1517938370,77860,9337513
1517939494,77862,9337515
1517940264,77865,9337513
1517940933,77863,9337509
1517942424,77843,9337491
1517943135,77855,9337502
1517943813,77855,9337502
1517944334,77856,9337503
1517944773,77849,9337497
1517945733,77848,9337495
1517946257,77857,9337504
1517946693,77852,9337499
1517947653,77845,9337492
1517948177,77841,9337488
1517948613,77834,9337481
1517949576,77828,9337475
1517950103,77831,9337478
1517950582,77828,9337475
1517951493,77828,9337475
1517952014,77822,9337469
1517952453,77817,9337464
1517953414,77804,9337450
1517953938,77792,9337438
1517954373,77796,9337442
1517955333,77800,9337446
1517955852,77801,9337447
1517956292,77799,9337445
1517957783,77826,9337472
1517958452,77837,9337483
1517959173,77837,9337484
1517959692,77831,9337477
1517960133,77836,9337482
1517961093,77849,9337495
1517961618,77846,9337492
1517962054,77854,9337500
1517963012,77850,9337496
1517963533,77847,9337493
1517963973,77856,9337502
1517964940,77858,9337504
1517965210,77860,9337506
1517965460,77859,9337505
1517965777,77861,9337507
1517966373,77860,9337506
1517967094,77856,9337502
1517967374,77859,9337504
1517967813,77854,9337499
1517969316,77836,9337480
1517969974,77836,9337480
1517970694,77826,9337470
1517971211,77812,9337455
1517971653,77803,9337445
1517972613,77794,9337435
1517973134,77812,9337453
1517973572,77811,9337452
1517974293,77812,9337453
1517975060,77805,9337445
1517975733,77808,9337448
1517976454,77808,9337451
1517976976,77806,9337451
1517977413,77797,9337442
1517978373,77805,9337450
1517978892,77806,9337451
1517979273,77818,9337463
1517979855,77822,9337467
1517980823,77827,9337472
1517981504,77818,9337462
1517982212,77807,9337450
1517983172,77802,9337445
1517984134,77802,9337445
1517984651,77795,9337438
1517985094,77780,9337421
1517985813,77781,9337422
1517986534,77780,9337421
1517987066,77783,9337424
1517987253,77779,9337420
1517987974,77774,9337415
1517988492,77755,9337393
1517988693,77745,9337384
1517989414,77741,9337380
1517990132,77733,9337372
1517990853,77730,9337369
1517991814,77727,9337366
1517992339,77723,9337362
1517992773,77725,9337364
1517993493,77718,9337357
1517994213,77723,9337362
1517994734,77729,9337368
1517994933,77727,9337366
1517995653,77736,9337375
1517996188,77735,9337373
1517996612,77725,9337363
1517997573,77716,9337354
1517998105,77711,9337349
1517998533,77721,9337359
1517999493,77714,9337352
1518000014,77718,9337356
1518000452,77714,9337352
1518001173,77708,9337348
1518001955,77720,9337359
1518002519,77731,9337370
1518002614,77726,9337365
