DateTime,AddedIPs,RemovedIPs
1517650921,2,2
1517652122,2,7
1517652722,4,0
1517653322,3,4
1517654522,3,7
1517655122,3,1
1517655722,1,0
1517656444,22,23
1517656922,2,1
1517657522,17,11
1517658121,1,10
1517658722,1,0
1517659322,15,0
1517660521,1,10
1517661121,1,0
1517662921,2,5
1517663522,9,0
1517664121,2,0
1517664781,2,0
1517665321,8,1
1517666521,9,3
1517667121,9,2
1517667721,7,0
1517668322,7,0
1517668922,18,1
1517670122,3,13
1517671321,5,7
1517672522,6,16
1517673122,5,0
1517673721,7,0
1517674921,8,2
1517675521,11,0
1517676121,1,8
1517676722,9,0
1517677321,1,0
1517677922,6,1
1517678522,3,0
1517679121,8,5
1517679721,5,1
1517680922,2,24
1517681522,7,0
1517682122,1,9
1517682781,5,0
1517683322,56,0
1517683922,8,4
1517684521,6,7
1517685122,4,0
1517685721,19,3
1517686381,2,0
1517686921,4,0
1517687521,21,0
1517688121,6,6
1517688722,4,0
1517689322,8,2
1517689981,5,7
1517690521,2,0
1517691121,6,3
1517691722,1,2
1517692225,1,1
1517692922,9,4
1517693521,9,1
1517694121,4,4
1517694721,2,0
1517695321,3,6
1517696039,17,30
1517696522,2,0
1517698321,4,1
1517698922,3,3
1517699522,15,12
1517700121,7,2
1517701321,4,0
1517701922,1,11
1517702521,1,0
1517703723,7,14
1517704922,8,0
1517705521,2,0
1517706121,0,2
1517706721,1,5
1517707321,8,1
1517707922,12,0
1517707981,0,1
1517708521,7,6
1517709121,3,0
1517709721,8,0
1517710321,2,1
1517710922,1,8
1517711522,5,2
1517712122,1,0
1517713321,33,2
1517714521,7,0
1517715181,5,3
1517715721,15,0
1517716921,1,8
1517717521,12,0
1517718121,9,0
1517719321,2,2
1517719921,4,0
1517721722,6,11
1517722321,1,0
1517722381,2,3
1517722921,12,4
1517723522,0,1
1517724122,6,0
1517724722,0,5
1517725322,2,0
1517725981,1,2
1517726522,1,0
1517727121,8,60
1517727722,1,2
1517728322,6,0
1517728922,7,0
1517729521,7,5
1517730121,4,5
1517731322,1,8
1517732521,1,23
1517733181,4,0
1517733722,1,3
1517734921,0,12
1517735522,4,14
1517736721,0,2
1517737322,1,20
1517738522,9,0
1517739122,6,0
1517739721,1,5
1517740382,4,19
1517740921,0,1
1517741522,13,8
1517742123,10,1
1517742696,28,0
1517743321,10,15
1517744521,12,79
1517745122,1,0
1517745721,4,23
1517746922,10,22
1517747581,0,1
1517748121,6,6
1517749322,4,15
1517749922,0,1
1517750521,12,7
1517751181,1,2
1517751721,8,20
1517752322,2,0
1517752921,5,30
1517753521,1,0
1517754122,3,2
1517754721,5,0
1517755322,21,15
1517755922,6,23
1517756522,6,0
1517757122,20,19
1517757722,4,1
1517758322,6,0
1517758922,17,16
1517759521,0,1
1517760122,0,34
1517760722,2,0
1517761322,0,5
1517762521,32,41
1517763722,21,12
1517764921,2,10
1517765581,8,62
1517766122,3,2
1517766721,33,28
1517767321,8,0
1517767921,3,2
1517770321,5,16
1517770922,12,1
1517771522,1,0
1517772122,13,6
1517772781,22,16
1517773322,5,2
1517773921,7,0
1517774521,15,23
1517775121,1,0
1517775721,9,4
1517776322,6,42
1517776381,0,1
1517776922,27,0
1517778121,5,0
1517778722,5,5
1517779322,3,1
1517779981,9,7
1517780521,9,6
1517781722,8,1
1517782322,9,1
1517782922,8,1
1517783521,1,0
1517784122,3,1
1517784722,4,0
1517785321,8,10
1517785921,13,12
1517786522,37,40
1517787182,2,6
1517787722,5,0
1517788322,7,9
1517788922,11,2
1517789523,6,5
1517790121,4,5
1517790721,5,0
1517791922,15,3
1517792523,8,0
1517793722,10,12
1517794921,5,24
1517796121,3,1
1517797321,3,4
1517797922,4,1
1517797982,0,6
1517798521,6,2
1517799122,6,0
1517799721,10,0
1517800321,6,0
1517800923,15,3
1517801522,8,4
1517801582,0,2
1517802121,1,2
1517802723,10,3
1517803322,0,5
1517803921,3,0
1517804522,1,0
1517805122,8,1
1517805722,7,5
1517806322,2,5
1517806922,2,7
1517808122,4,0
1517808721,11,1
1517809322,5,5
1517809922,2,19
1517810522,16,23
1517811122,4,0
1517811722,5,4
1517812381,0,4
1517812921,3,0
1517813521,1,1
1517814122,4,2
1517814722,5,0
1517815321,1,0
1517815921,1,0
1517816522,10,2
1517817122,5,2
1517817721,8,21
1517818321,1,0
1517819522,6,0
1517820121,1,0
1517821321,1,1
1517822521,19,0
1517823182,1,0
1517824321,2,2
1517824922,15,0
1517825521,6,1
1517826121,5,6
1517826782,1,0
1517827322,1,0
1517828521,2,1
1517829121,14,17
1517829721,10,10
1517830381,1,7
1517830921,2,3
1517832122,14,1
1517832722,2,1
1517833321,1,0
1517834521,3,1
1517835121,4,0
1517835722,1,0
1517836921,4,1
1517837581,6,1
1517838121,12,0
1517839321,5,1
1517839922,4,1
1517840522,1,0
1517841122,0,1
1517841181,0,5
1517841722,6,0
1517842921,4,0
1517843522,5,0
1517844122,9,1
1517844722,0,1
1517845322,9,0
1517846522,6,15
1517847122,3,5
1517847721,5,0
1517848922,20,0
1517849522,12,0
1517850122,15,0
1517851321,13,29
1517852522,6,13
1517853121,13,0
1517853722,6,10
1517854322,3,0
1517854921,12,1
1517855581,4,0
1517856121,4,0
1517856721,11,3
1517857322,9,0
1517857922,4,0
1517858522,10,7
1517859182,5,0
1517860922,4,5
1517862121,20,8
1517862722,5,0
1517863321,4,0
1517864521,8,2
1517865121,49,8
1517865722,3,4
1517866921,20,2
1517868121,13,0
1517869054,35,11
1517869321,5,11
1517869922,15,3
1517871121,59,14
1517871722,37,15
1517872322,8,0
1517872921,14,0
1517873521,11,0
1517873581,0,3
1517874122,13,4
1517874722,10,3
1517875322,3,0
1517875923,6,0
1517876522,14,1
1517877121,9,0
1517877722,1,0
1517878321,14,0
1517878921,9,1
1517880121,2,2
1517881322,10,0
1517881921,8,5
1517882521,7,0
1517883722,14,22
1517884381,1,0
1517884922,3,4
1517885521,4,3
1517886122,8,0
1517887321,14,0
1517888521,4,1
1517889121,10,1
1517889722,3,0
1517890321,4,0
1517890921,4,0
1517891522,9,0
1517892122,4,0
1517892722,3,2
1517893321,1,1
1517893921,4,9
1517894521,13,2
1517895181,0,1
1517895965,22,10
1517896921,11,3
1517898122,3,5
1517898722,3,6
1517899322,7,7
1517899922,1,0
1517900521,12,0
1517901122,7,4
1517901722,2,0
1517902322,1,0
1517902921,1,1
1517903522,13,5
1517904121,1,0
1517905321,10,10
1517906521,6,3
1517907122,8,0
1517907721,21,4
1517908321,3,0
1517908922,9,6
1517910121,6,0
1517910722,2,2
1517911321,18,0
1517911922,4,1
1517912521,2,1
1517913722,5,6
1517914321,12,0
1517915282,25,10
1517916121,0,7
1517917322,18,0
1517918521,4,5
1517919121,6,0
1517919721,4,6
1517920321,1,0
1517920921,17,4
1517921522,3,0
1517922121,15,8
1517922723,14,0
1517923322,6,0
1517923921,11,10
1517924521,1,0
1517925721,3,2
1517926922,4,12
1517928121,5,10
1517928722,2,0
1517929322,8,6
1517929922,5,1
1517930522,14,1
1517931721,5,0
1517932322,28,5
1517932922,3,0
1517933522,1,3
1517934122,6,5
1517934781,1,0
1517935322,3,0
1517935921,7,0
1517936521,2,1
1517937121,8,5
1517937722,22,6
1517938922,18,2
1517939522,17,5
1517940122,4,6
1517940722,3,0
1517941321,46,1
1517941922,21,0
1517943722,4,0
1517944921,1,2
1517945582,3,1
1517946122,27,0
1517946721,4,1
1517947322,3,3
1517948521,5,0
1517949722,33,16
1517950321,7,5
1517950922,4,0
1517951522,6,0
1517952121,8,8
1517952721,4,0
1517952781,0,2
1517953321,3,0
1517953921,0,1
1517954522,11,13
1517955122,7,0
1517955721,4,0
1517956322,1,1
1517956921,6,0
1517957521,1,8
1517958122,23,16
1517958722,52,11
1517959321,8,0
1517959981,18,3
1517960521,21,0
1517961122,4,7
1517961722,11,1
1517962322,8,0
1517962921,26,0
1517964122,19,1
1517964722,5,0
1517965322,3,0
1517965922,7,0
1517966522,6,9
1517967025,0,1
1517967182,0,4
1517967722,12,0
1517968921,15,3
1517969521,4,1
1517970122,11,3
1517970722,1,0
1517971322,4,2
1517972521,7,1
1517973121,9,0
1517973722,7,15
1517974322,4,0
1517974921,6,0
1517975522,17,2
1517976121,4,2
1517977321,5,8
1517977922,10,0
1517978521,3,3
1517979122,6,8
1517979721,8,5
1517980922,4,3
1517981522,4,0
1517981581,1,4
1517982121,7,0
1517982721,12,2
1517983321,2,4
1517983922,8,0
1517984522,10,0
1517985122,1,1
1517985721,3,8
1517986321,7,0
1517986921,19,0
1517987522,0,1
1517988123,4,11
1517988721,1,0
1517989322,1,13
1517990522,4,3
1517991122,6,0
1517991722,15,0
1517992321,0,1
1517992921,14,13
1517993522,1,0
1517994121,9,10
1517995322,5,12
1517995921,2,0
1517996522,12,6
1517997122,0,1
1517997722,14,3
1517998322,1,0
1517998921,2,4
1517999522,2,0
1518000122,3,0
1518001322,4,20
1518001922,16,5
1518002521,5,0
