DateTime,Entries,UniqueIPs
1516147214,4424,4527
1516147685,4423,4526
1516148412,4424,4527
1516149606,4422,4525
1516150111,4428,4531
1516150564,4427,4530
1516151292,4426,4529
1516151766,4427,4530
1516152249,4426,4529
1516153448,4425,4528
1516153924,4422,4525
1516154418,4423,4526
1516155850,4425,4528
1516156328,4423,4526
1516156804,4423,4526
1516158250,4422,4525
1516158728,4423,4526
1516160171,4420,4523
1516160890,4423,4526
1516163047,4422,4525
1516163532,4423,4526
1516164736,4421,4524
1516165212,4423,4526
1516166649,4420,4524
1516167130,4423,4527
1516168567,4421,4525
1516169048,4422,4526
1516169527,4423,4527
1516172646,4425,4529
1516174089,4424,4528
1516175046,4425,4529
1516175528,4426,4530
1516177453,4427,4531
1516179127,4426,4530
1516179622,4427,4531
1516180092,4425,4529
1516180810,4427,4531
1516186092,4428,4532
1516187049,4427,4531
1516187525,4428,4532
1516188252,4426,4530
1516188731,4428,4532
1516191623,4429,4533
1516192807,4430,4534
1516193286,4431,4535
1516193784,4432,4536
1516196168,4431,4535
1516196649,4432,4536
1516198094,4433,4537
1516199539,4314,4416
1516201450,4313,4415
1516201932,4314,4416
1516207934,4313,4415
1516208416,4314,4416
1516209607,4310,4412
1516210087,4314,4416
1516214885,4312,4414
1516215365,4314,4416
1516215846,4313,4415
1516216326,4314,4416
1516216808,4313,4415
1516217286,4314,4416
1516217770,4313,4415
1516218485,4314,4416
1516220650,4313,4415
1516221125,4314,4416
1516224966,4356,4460
1516232891,4355,4459
1516233364,4356,4460
1516234812,4354,4458
1516235292,4356,4460
1516238168,4358,4462
1516238649,4359,4463
1516239131,4360,4464
1516240565,4361,4465
1516241048,4362,4466
1516244888,4361,4465
1516249452,4362,4466
1516252807,4361,4465
1516253292,4362,4466
1516257129,4363,4467
1516258088,4361,4465
1516258821,4363,4467
1516264565,4362,4466
1516265052,4363,4467
1516267930,4364,4468
1516273226,4365,4469
1516276325,4363,4467
1516276813,4365,4469
1516279925,4370,4474
1516281399,4371,4475
1516285214,4370,4474
1516285688,4371,4475
1516286170,4370,4474
1516286645,4371,4475
1516295527,4372,4476
1516304888,4373,4477
1516305846,4374,4478
1516308970,4377,4481
1516321931,4378,4482
1516325076,4393,4497
1516326490,4392,4496
1516326964,4393,4497
1516337526,4392,4496
1516338016,4393,4497
1516339212,4392,4496
1516339695,4393,4497
1516341128,4392,4496
1516341613,4393,4497
1516350245,4392,4496
1516350726,4393,4497
1516352648,4394,4498
1516355528,4393,4497
1516356013,4394,4498
1516356488,4395,4499
1516358890,4395,4499
1516359365,4396,4500
1516359852,4395,4499
1516360328,4396,4500
1516362724,4395,4499
1516363214,4396,4500
1516367050,4395,4499
1516367766,4396,4500
1516374246,4399,4503
1516375206,4406,4510
1516376890,4407,4511
1516379765,4406,4510
1516380251,4407,4511
1516394165,4406,4510
1516394651,4408,4512
1516397766,4407,4511
1516398249,4408,4512
1516410486,4407,4511
1516410972,4408,4512
1516411929,4408,4512
1516412649,4410,4514
1516412891,4410,4514
1516413366,4411,4515
1516422729,4410,4514
1516423209,4411,4515
1516432805,4412,4516
1516440011,4411,4515
1516440493,4412,4516
1516445533,4413,4517
1516454410,4414,4518
1516455367,4411,4515
1516455845,4414,4518
1516456338,4416,4520
1516459925,4417,4521
