DateTime,AddedIPs,RemovedIPs
1517022997,43,15
1517024907,15,14
1517026848,41,13
1517028996,16,8
1517030896,24,7
1517032834,32,27
1517034737,23,20
1517036902,13,25
1517038827,27,15
1517040755,23,20
1517042667,20,25
1517044577,19,35
1517046509,29,22
1517048466,20,18
1517050350,23,13
1517052255,30,23
1517054205,25,13
1517056107,18,1211
1517058029,583,0
1517059948,30,21
1517061876,29,23
1517063786,27,16
1517065704,43,21
1517067871,17,17
1517070031,33,24
1517071938,25,21
1517073866,20,20
1517075785,22,23
1517077696,24,28
1517079639,39,45
1517081789,25,31
1517083715,20,27
1517085634,17,27
1517087551,23,23
1517089462,21,27
1517091389,21,34
1517093296,17,18
1517095924,27,46
1517097869,18,13
1517099790,23,37
1517101707,532,0
1517103610,12,15
1517105531,18,18
1517107454,22,16
1517109381,18,19
1517111293,19,15
1517113212,23,24
1517115134,28,21
1517117061,18,20
1517118967,19,22
1517120889,23,23
1517122818,47,44
1517124738,30,28
1517126678,29,27
1517128587,21,27
1517130522,25,22
1517132407,28,26
1517134842,19,33
1517136741,18,18
1517138666,14,28
1517140580,18,18
1517142494,23,1550
1517144417,676,0
1517146339,39,44
1517148260,44,50
1517150184,56,47
1517152105,36,37
1517154014,33,17
1517155933,41,43
1517157871,45,15
1517159793,53,24
1517161712,75,16
1517163618,57,13
1517165555,39,20
1517167459,22,14
1517169393,37,23
1517171293,26,24
1517173257,159,48
1517175152,28,29
1517177065,23,28
1517178990,26,30
1517180919,17,35
1517182837,27,27
1517184994,26,21
1517187149,19,36
1517189051,619,0
1517190990,12,37
1517192892,16,37
1517194856,40,67
1517196743,29,16
1517198667,21,43
1517200590,19,15
1517202494,20,24
1517204414,13,18
1517206585,17,14
1517208495,15,21
1517210434,13,13
1517212333,23,22
1517214258,11,24
1517216282,12,19
1517218095,22,25
1517220268,33,52
1517222180,18,30
1517224103,29,33
1517226263,18,27
1517228188,17,1184
1517230102,29,23
1517232014,559,0
1517233952,23,14
1517235861,23,21
1517237791,16,22
1517239694,25,17
1517241625,41,39
1517243543,36,28
1517245466,21,16
1517247518,30,17
1517249548,23,28
1517251462,16,20
1517253380,21,23
1517255299,30,25
1517257210,29,27
1517259129,25,24
1517261054,14,22
1517262978,26,30
1517265141,47,43
1517267067,22,16
1517269298,14,26
1517271398,22,27
1517273297,18,22
1517275212,502,0
1517277136,12,12
1517279051,19,17
1517280982,17,21
1517282889,22,16
1517284821,34,37
1517286742,19,26
1517288668,12,14
1517290571,17,15
1517292503,14,26
1517294409,16,18
1517296376,16,22
1517298267,16,24
1517300180,26,27
1517302090,33,23
1517304020,31,21
1517306680,55,48
1517308578,16,20
1517310736,20,15
1517312663,24,26
1517314846,24,1663
1517316745,24,29
1517318655,805,0
1517320582,29,24
1517322497,30,29
1517324425,90,61
1517326347,50,37
1517328524,48,33
1517330444,44,33
1517332351,53,34
1517334272,44,25
1517336183,53,32
1517338115,49,31
1517340026,32,29
1517342201,10,31
1517344102,30,34
1517346277,43,84
1517350336,80,87
1517352265,14,48
1517354179,24,33
1517356104,8,26
1517358029,17,18
1517359927,23,28
1517362101,718,0
1517364025,16,41
1517365937,11,19
1517367860,10,24
1517369771,25,32
1517371692,12,26
1517373613,5,28
1517375538,13,32
1517377457,36,35
1517379378,9,20
1517381292,12,32
1517383245,15,29
1517385390,15,32
1517387290,30,36
1517389223,90,84
1517391149,58,43
1517393059,76,42
1517394969,61,48
1517396900,71,33
1517399056,68,24
1517400998,71,1114
1517402893,77,19
1517404819,558,0
1517406733,37,14
1517409399,64,34
1517411312,27,21
1517413224,34,14
1517415141,22,15
1517417065,26,24
1517418995,20,16
1517420900,16,11
1517422812,26,14
1517424752,26,16
1517426667,38,15
1517428585,33,13
1517430497,27,31
1517432434,66,56
1517434343,32,39
1517436275,26,13
1517438183,38,14
1517440117,35,24
1517442011,34,24
1517443958,29,31
1517445855,20,18
1517447795,441,0
1517449716,13,11
1517451629,21,19
1517453550,24,9
1517455481,19,17
1517457385,20,13
1517459315,28,11
1517461235,44,31
1517463158,18,11
1517465069,29,8
1517466991,12,15
1517468919,23,14
1517470839,30,13
1517472745,29,28
1517474674,29,29
1517476591,22,23
1517478519,24,37
1517480418,23,11
1517482353,27,13
1517484270,24,18
1517487322,68,1545
1517489314,42,79
1517491227,814,0
1517493143,32,15
1517495063,36,3
1517496984,29,14
1517498896,40,11
1517500889,66,34
