DateTime,Entries,UniqueIPs
1517022997,3137,3137
1517024907,3138,3138
1517026848,3166,3166
1517028996,3174,3174
1517030896,3191,3191
1517032834,3196,3196
1517034737,3199,3199
1517036902,3187,3187
1517038827,3199,3199
1517040755,3202,3202
1517042667,3197,3197
1517044577,3181,3181
1517046509,3188,3188
1517048466,3190,3190
1517050350,3200,3200
1517052255,3207,3207
1517054205,3219,3219
1517056107,2026,2026
1517058029,2609,2609
1517059948,2618,2618
1517061876,2624,2624
1517063786,2635,2635
1517065704,2657,2657
1517067871,2657,2657
1517070031,2666,2666
1517071938,2670,2670
1517073866,2670,2670
1517075785,2669,2669
1517077696,2665,2665
1517079639,2659,2659
1517081789,2653,2653
1517083715,2646,2646
1517085634,2636,2636
1517087551,2636,2636
1517089462,2630,2630
1517091389,2617,2617
1517093296,2616,2616
1517095924,2597,2597
1517097869,2602,2602
1517099790,2588,2588
1517101707,3120,3120
1517103610,3117,3117
1517105531,3117,3117
1517107454,3123,3123
1517109381,3122,3122
1517111293,3126,3126
1517113212,3125,3125
1517115134,3132,3132
1517117061,3130,3130
1517118967,3127,3127
1517120889,3127,3127
1517122818,3130,3130
1517124738,3132,3132
1517126678,3134,3134
1517128587,3128,3128
1517130522,3131,3131
1517132407,3133,3133
1517134842,3119,3119
1517136741,3119,3119
1517138666,3105,3105
1517140580,3105,3105
1517142494,1578,1578
1517144417,2254,2254
1517146339,2249,2249
1517148260,2243,2243
1517150184,2252,2252
1517152105,2251,2251
1517154014,2267,2267
1517155933,2265,2265
1517157871,2295,2295
1517159793,2324,2324
1517161712,2383,2383
1517163618,2427,2427
1517165555,2446,2446
1517167459,2454,2454
1517169393,2468,2468
1517171293,2470,2470
1517173257,2581,2581
1517175152,2580,2580
1517177065,2575,2575
1517178990,2571,2571
1517180919,2553,2553
1517182837,2553,2553
1517184994,2558,2558
1517187149,2541,2541
1517189051,3160,3160
1517190990,3135,3135
1517192892,3114,3114
1517194856,3087,3087
1517196743,3100,3100
1517198667,3078,3078
1517200590,3082,3082
1517202494,3078,3078
1517204414,3073,3073
1517206585,3076,3076
1517208495,3070,3070
