DateTime,AddedIPs,RemovedIPs
1517549406,1507,1563
1517550306,2862,2911
1517551206,3410,3431
1517552105,1695,1694
1517553006,2614,2548
1517553905,3550,3340
1517554807,1707,1647
1517555706,3093,2852
1517556606,3569,3338
1517557506,1785,1746
1517558407,3129,3027
1517559306,2151,2039
1517560207,2596,2516
1517561106,2980,2916
1517562006,2234,2201
1517562906,3265,3183
1517563806,1796,1778
1517565605,5827,5778
1517566505,2005,2016
1517567406,2886,2903
1517568307,2511,2468
1517569206,2499,2521
1517570107,3038,3039
1517571006,1992,1984
1517571907,2721,2716
1517572806,2961,2942
1517573706,2069,2118
1517574607,2877,2925
1517575506,3155,3169
1517576407,2099,2132
1517577307,3170,3158
1517578207,3122,3152
1517579107,2329,2339
1517580007,2972,2980
1517580907,2377,2377
1517581807,2647,2638
1517582707,3101,3097
1517583607,2021,2030
1517584507,2659,2654
1517585407,2883,2888
1517586307,1854,1843
1517587206,2517,2453
1517588107,2348,2318
1517589006,1836,1825
1517589907,2268,2260
1517590807,2268,2251
1517591706,1695,1714
1517592607,1981,1977
1517593507,2044,2048
1517594407,1827,1825
1517595307,1588,1622
1517596206,1838,1861
1517597105,1763,1806
1517598006,1402,1413
1517598906,1491,1547
1517599806,1577,1576
1517600706,1541,1556
1517601606,1177,1185
1517602505,1443,1482
1517603406,1401,1440
1517604306,1371,1383
1517605205,1141,1167
1517606105,985,1013
1517607005,1271,1277
1517607905,1376,1451
1517608806,1260,1401
1517609705,1022,1080
1517610606,955,994
1517612406,2187,2279
1517613306,1095,1161
1517614205,1051,1107
1517615106,975,1035
1517616005,1241,1291
1517616905,1400,1422
1517617805,1553,1560
1517618705,1933,1963
1517619605,1707,1752
1517620505,2136,2187
1517621405,2308,2327
1517622305,2253,2211
1517623205,1791,1746
1517624105,1426,1425
1517625006,2086,2068
1517625906,1865,1828
1517626804,1947,1924
1517627705,1857,1866
1517628605,1871,1879
1517629506,2264,2105
1517630406,2584,2450
1517631305,2660,2561
1517632206,2513,2397
1517633106,3353,3239
1517634006,3341,3273
1517634906,2794,2696
1517635807,3306,3200
1517636707,3169,3151
1517637606,2349,2339
1517638507,3004,2999
1517639406,2704,2679
1517640305,2414,2359
1517641206,2785,2733
1517642106,2587,2584
1517643005,2284,2290
1517643907,2546,2527
1517644806,2165,2168
1517645707,2427,2448
1517646606,2476,2489
1517647506,1873,1886
1517648406,2307,2318
1517649306,2401,2412
1517650206,1883,1915
1517651105,2299,2329
1517652007,2133,2142
1517652907,1906,1911
1517653806,2453,2463
1517654706,2432,2450
1517655606,1919,1926
1517656508,2216,2243
1517657407,2254,2275
1517658307,2142,2157
1517659207,2306,2359
1517660105,2337,2361
1517661005,2241,2234
1517661906,2093,2134
1517662806,2489,2540
1517663706,2458,2516
1517664606,2244,2320
1517665506,2461,2466
1517666405,2793,2844
1517667305,2159,2227
1517668206,2362,2437
1517669105,2430,2478
1517670006,2426,2529
1517670905,1986,2031
1517671805,2245,2289
1517672706,2252,2290
1517673605,1938,1974
1517674505,2181,2203
1517675406,1993,2050
1517676306,1983,1973
1517677206,1839,1848
1517678105,1963,1937
1517679006,1852,1835
1517679906,1676,1652
1517680805,1486,1465
1517681706,1677,1696
1517682605,1616,1575
1517683505,1524,1511
1517684406,1247,1222
1517685307,1263,1242
1517686205,1333,1332
1517687106,1287,1257
1517688006,1227,1226
1517688905,1059,1049
1517689805,1056,1040
1517690706,1179,1140
1517691605,1142,1119
1517692506,1026,1042
1517693405,1017,1012
1517694306,851,855
1517695204,884,906
1517696104,860,876
1517697005,963,976
1517697905,882,903
1517698805,722,744
1517699705,616,672
1517700604,860,880
1517701505,877,901
1517702405,820,817
1517703304,877,875
1517704203,946,949
1517705104,968,979
1517706005,969,966
1517706903,1207,1191
1517707803,1213,1191
1517708704,1327,1318
1517709604,1096,1116
1517710503,1087,1082
1517711404,1159,1132
1517712304,1321,1307
1517713203,1402,1395
1517714104,1363,1341
1517715003,1414,1383
1517715903,1311,1287
1517716804,1614,1624
1517717703,1808,1775
1517718604,2038,1980
1517719504,1836,1788
1517720404,1689,1646
1517721303,2213,2161
1517722204,2016,1933
1517723103,1879,1819
1517724004,1877,1846
1517724904,2060,1966
1517725804,1885,1825
1517726703,1606,1568
1517727603,1892,1867
1517728503,1877,1861
1517729404,1835,1829
1517730303,1741,1749
1517731204,1857,1858
1517732105,1814,1805
1517733003,1766,1842
1517733904,1654,1722
1517734804,1947,1991
1517735704,1811,1847
1517736604,1643,1696
1517737504,1700,1715
1517738404,1635,1713
1517739304,1732,1821
1517740204,1496,1558
1517741105,1858,1955
1517742004,1782,1849
1517742905,1715,1755
1517743805,1340,1378
1517744704,1669,1730
1517745605,1654,1700
1517746504,1737,1775
1517747404,1647,1689
1517748304,1830,1844
1517749205,1887,1877
1517750105,1859,1871
1517751004,1755,1760
1517751905,2123,2133
1517752805,2192,2078
1517753705,1806,1752
1517754606,1964,1932
1517755506,2046,1975
1517756406,1748,1729
1517757306,1579,1538
1517758206,1842,1778
1517759105,1733,1668
1517760007,1693,1642
1517760906,1398,1351
1517761806,1551,1527
1517762706,1626,1586
1517763606,1453,1417
1517764505,1310,1276
1517765406,1261,1230
1517766305,1387,1370
1517767205,1198,1172
1517768105,1252,1207
1517769905,2287,2296
1517770805,1171,1170
1517771705,1057,1056
1517772604,989,973
1517773505,914,930
1517774404,854,865
1517775304,996,1017
1517776204,820,832
1517777104,890,916
1517778004,865,927
1517778904,739,768
1517779803,579,660
1517780704,464,527
1517781604,477,550
1517782503,480,552
1517783403,370,445
1517784304,413,479
1517785204,412,501
1517786104,386,470
1517787003,403,481
1517787903,335,401
1517788804,394,448
1517789704,378,431
1517790603,370,419
1517791503,339,385
1517792403,368,398
1517793303,322,360
1517794203,306,331
1517795103,246,1242
1517796003,343,1821
1517796903,228,1864
1517797803,275,1532
1517798703,374,1617
1517799603,237,1715
1517800503,256,1487
1517801403,500,1396
1517802302,257,1481
1517803203,227,1248
1517804102,276,1230
1517805002,283,1026
1517805902,270,1142
1517806803,181,1197
1517807702,136,1061
1517808602,92,934
1517809502,77,913
1517810402,129,984
1517811302,205,833
1517812202,115,905
1517813102,74,810
1517814002,64,935
1517814902,193,897
1517815802,210,797
1517816702,120,766
1517817602,87,661
1517818501,177,720
1517819402,594,808
1517820302,463,696
1517821202,306,721
1517822101,393,710
1517823002,464,594
1517823902,426,540
1517824802,280,343
1517825701,432,303
1517826602,426,284
1517827502,515,244
1517828402,402,307
1517829302,473,327
1517830201,452,300
1517831101,322,247
1517832002,423,233
1517832902,427,323
1517833801,404,376
1517834702,356,266
1517835601,370,264
1517836502,561,312
1517837402,422,353
1517838301,329,347
1517839201,329,282
1517840102,568,297
1517841001,637,297
1517841901,476,307
1517842802,689,501
1517843702,617,245
1517844601,550,326
1517845502,526,561
1517846402,599,290
1517847301,590,228
1517848202,800,320
1517849103,570,424
1517850001,568,352
1517850902,959,197
1517851802,1032,239
1517852702,964,198
1517853602,845,135
1517854502,746,126
1517855402,855,148
1517856302,755,162
1517857202,713,163
1517858102,660,140
1517859002,560,222
1517859902,593,188
1517860803,587,156
1517861703,520,115
1517862602,583,214
1517863502,537,647
1517864402,603,344
1517865303,568,442
1517866203,524,448
1517867102,561,437
1517868002,497,373
