DateTime,Entries,UniqueIPs
1517549406,38053,38053
1517550306,38004,38004
1517551206,37983,37983
1517552105,37984,37984
1517553006,38050,38050
1517553905,38260,38260
1517554807,38320,38320
1517555706,38561,38561
1517556606,38792,38792
1517557506,38831,38831
1517558407,38933,38933
1517559306,39045,39045
1517560207,39125,39125
1517561106,39189,39189
1517562006,39222,39222
1517562906,39304,39304
1517563806,39322,39322
1517565605,39371,39371
1517566505,39360,39360
1517567406,39343,39343
1517568307,39386,39386
1517569206,39364,39364
1517570107,39363,39363
1517571006,39371,39371
1517571907,39376,39376
1517572806,39395,39395
1517573706,39346,39346
1517574607,39298,39298
1517575506,39284,39284
1517576407,39251,39251
1517577307,39263,39263
1517578207,39233,39233
1517579107,39223,39223
1517580007,39215,39215
1517580907,39215,39215
1517581807,39224,39224
1517582707,39228,39228
1517583607,39219,39219
1517584507,39224,39224
1517585407,39219,39219
1517586307,39230,39230
1517587206,39294,39294
1517588107,39324,39324
1517589006,39335,39335
1517589907,39343,39343
1517590807,39360,39360
1517591706,39341,39341
1517592607,39345,39345
1517593507,39341,39341
1517594407,39343,39343
1517595307,39309,39309
1517596206,39286,39286
1517597105,39243,39243
1517598006,39232,39232
1517598906,39176,39176
1517599806,39177,39177
1517600706,39162,39162
1517601606,39154,39154
1517602505,39115,39115
1517603406,39076,39076
1517604306,39064,39064
1517605205,39038,39038
1517606105,39010,39010
1517607005,39004,39004
1517607905,38929,38929
1517608806,38788,38788
1517609705,38730,38730
1517610606,38691,38691
1517612406,38599,38599
1517613306,38533,38533
1517614205,38477,38477
1517615106,38417,38417
1517616005,38367,38367
1517616905,38345,38345
1517617805,38338,38338
1517618705,38308,38308
1517619605,38263,38263
1517620505,38212,38212
1517621405,38193,38193
1517622305,38235,38235
1517623205,38280,38280
1517624105,38281,38281
1517625006,38299,38299
1517625906,38336,38336
1517626804,38359,38359
1517627705,38350,38350
1517628605,38342,38342
1517629506,38501,38501
1517630406,38635,38635
1517631305,38734,38734
1517632206,38850,38850
1517633106,38964,38964
1517634006,39032,39032
1517634906,39130,39130
1517635807,39236,39236
1517636707,39254,39254
1517637606,39264,39264
1517638507,39269,39269
1517639406,39294,39294
1517640305,39349,39349
1517641206,39401,39401
1517642106,39404,39404
1517643005,39398,39398
1517643907,39417,39417
1517644806,39414,39414
1517645707,39393,39393
1517646606,39380,39380
1517647506,39367,39367
1517648406,39356,39356
1517649306,39345,39345
1517650206,39313,39313
1517651105,39283,39283
1517652007,39274,39274
1517652907,39269,39269
1517653806,39259,39259
1517654706,39241,39241
1517655606,39234,39234
1517656508,39207,39207
1517657407,39186,39186
1517658307,39171,39171
1517659207,39118,39118
1517660105,39094,39094
1517661005,39101,39101
1517661906,39060,39060
1517662806,39009,39009
1517663706,38951,38951
1517664606,38875,38875
1517665506,38870,38870
1517666405,38819,38819
1517667305,38751,38751
1517668206,38676,38676
