DateTime,Entries,UniqueIPs
1515714029,2259,2287
1515719430,2262,2290
1515724828,2241,2268
1515728425,2276,2303
1515733828,2298,2325
1515738028,2301,2329
1515743428,2297,2327
1515747629,2319,2349
1515754826,2326,2358
1515759029,2284,2313
1515764429,2250,2279
1515769828,2271,2300
1515774631,2244,2272
1515778225,2265,2294
1515785425,2296,2323
1515789628,2204,2231
1515793225,2265,2293
1515796828,2285,2312
1515802229,2430,2457
1515807630,2685,2713
1515813030,2721,2747
1515818431,2847,2874
1515823831,2930,2958
1515829230,2910,2938
1515832828,2904,2931
1515838231,2902,2929
1515841827,2907,2934
1515847235,2899,2927
1515852633,2897,2924
1515857431,2874,2901
1515861028,2906,2933
1515868828,2870,2895
1515871831,2842,2868
1515875428,2893,2920
1515879031,2857,2882
1515883232,2833,2858
1515886828,2884,2910
1515892829,2855,2880
1515897628,2873,2900
1515903629,2877,2904
1515908428,2832,2859
1515912026,2893,2920
1515917428,2873,2899
1515922829,2895,2921
1515928229,2865,2892
1515931225,2881,2908
1515935429,2857,2883
1515939026,2879,2907
1515945028,2907,2935
1515949228,2863,2890
1515952826,2911,2939
1515956429,2913,2942
1515960026,2902,2932
1515963629,2926,2956
1515971427,2951,2982
1515975028,2446,2474
1515980428,2254,2281
1515985828,2247,2274
1515989426,2266,2293
1515994828,2269,2295
1515997825,2229,2254
1516001428,2251,2276
1516005026,2273,2298
1516009228,2232,2260
1516014028,2261,2289
1516018229,2253,2280
1516023629,2187,2214
1516029028,2230,2258
1516032025,2201,2229
1516035629,2219,2248
1516043425,2159,2188
1516046428,2150,2179
1516050628,2130,2159
1516055429,2141,2168
1516059026,2159,2186
1516063228,2145,2171
1516068628,2151,2178
1516073428,2105,2132
1516077629,2191,2219
1516083028,2308,2336
1516088429,2349,2378
1516093230,2345,2372
1516100426,2346,2374
1516108227,2282,2309
1516113029,2257,2282
1516116627,2291,2317
1516120230,2251,2277
1516123826,2221,2247
1516127430,2264,2290
1516131026,2259,2285
1516134630,2278,2303
1516138829,2278,2304
1516144229,2286,2312
1516147227,2401,2429
1516151430,2601,2630
1516155630,2687,2717
1516161031,2668,2698
1516167031,2751,2780
1516171829,2770,2799
1516177230,2788,2816
1516182636,2787,2813
1516187429,2772,2798
1516192860,2759,2786
1516198230,2802,2829
1516204230,2806,2834
1516209030,2787,2814
1516214430,2801,2828
1516219829,2752,2778
1516225230,2801,2829
1516228827,2782,2809
1516234829,2807,2833
1516240229,2764,2792
1516245029,2806,2834
1516251028,2790,2818
1516256428,2705,2733
1516261229,2672,2701
1516267229,2652,2680
1516272028,2684,2711
1516275626,2704,2732
1516281628,2694,2722
1516286428,2675,2701
1516291828,2648,2674
1516296028,2604,2630
1516300829,2590,2618
1516305629,2658,2687
1516309829,2636,2665
1516314629,2600,2629
1516318226,2623,2652
1516321829,2660,2689
1516326028,2314,2344
1516330829,2354,2384
1516335028,2278,2307
1516340429,2292,2320
1516344628,2265,2294
1516349428,2263,2292
1516354828,2253,2281
1516360228,2216,2244
1516365629,2250,2280
1516368627,2279,2309
1516372228,2267,2297
1516375825,2259,2288
1516380033,2276,2304
1516383626,2301,2333
1516387228,2273,2304
1516392629,2266,2296
1516397429,2227,2255
1516401629,2183,2209
1516406428,2190,2216
1516410628,2215,2243
1516414828,2162,2188
1516420228,2189,2216
1516425628,2160,2187
1516430428,2161,2188
1516435829,2179,2205
1516441228,2132,2158
1516444825,2175,2201
1516450229,2164,2190
1516455627,2144,2170
1516460429,2148,2173
1516464629,2193,2218
1516468226,2237,2264
1516471828,2232,2260
1516477229,2257,2285
1516482028,2275,2303
1516486228,2253,2281
1516491028,2254,2281
1516495228,2242,2268
1516500628,2270,2298
1516506029,2251,2278
1516511431,2263,2288
1516515026,2235,2262
1516520429,2223,2250
1516526428,2205,2231
1516531230,2181,2208
1516536628,2180,2207
1516542028,2207,2234
1516548029,2202,2229
1516552830,2154,2179
1516558229,2165,2189
1516561825,2217,2242
1516566629,2244,2267
1516570828,2250,2272
1516576229,2264,2286
1516581628,2275,2297
1516585226,2246,2268
1516591229,2218,2239
1516596028,2210,2231
1516601428,2159,2179
1516606829,2199,2220
1516611629,2088,2108
1516619426,2124,2145
1516624828,2069,2091
1516630228,2086,2109
1516635028,2088,2111
1516638626,2107,2130
1516642229,2133,2156
1516649426,2079,2100
1516653628,2069,2089
1516657226,2163,2183
1516662628,2193,2216
1516667429,2181,2204
1516671026,2244,2267
1516675230,2228,2253
1516680628,2243,2267
1516686028,2230,2252
1516690828,2212,2235
1516698025,2233,2258
1516701628,2195,2219
1516705225,2216,2240
1516708828,2199,2224
1516712426,2221,2246
1516716628,2140,2163
1516720225,2164,2187
1516723229,2192,2216
1516727428,2129,2155
1516732229,2164,2190
1516736428,2181,2207
1516741829,2149,2175
1516744826,2180,2207
1516752026,2195,2222
1516755629,2236,2263
1516759828,2210,2237
1516765828,2208,2234
1516770628,2210,2236
1516776628,2218,2243
1516782028,2197,2223
1516787428,2193,2217
1516792828,2192,2216
1516797629,2162,2186
1516803028,2199,2223
1516808428,2165,2188
1516813228,2191,2215
1516817428,2172,2196
1516822829,2183,2206
1516826426,2184,2208
1516830029,2235,2260
1516834829,2199,2224
1516839028,2221,2246
1516842625,2225,2249
1516848029,2201,2225
1516851625,2244,2268
1516857028,2243,2266
1516860625,2225,2248
1516864228,2195,2217
1516867225,2208,2230
1516870828,2199,2221
1516874426,2233,2255
1516878029,2218,2239
1516885225,2218,2238
1516889428,2172,2192
1516894828,2164,2184
1516900228,2156,2177
1516903226,2175,2197
1516906829,2208,2230
1516911029,2125,2147
1516915828,2103,2126
1516920028,2141,2164
1516925428,2140,2162
