DateTime,AddedIPs,RemovedIPs
1515454225,6,8
1515461425,0,4
1515465027,2,11
1515472226,0,2
1515479427,1,1
1515483627,1,7
1515487225,1,0
1515496227,1,16
1515503427,1,4
1515509427,0,4
1515514228,1,2
1515519627,2,4
1515522624,1,0
1515526826,2,14
1515535228,0,7
1515543024,1,3
1515546627,1,7
1515552026,2,6
1515558027,2,10
1515563427,1,5
1515568827,1,5
1515573627,1,4
1515578427,1,5
1515583227,0,6
1515588627,0,6
1515594027,1,7
1515598827,1,6
1515604227,0,11
1515612628,1,5
1515619824,2,1
1515624027,0,10
1515629427,2,3
1515633024,1,0
1515638426,2,13
1515643826,1,4
1515649226,0,5
1515654028,38,5
1515657625,28,10
1515661828,0,18
1515667828,7,8
1515672628,0,15
1515678029,2,15
1515683429,1,10
1515688230,1,3
1515692429,0,2
1515697829,3,0
1515702630,0,7
1515706226,1,0
1515709829,3,5
1515714029,12,9
1515719430,15,0
1515724828,7,4
1515728425,7,8
1515733828,3,5
1515738028,8,7
1515743428,2,7
1515747629,1,2
1515754826,0,1
1515759029,2,5
1515764429,0,4
1515769828,0,3
1515774631,1,0
1515778225,3,6
1515785425,13,3
1515789628,3,9
1515793225,2,0
1515796828,23,0
1515802229,179,4
1515807630,229,7
1515813030,93,8
1515818431,86,1
1515823831,41,6
1515832828,0,3
1515838231,0,8
1515841827,3,9
1515847235,3,8
1515852633,5,6
1515857431,2,1
1515861028,1,0
1515868828,15,8
1515871831,1,0
1515875428,8,7
1515879031,5,2
1515883232,2,3
1515886828,5,0
1515892829,3,6
1515897628,6,70
1515903629,2,16
1515908428,1,24
1515912026,1,0
1515917428,5,21
1515922829,2,22
1515928229,1,0
1515931225,1,16
1515935429,1,19
1515945028,2,14
1515949228,1,21
1515952826,1,0
1515956429,0,4
1515960026,1,0
1515963629,2,15
1515971427,2,7
1515975028,1,58
1515980428,0,2
1515985828,0,5
1515989426,1,0
1515994828,1,87
1516001428,0,11
1516009228,1,16
1516014028,2,7
1516023629,3,7
1516029028,1,7
1516035629,0,1
1516043425,0,6
1516046428,0,6
1516050628,0,8
1516055429,1,3
1516063228,2,7
1516068628,4,5
1516073428,1,7
1516077629,23,7
1516083028,58,0
1516088429,4,6
1516093230,0,5
1516100426,0,2
1516108227,1,4
1516113029,1,3
1516116627,2,0
