DateTime,Entries,UniqueIPs
1515714029,1115,1115
1515719430,1134,1134
1515724828,1133,1133
1515728425,1125,1125
1515733828,1149,1149
1515738028,1158,1158
1515743428,1106,1106
1515747629,1052,1052
1515754826,1095,1095
1515759029,1111,1111
1515764429,1081,1081
1515769828,1072,1072
1515774631,1087,1087
1515778225,1100,1100
1515785425,1157,1157
1515789628,1146,1146
1515793225,1147,1147
1515796828,1179,1179
1515802229,1369,1369
1515807630,1619,1619
1515813030,1703,1703
1515818431,1781,1781
1515823831,1804,1804
1515829230,1783,1783
1515832828,1771,1771
1515838231,1742,1742
1515841827,1741,1741
1515847235,1730,1730
1515852633,1725,1725
1515857431,1727,1727
1515861028,1725,1725
1515868828,1770,1770
1515871831,1779,1779
1515875428,1798,1798
1515879031,1805,1805
1515883232,1805,1805
1515886828,1654,1654
1515892829,1357,1357
1515897628,1220,1220
1515903629,1162,1162
1515908428,1156,1156
1515912026,1170,1170
1515917428,1119,1119
1515922829,1125,1125
1515928229,1125,1125
1515931225,1106,1106
1515935429,1077,1077
1515939026,1070,1070
1515945028,1072,1072
1515949228,1088,1088
1515952826,1125,1125
1515956429,1115,1115
1515960026,1115,1115
1515963629,1143,1143
1515971427,1132,1132
1515975028,1104,1104
1515980428,1085,1085
1515985828,1084,1084
1515989426,1072,1072
1515994828,1034,1034
1515997825,1005,1005
1516001428,1011,1011
1516005026,1019,1019
1516009228,1030,1030
1516014028,1065,1065
1516018229,1052,1052
1516023629,1054,1054
1516029028,1030,1030
1516032025,1022,1022
1516035629,1009,1009
1516043425,1037,1037
1516046428,1062,1062
1516050628,1055,1055
1516055429,1035,1035
1516059026,1052,1052
1516063228,1048,1048
1516068628,1057,1057
1516073428,1058,1058
1516077629,1085,1085
1516083028,1172,1172
1516088429,1156,1156
1516093230,1156,1156
1516100426,1160,1160
1516108227,1132,1132
1516113029,1117,1117
1516116627,1111,1111
1516120230,1125,1125
1516123826,1126,1126
1516127430,1144,1144
1516131026,1178,1178
1516134630,1222,1222
1516138829,1257,1257
1516144229,1235,1235
1516147227,1346,1346
1516151430,1597,1597
1516155630,1630,1630
1516161031,1612,1612
1516167031,1644,1644
1516171829,1589,1589
1516177230,1505,1505
1516182636,1462,1462
1516187429,1446,1446
1516192860,1476,1476
1516198230,1518,1518
1516204230,1542,1542
1516209030,1541,1541
1516214430,1470,1470
1516219829,1468,1468
1516225230,1501,1501
1516228827,1548,1548
1516234829,1593,1593
1516240229,1447,1447
1516245029,1278,1278
1516251028,1177,1177
1516256428,1151,1151
1516261229,1147,1147
1516267229,1128,1128
1516272028,1117,1117
1516275626,1131,1131
1516281628,1123,1123
1516286428,1116,1116
1516291828,1099,1099
1516296028,1103,1103
1516300829,1162,1162
1516305629,1194,1194
1516309829,1173,1173
1516314629,1177,1177
1516318226,1161,1161
1516321829,1197,1197
1516326028,1177,1177
1516330829,1105,1105
1516335028,1078,1078
1516340429,1073,1073
1516344628,1061,1061
1516349428,1061,1061
1516354828,1062,1062
1516360228,1056,1056
1516365629,1026,1026
1516368627,1035,1035
1516372228,997,997
1516375825,994,994
1516380033,1011,1011
1516383626,1055,1055
1516387228,1057,1057
1516392629,1082,1082
1516397429,1132,1132
1516401629,1096,1096
1516406428,1108,1108
1516410628,1113,1113
1516414828,1135,1135
1516420228,1126,1126
1516425628,1133,1133
1516430428,1114,1114
1516435829,1062,1062
1516441228,1086,1086
1516444825,1097,1097
1516450229,1097,1097
1516455627,1085,1085
1516460429,1079,1079
1516464629,1116,1116
1516468226,1148,1148
1516471828,1153,1153
1516477229,1147,1147
1516482028,1139,1139
1516486228,1165,1165
1516491028,1173,1173
1516495228,1157,1157
1516500628,1169,1169
1516506029,1135,1135
1516511431,1132,1132
1516515026,1133,1133
1516520429,1125,1125
1516526428,1094,1094
1516531230,1077,1077
1516536628,1075,1075
1516542028,1046,1046
1516548029,1042,1042
1516552830,1033,1033
1516558229,1086,1086
1516561825,1109,1109
1516566629,1124,1124
1516570828,1147,1147
1516576229,1138,1138
1516581628,1126,1126
1516585226,1120,1120
1516591229,1054,1054
1516596028,1029,1029
1516601428,1005,1005
1516606829,1039,1039
1516611629,1032,1032
1516619426,1007,1007
1516624828,1021,1021
1516630228,984,984
1516635028,979,979
1516638626,975,975
1516642229,990,990
1516649426,1034,1034
1516653628,1026,1026
1516657226,1087,1087
1516662628,1134,1134
1516667429,1118,1118
1516671026,1168,1168
1516675230,1173,1173
1516680628,1122,1122
1516686028,1066,1066
1516690828,1068,1068
1516698025,1054,1054
1516701628,1016,1016
1516705225,988,988
1516708828,996,996
1516712426,1002,1002
1516716628,1009,1009
1516720225,1008,1008
1516723229,1016,1016
1516727428,1038,1038
1516732229,1046,1046
1516736428,1069,1069
1516741829,1101,1101
1516744826,1123,1123
1516752026,1104,1104
1516755629,1158,1158
1516759828,1161,1161
1516765828,1111,1111
1516770628,1121,1121
1516776628,1103,1103
1516782028,1082,1082
1516787428,1061,1061
1516792828,1062,1062
1516797629,1038,1038
1516803028,1029,1029
1516808428,1047,1047
1516813228,1048,1048
1516817428,1049,1049
1516822829,1091,1091
1516826426,1127,1127
1516830029,1145,1145
1516834829,1143,1143
1516839028,1136,1136
1516842625,1135,1135
1516848029,1131,1131
1516851625,1090,1090
1516857028,1049,1049
1516860625,1053,1053
1516864228,1039,1039
1516867225,1020,1020
1516870828,1038,1038
1516874426,1026,1026
1516878029,1025,1025
1516885225,1048,1048
1516889428,1076,1076
1516894828,1046,1046
1516900228,1041,1041
1516903226,1092,1092
1516906829,1150,1150
1516911029,1129,1129
1516915828,1116,1116
1516920028,1108,1108
1516925428,1070,1070
1516930828,1073,1073
1516934425,1095,1095
1516939228,1052,1052
1516943429,1053,1053
1516948228,1016,1016
1516952427,984,984
1516956025,985,985
1516959629,970,970
1516962625,980,980
1516966228,993,993
1516970428,1018,1018
1516975829,1007,1007
1516980628,963,963
1516984225,973,973
1516991426,1021,1021
1516995029,1035,1035
1517002226,1086,1086
1517005829,1127,1127
1517009425,1141,1141
1517013027,1127,1127
1517020225,1048,1048
1517024427,1046,1046
1517029828,1026,1026
1517035228,987,987
1517040628,942,942
1517045428,955,955
1517049025,941,941
1517052629,932,932
1517056226,934,934
1517059829,947,947
1517067026,959,959
1517070629,979,979
1517074828,1003,1003
1517079628,986,986
1517083226,1002,1002
1517086828,1040,1040
1517094027,1104,1104
1517097629,1090,1090
1517101225,1098,1098
1517105428,1107,1107
1517109026,1090,1090
1517114428,1063,1063
1517119829,1019,1019
1517123427,1012,1012
1517127027,1017,1017
1517130628,1006,1006
1517133628,1027,1027
1517137226,1042,1042
1517141428,1043,1043
1517146829,996,996
1517152228,981,981
1517157628,988,988
1517161225,987,987
1517164228,1008,1008
1517167826,1057,1057
1517171429,1088,1088
1517175026,1134,1134
1517182227,1166,1166
1517185829,1179,1179
1517189426,1186,1186
1517193028,1197,1197
1517197228,1181,1181
1517202629,1174,1174
1517208028,1111,1111
1517213428,1075,1075
1517217026,1017,1017
