DateTime,AddedIPs,RemovedIPs
1515709826,5,0
1515714027,9,7
1515719426,3,5
1515724826,6,0
1515728423,3,5
1515733826,7,1
1515738025,6,8
1515743426,1,0
1515747626,6,8
1515754824,7,8
1515759026,3,9
1515764426,3,3
1515769826,4,6
1515774628,5,5
1515778223,3,0
1515785423,5,3
1515789626,2,12
1515793223,3,0
1515796826,7,5
1515802226,3,5
1515807626,6,2
1515813026,5,2
1515818427,7,4
1515823826,3,9
1515829226,6,0
1515832823,3,7
1515838226,2,6
1515841823,5,0
1515847231,4,10
1515852628,9,4
1515857427,5,4
1515861024,6,0
1515868823,5,14
1515871827,4,0
1515875424,7,11
1515879027,5,0
1515883227,7,11
1515892826,5,6
1515897625,2,5
1515903626,5,0
1515908425,3,10
1515912023,6,0
1515917425,6,18
1515922826,5,4
1515928226,2,5
1515931223,4,0
1515935426,4,9
1515939023,6,0
1515945025,5,10
1515949225,4,13
1515952823,2,0
1515956427,7,3
1515960024,4,4
1515963627,6,4
1515971424,8,16
1515975025,6,0
1515980425,4,2
1515985826,5,8
1515989423,6,7
1515994825,4,2
1515997823,5,0
1516001426,4,4
1516005023,6,3
1516009226,6,3
1516014025,9,8
1516018226,6,13
1516023626,7,3
1516029026,2,7
1516032023,4,3
1516035626,4,0
1516043423,6,1
1516046426,5,2
1516050626,4,15
1516055426,1,0
1516059024,2,0
1516063225,2,2
1516068625,2,5
1516073425,5,6
1516077626,4,8
1516083025,7,3
1516088426,2,0
1516093227,5,15
1516100424,6,0
1516108224,1,5
1516113026,7,7
1516116624,8,6
1516120226,2,0
1516123823,2,5
1516127426,3,7
1516131023,3,4
1516134627,2,0
1516138826,6,9
1516144226,7,6
1516147224,7,0
1516151426,10,16
1516155626,4,0
1516161027,9,5
1516167027,7,7
1516171826,5,9
1516177226,6,4
1516182632,6,3
1516187426,3,4
1516192856,4,6
1516198226,7,4
1516204226,4,3
1516209026,5,9
1516214426,8,6
1516219826,4,4
1516225227,5,5
1516228824,5,0
1516234826,5,7
1516240226,8,8
1516245026,1,3
1516251026,5,3
1516256425,4,3
1516261226,3,11
1516267226,5,0
1516272025,5,16
1516275623,5,0
1516281626,6,2
1516286425,5,4
1516291826,6,8
1516296025,7,6
1516300826,9,3
1516305626,4,6
1516309826,6,7
1516314626,6,3
1516318223,5,0
1516321827,6,0
1516326026,3,8
1516330826,5,7
1516335026,5,0
1516340426,4,3
1516344626,3,4
1516349426,4,1
1516354825,5,3
1516360226,5,3
1516365626,4,3
1516368625,3,0
1516372226,6,4
1516375823,5,0
1516380031,4,9
1516383623,7,0
1516387226,7,0
1516392626,3,4
1516397426,5,8
1516401626,4,6
1516406426,5,0
1516410625,9,1
1516414825,4,9
1516420225,8,6
1516425626,1,4
1516430425,6,4
1516435826,4,9
1516441226,3,0
1516444823,1,3
1516450226,1,4
1516455625,6,5
1516460426,3,7
1516464626,7,10
1516468224,6,0
1516471826,4,0
1516477227,5,7
1516482026,3,9
1516486225,3,0
1516491026,5,11
1516495225,6,0
1516500625,6,6
1516506026,3,4
1516511429,1,6
1516515023,6,0
1516520426,4,6
1516526426,4,8
1516531227,2,4
1516536625,1,7
1516542025,1,11
1516548026,3,0
1516552828,6,4
1516558227,2,14
1516561823,8,4
1516566626,4,9
1516570826,1,0
1516576226,2,6
1516581625,7,5
1516585224,6,0
1516591226,6,6
1516596025,3,15
1516601426,4,3
1516606826,7,15
1516611626,4,3
1516619423,5,10
1516624826,4,13
1516630226,7,6
1516635026,3,4
1516638623,4,5
1516642226,4,5
1516649423,2,6
1516653626,4,4
1516657223,8,0
1516662626,2,14
1516667426,5,0
1516671023,3,0
1516675228,6,10
1516680626,2,4
1516686026,3,3
1516690825,6,6
1516698023,4,3
1516701626,4,1
1516705223,8,0
1516708826,6,6
1516712423,4,0
1516716625,5,4
1516720223,6,0
1516723226,5,11
1516727425,3,2
1516732226,5,5
1516736426,8,8
1516741826,5,0
1516744823,7,0
1516752023,4,13
1516755626,4,5
1516759826,5,12
1516765826,4,0
1516770625,5,6
1516776625,3,10
1516782025,4,6
1516787426,8,4
1516792825,6,6
1516797626,7,6
1516803026,6,8
1516808426,5,5
1516813226,5,0
1516817426,4,4
1516822826,3,5
1516826423,5,0
1516830026,7,5
1516834826,3,9
1516839026,6,2
1516842623,6,0
1516848026,4,5
1516851623,4,0
1516857026,7,11
1516860623,3,0
1516864226,7,4
1516867223,3,0
1516870826,3,6
1516874423,6,4
1516878026,9,0
1516885223,8,10
1516889426,4,3
1516894826,2,5
1516900226,5,7
1516903224,5,0
1516906826,7,7
1516911026,6,12
1516915826,3,7
1516920026,6,7
1516925425,0,6
1516930826,10,0
1516934423,2,3
1516939226,7,6
1516943426,5,5
1516948225,5,8
1516952425,3,3
1516956023,9,0
1516959626,2,2
1516962623,6,6
1516966225,6,0
1516970426,5,9
1516975826,4,10
1516980625,5,4
1516984223,1,0
1516991424,3,11
1516995026,6,2
1517002223,6,8
1517005827,6,4
1517009423,4,0
