DateTime,AddedIPs,RemovedIPs
1515714027,24,26
1515719426,21,24
1515724826,23,22
1515728423,22,21
1515733826,22,23
1515738025,24,20
1515743426,18,25
1515747626,24,18
1515754824,23,24
1515759026,22,23
1515764426,22,23
1515769826,24,22
1515774628,20,24
1515778223,17,15
1515785423,20,18
1515789626,21,22
1515793223,23,22
1515796826,22,23
1515802226,24,21
1515807626,24,25
1515813026,22,24
1515818427,22,22
1515823826,21,22
1515829226,22,21
1515832823,24,22
1515838226,22,26
1515841823,20,19
1515847231,22,20
1515852628,23,22
1515857427,22,22
1515861024,22,22
1515868823,23,25
1515871827,22,23
1515875424,18,17
1515879027,22,21
1515883227,24,23
1515886824,20,23
1515892826,22,21
1515897625,20,22
1515903626,21,19
1515908425,23,22
1515912023,22,23
1515917425,26,24
1515922826,23,26
1515928226,22,22
1515931223,21,21
1515935426,24,22
1515939023,24,24
1515945025,23,24
1515949225,24,23
1515952823,21,23
1515956427,20,19
1515960024,21,22
1515963627,24,21
1515971424,21,21
1515975025,22,23
1515980425,23,23
1515985826,23,22
1515989423,22,23
1515994825,21,22
1515997823,24,23
1516001426,24,23
1516005023,21,23
1516009226,25,22
1516014025,26,26
1516018226,23,24
1516023626,24,24
1516029026,21,25
1516032023,25,22
1516035626,20,22
1516043423,22,19
1516046426,26,25
1516050626,23,26
1516055426,22,23
1516059024,22,22
1516063225,23,23
1516068625,23,20
1516073425,23,24
1516077626,21,22
1516083025,23,22
1516088426,22,22
1516093227,24,22
1516100424,21,23
1516108224,21,23
1516113026,24,22
1516116624,22,21
1516120226,19,24
1516123823,20,19
1516127426,24,20
1516131023,22,23
1516134627,20,22
1516138826,21,20
1516144226,25,22
1516147224,21,24
1516151426,21,19
1516155626,21,23
1516161027,22,21
1516167027,20,21
1516171826,23,21
1516177226,19,24
1516182632,21,18
1516187426,19,21
1516192856,21,21
1516198226,26,22
1516204226,22,24
1516209026,22,22
1516214426,23,23
1516219826,21,22
1516225227,19,20
1516228824,25,22
1516234826,25,25
1516240226,25,23
1516245026,19,25
1516251026,24,20
1516256425,23,24
1516261226,24,23
1516267226,24,24
1516272025,23,25
1516275623,19,20
1516281626,23,19
1516286425,23,25
1516291826,26,23
1516296025,23,24
1516300826,24,23
1516305626,22,26
1516309826,24,20
1516314626,26,27
1516318223,20,23
1516321827,22,22
1516326026,21,22
1516330826,21,19
1516335026,22,22
1516340426,22,22
1516344626,24,22
1516349426,21,24
1516354825,24,22
1516360226,21,22
1516365626,23,23
1516368625,19,20
1516372226,23,22
1516375823,19,19
1516380031,21,21
1516383623,22,21
1516387226,20,21
1516392626,23,21
1516397426,21,23
1516401626,19,21
1516406426,22,20
1516410625,24,21
