DateTime,AddedIPs,RemovedIPs
1517567045,1,1
1517567525,1,1
1517568010,1,1
1517568487,1,0
1517571608,0,1
1517572565,1,1
1517573047,1,1
1517573528,1,0
1517576415,0,2
1517576886,1,0
1517577373,1,1
1517577844,0,1
1517578331,1,0
1517578805,1,1
1517579292,1,0
1517581685,0,1
1517582168,1,0
1517582648,0,1
1517583128,1,0
1517584089,0,1
1517584565,1,0
1517586486,0,1
1517586968,1,1
1517587451,1,1
1517587926,1,1
1517588650,1,0
1517589132,0,1
1517589604,1,0
1517591289,0,1
1517591767,1,1
1517592248,1,1
1517593208,1,0
1517593690,0,2
1517594165,1,0
1517596568,0,1
1517597530,1,1
1517598009,1,0
1517598486,0,1
1517598970,1,0
1517601365,0,2
1517601850,2,2
1517602325,1,1
1517602812,2,1
1517603289,1,1
1517603769,1,0
1517604726,0,1
1517605214,1,1
1517605687,1,0
1517607132,0,1
1517607605,1,0
1517608097,0,1
1517608567,1,0
1517610967,0,1
1517611451,1,0
1517612887,0,1
1517613366,1,1
1517613845,1,0
1517614331,0,1
1517615532,1,0
1517616019,0,1
1517616488,1,1
1517616972,1,1
1517617445,1,1
1517618408,1,0
1517618889,0,1
1517619368,1,0
1517619846,5,8
1517620576,16,11
1517621046,9,10
1517621531,11,10
1517622005,8,15
1517622487,8,6
1517622969,10,14
1517623449,10,13
1517623926,16,14
1517624408,17,13
1517624888,5,2
1517625367,3,1
1517625846,0,1
1517626330,0,3
1517626816,2,0
1517630412,0,1
1517630886,1,1
1517631367,1,1
1517631844,1,0
1517634727,0,1
1517635213,1,1
1517635685,1,1
1517636170,1,1
1517636645,1,0
1517639530,0,1
1517640008,1,1
1517640485,1,1
1517640966,1,1
1517641447,1,0
1517641927,0,2
1517642409,2,0
1517644328,0,1
1517644820,1,1
1517645286,1,1
1517645777,1,0
1517650086,0,1
1517650567,1,1
1517651050,1,1
1517652020,1,1
1517652486,1,0
1517654412,0,1
1517654889,1,1
1517655366,1,1
1517656088,1,0
1517658969,0,1
1517659448,1,1
1517660658,1,0
1517664007,0,1
1517664487,1,1
1517664971,1,1
1517665447,1,0
1517669766,0,1
1517670726,1,1
1517671449,1,1
1517671927,1,0
1517674331,0,2
1517674806,2,1
1517675290,1,1
1517676249,1,1
1517676726,1,0
1517679129,0,1
1517679605,1,0
1517680090,0,1
1517680570,1,1
1517681048,1,0
1517681529,0,1
1517682007,1,0
1517684417,0,1
1517684891,1,1
1517685368,1,0
1517685849,0,1
1517687287,1,0
1517688250,0,1
1517689210,1,1
1517689688,1,1
1517690169,1,0
1517693530,0,1
1517694250,1,0
1517696171,0,1
1517696646,1,0
1517698329,0,1
1517698817,0,1
1517699288,2,1
1517700248,0,1
1517700729,1,1
1517701449,2,0
1517703128,0,1
1517704091,1,1
1517705046,1,0
1517705532,0,1
1517706013,1,0
1517706489,10,13
1517706967,11,10
1517707450,13,16
1517707934,10,12
1517708407,12,7
1517708891,16,12
1517709367,14,12
1517710090,15,17
1517710567,1,1
1517711049,2,1
1517711533,1,1
1517713453,0,1
1517713925,1,0
1517717768,0,1
1517718247,1,1
1517718726,1,1
1517719211,1,0
1517719686,0,1
1517720168,1,0
1517723047,0,3
1517723530,2,1
1517724022,1,1
1517724486,2,1
1517725444,1,2
1517726172,2,0
1517728087,0,1
1517728569,1,0
1517730007,0,1
1517730486,1,0
1517733369,0,1
1517733847,1,1
1517734816,1,1
1517735287,1,0
1517738165,0,1
1517738649,1,0
1517739126,0,1
1517739616,1,0
1517740085,0,1
1517740570,1,0
1517743206,0,1
1517744164,1,0
1517744891,0,1
1517745619,1,1
1517746086,1,0
1517748005,0,1
1517748729,1,1
1517749929,0,1
1517750405,2,1
1517750892,1,0
1517752816,0,1
1517753288,1,1
1517753770,1,1
1517754249,1,0
1517755685,0,1
1517756170,1,0
1517757604,0,1
1517758091,1,0
1517758566,0,1
1517759049,1,1
1517759527,1,1
1517760020,1,0
1517762890,0,1
1517763366,1,1
1517764089,1,0
1517767446,0,1
1517767927,1,1
1517768411,1,0
1517772011,0,2
1517772489,2,1
1517772965,1,1
1517773449,1,2
1517773928,1,1
1517774416,2,1
1517774887,1,0
1517777285,0,1
1517778248,1,0
1517779204,0,1
1517779687,1,0
1517781611,0,1
1517782090,1,1
1517782566,1,1
1517783044,1,1
1517783526,1,1
1517784008,1,0
1517786405,0,1
1517786888,1,1
1517787366,1,1
1517788091,1,0
1517790244,0,1
1517790726,1,1
1517791213,1,1
1517791931,1,0
1517792886,6,8
1517793369,11,18
1517793848,9,8
1517794328,24,15
1517794805,12,14
1517795525,11,12
1517796020,27,29
1517796485,10,7
1517796967,5,4
1517797445,2,6
1517797932,5,2
1517798405,1,2
1517798889,2,0
1517800325,0,1
1517800809,1,1
1517801286,1,0
1517801767,0,1
1517802250,1,1
1517802728,1,1
1517803213,1,0
1517805129,0,1
1517805609,1,1
1517806090,1,1
1517806565,1,1
1517807047,1,1
1517807527,1,0
1517810410,0,1
1517810887,1,1
1517811844,1,0
1517812327,0,1
1517812804,1,1
1517813764,1,0
1517815453,0,1
1517815924,1,1
1517816405,1,0
1517816885,0,1
1517817623,1,0
1517819284,0,1
1517820004,1,1
1517820488,1,1
1517820965,1,1
1517821449,0,1
1517822404,2,1
1517822888,1,1
1517823367,1,1
1517825289,1,1
1517825772,1,1
1517826488,1,0
1517826971,0,1
1517827452,1,1
1517827925,1,1
1517828414,1,1
1517828886,1,0
1517830087,1,1
1517831049,0,1
1517831526,1,0
1517833930,1,1
1517835367,0,1
1517835847,1,0
1517836329,0,1
1517836805,1,0
1517837292,0,1
1517837765,1,0
1517840645,0,1
1517841132,1,1
1517841607,1,1
1517842089,1,0
1517843053,0,1
1517843529,1,0
1517845926,0,3
1517846412,1,0
1517846891,2,1
1517847848,1,1
1517848813,1,0
1517850732,0,1
1517851206,1,1
1517851687,1,1
1517852894,1,1
1517853365,1,0
1517853849,0,1
1517854329,1,0
1517856249,0,1
1517856969,1,1
1517857451,1,0
1517858405,0,1
1517858888,1,0
1517861052,0,1
1517862009,1,1
1517862966,1,1
1517863449,1,0
1517866326,0,1
1517866808,1,1
1517867287,1,1
1517867765,1,0
1517871130,0,1
1517871610,0,1
1517872088,2,1
1517872571,1,1
1517873047,1,2
1517873526,1,0
1517874006,1,0
1517876415,0,1
1517876886,1,1
1517877366,1,1
1517877849,1,1
1517878327,1,0
1517878812,0,1
1517879286,12,13
1517879768,10,12
1517880253,16,15
1517880725,16,15
1517881210,9,7
1517881685,16,12
1517882173,20,18
1517882647,14,11
1517883128,2,2
1517883604,5,6
1517884093,5,1
1517886488,0,1
1517886968,1,1
1517887446,1,0
1517888405,0,1
1517888891,1,0
1517890805,0,1
1517891284,1,0
1517891769,0,1
1517892247,1,1
1517893215,1,1
1517894166,1,0
1517897046,0,2
1517897526,1,1
1517898010,2,0
1517901371,0,1
1517901845,1,1
1517902328,2,1
1517902806,1,0
1517903766,1,0
1517904246,0,2
1517904727,1,0
1517906649,0,1
1517907129,1,1
1517907619,1,0
1517908086,0,1
1517908567,1,1
1517909048,1,0
1517911447,0,1
1517911928,1,1
1517912405,1,0
1517913845,0,1
1517914336,1,1
1517914827,1,0
1517916732,0,1
1517917446,1,1
1517917925,1,0
1517921526,0,1
1517922016,1,1
1517922491,1,1
1517922966,1,0
1517923448,0,1
1517923929,1,0
1517926329,0,1
1517926810,1,0
1517927288,0,1
1517927765,1,1
1517928248,1,0
1517928727,0,1
1517929212,1,0
1517931605,0,1
1517932091,1,1
1517932814,1,1
1517933525,1,0
1517936886,0,1
1517937370,1,1
1517938093,1,0
1517939050,0,1
1517939526,1,1
1517940023,1,0
1517942405,1,2
1517942890,2,0
1517943851,0,1
1517944327,1,1
1517946726,0,1
1517947216,1,1
1517947690,1,1
1517948165,1,1
1517948648,1,0
1517949126,0,1
1517949611,2,2
1517950090,1,0
1517951528,0,1
1517952005,1,0
1517952487,0,1
1517952965,1,1
1517953450,1,1
1517953930,1,0
1517954413,0,1
1517954885,2,0
1517956328,0,1
1517956805,0,1
1517957294,1,1
1517958257,1,1
1517959209,1,1
1517959686,1,0
1517962089,0,1
1517963048,1,1
1517963526,1,1
1517964006,1,0
1517964486,0,1
1517964970,1,0
1517965447,7,15
1517965927,18,14
1517966409,15,17
1517966891,13,11
1517967364,7,16
1517967850,10,13
1517968325,13,19
1517968824,26,19
1517969290,9,12
1517969771,6,2
1517970244,4,3
1517970731,2,1
1517972164,0,2
1517972653,1,0
1517973126,1,1
1517973611,1,0
1517976967,0,1
1517977925,1,1
1517978408,1,1
1517979365,1,1
1517979848,1,0
1517982724,0,1
1517983215,1,0
1517984173,0,1
1517984644,1,0
1517987526,0,1
1517988009,1,0
1517990888,1,0
1517991847,0,1
1517992330,1,1
1517992805,1,2
1517993769,1,1
1517994730,1,0
1517997125,0,2
1517997616,2,1
1517998090,1,1
1517998569,1,1
1517999532,1,1
1518000008,1,1
1518000490,1,0
1518001449,1,0
1518002415,0,1
