DateTime,Entries,UniqueIPs
1517567045,5169,5169
1517567525,5169,5169
1517568010,5169,5169
1517568487,5170,5170
1517571608,5169,5169
1517572565,5169,5169
1517573047,5169,5169
1517573528,5170,5170
1517576415,5168,5168
1517576886,5169,5169
1517577373,5169,5169
1517577844,5168,5168
1517578331,5169,5169
1517578805,5169,5169
1517579292,5170,5170
1517581685,5169,5169
1517582168,5170,5170
1517582648,5169,5169
1517583128,5170,5170
1517584089,5169,5169
1517584565,5170,5170
1517586486,5169,5169
1517586968,5169,5169
1517587451,5169,5169
1517587926,5169,5169
1517588650,5170,5170
1517589132,5169,5169
1517589604,5170,5170
1517591289,5169,5169
1517591767,5169,5169
1517592248,5169,5169
1517593208,5170,5170
1517593690,5168,5168
1517594165,5169,5169
1517596568,5168,5168
1517597530,5168,5168
1517598009,5169,5169
1517598486,5168,5168
1517598970,5169,5169
1517601365,5167,5167
1517601850,5167,5167
1517602325,5167,5167
1517602812,5168,5168
1517603289,5168,5168
1517603769,5169,5169
1517604726,5168,5168
1517605214,5168,5168
1517605687,5169,5169
1517607132,5168,5168
1517607605,5169,5169
1517608097,5168,5168
1517608567,5169,5169
1517610967,5168,5168
1517611451,5169,5169
1517612887,5168,5168
1517613366,5168,5168
1517613845,5169,5169
1517614331,5168,5168
1517615532,5169,5169
1517616019,5168,5168
1517616488,5168,5168
1517616972,5168,5168
1517617445,5168,5168
1517618408,5169,5169
1517618889,5168,5168
1517619368,5169,5169
1517619846,5166,5166
1517620576,5171,5171
1517621046,5170,5170
1517621531,5171,5171
1517622005,5164,5164
1517622487,5166,5166
1517622969,5162,5162
1517623449,5159,5159
1517623926,5161,5161
1517624408,5165,5165
1517624888,5168,5168
1517625367,5170,5170
1517625846,5169,5169
1517626330,5166,5166
1517626816,5168,5168
1517630412,5167,5167
1517630886,5167,5167
1517631367,5167,5167
1517631844,5168,5168
1517634727,5167,5167
1517635213,5167,5167
1517635685,5167,5167
1517636170,5167,5167
1517636645,5168,5168
1517639530,5167,5167
1517640008,5167,5167
1517640485,5167,5167
1517640966,5167,5167
1517641447,5168,5168
1517641927,5166,5166
1517642409,5168,5168
1517644328,5167,5167
1517644820,5167,5167
1517645286,5167,5167
1517645777,5168,5168
1517650086,5167,5167
1517650567,5167,5167
1517651050,5167,5167
1517652020,5167,5167
1517652486,5168,5168
1517654412,5167,5167
1517654889,5167,5167
1517655366,5167,5167
1517656088,5168,5168
1517658969,5167,5167
1517659448,5167,5167
1517660658,5168,5168
1517664007,5167,5167
1517664487,5167,5167
1517664971,5167,5167
1517665447,5168,5168
1517669766,5167,5167
1517670726,5167,5167
1517671449,5167,5167
1517671927,5168,5168
1517674331,5166,5166
1517674806,5167,5167
1517675290,5167,5167
1517676249,5167,5167
1517676726,5168,5168
