DateTime,AddedIPs,RemovedIPs
1515878409,0,1
1515878885,1,0
1515879368,0,2
1515879848,2,0
1515888486,0,1
1515888967,1,0
1515892329,0,1
1515892805,1,0
1515893766,0,1
1515894251,1,0
1515899050,0,2
1515899528,2,0
1515901931,0,3
1515902412,3,0
1515910089,0,1
1515910569,1,0
1515911048,0,3
1515911764,2,1
1515912249,2,0
1515912731,0,1
1515913451,1,0
1515914170,0,1
1515914647,1,0
1515916088,0,2
1515916570,2,0
1515920887,0,1
1515921369,1,0
1515926168,0,1
1515926649,1,0
1515928091,0,1
1515928570,1,0
1515929530,0,1
1515930006,1,0
1515931448,0,1
1515931929,1,0
1515933365,0,1
1515933850,1,0
1515935286,0,1
1515935771,1,1
1515936247,1,0
1515936731,0,1
1515937204,1,1
1515937693,1,2
1515938165,2,0
1515946805,0,1
1515947293,1,0
1515954969,0,1
1515955449,1,0
1515955925,0,1
1515956415,1,0
1515965044,0,2
1515965525,1,0
1515966006,0,1
1515966495,1,1
1515966964,1,0
1515968165,0,1
1515968651,1,0
1515969124,0,1
1515969605,1,0
1515971047,0,1
1515971526,1,0
1515973445,0,1
1515973930,1,0
1515974482,0,1
1515974888,1,0
1515978249,0,1
1515978728,1,1
1515979211,0,2
1515979689,2,0
1515980166,0,1
1515980648,1,0
1515981126,0,2
1515981613,2,0
1515982089,0,1
1515982567,1,0
1515988090,0,1
1515988566,1,0
1515996248,0,1
1515996728,1,0
1515997205,0,1
1515997934,1,0
1516000809,0,1
1516001287,1,0
1516002728,0,2
1516003213,2,0
1516014490,0,1
1516014966,1,0
1516015925,0,1
1516016414,1,0
1516018821,0,1
1516019287,1,0
1516021688,0,1
1516022170,1,0
1516023127,0,1
1516023606,1,0
1516024090,0,1
1516024567,1,0
1516026727,0,3
1516027206,2,0
1516029132,0,1
1516030566,0,1
1516032973,0,1
1516038725,0,1
1516039222,1,0
1516039686,0,1
1516040171,1,0
1516051929,0,2
1516052406,2,0
1516054804,0,1
1516055290,1,0
1516055765,0,2
1516056249,2,0
1516056725,0,1
1516057226,1,0
1516061287,0,2
1516061770,2,0
1516065128,2,0
1516066084,0,1
1516066569,1,0
1516069927,0,2
1516070405,2,0
1516070887,0,2
1516071368,2,0
1516075690,0,1
1516076167,1,0
1516076649,0,1
1516077133,1,0
1516085765,1,0
1516106168,0,1
1516106648,1,0
1516113126,0,2
1516113613,2,0
1516124889,0,1
1516125368,1,0
1516125850,0,1
1516126325,1,0
1516126809,0,2
1516127289,2,0
1516127765,0,3
1516128245,3,0
1516128725,0,1
1516129218,1,0
1516132090,0,1
1516132567,1,0
1516134968,0,1
1516135447,1,0
1516136888,0,1
1516137379,1,0
1516138807,0,1
1516142170,0,1
1516142651,1,0
1516145046,0,1
1516145770,1,0
1516146731,0,1
1516147214,1,0
1516147685,0,1
1516148412,1,0
1516149606,0,2
1516150090,2,0
1516150564,0,1
1516151292,1,2
1516151766,2,1
1516152249,0,1
1516153448,0,1
1516153924,0,3
1516154418,2,1
1516155850,2,0
1516156328,0,2
1516156804,1,1
1516158250,0,1
1516158728,1,0
1516160171,0,3
1516160890,3,0
1516163047,0,1
1516163532,1,0
1516164736,0,2
1516165212,2,0
1516166649,0,3
1516167130,3,0
1516168567,0,2
1516169048,2,1
1516169527,1,0
1516172646,1,0
1516174089,0,1
1516175046,1,0
1516179127,0,1
1516179622,1,0
1516180092,0,2
1516180810,2,0
1516187049,0,1
1516187525,1,0
1516188252,0,2
1516188731,2,0
1516191623,1,0
1516196168,0,1
1516196649,1,0
1516201450,0,1
1516201932,1,0
1516207934,0,1
1516208416,1,0
1516209607,0,4
1516210087,4,0
1516214885,0,2
1516215365,2,0
1516215846,0,1
1516216326,1,0
1516216808,0,1
1516217286,1,0
1516217770,0,1
1516218485,1,0
1516220650,0,1
1516221125,1,0
1516232891,0,1
1516233364,1,0
1516234812,0,2
1516235292,2,0
1516238168,2,0
1516238649,1,0
1516239131,1,0
1516240565,1,0
1516241048,1,0
1516244888,0,1
1516252807,0,1
1516253292,1,0
1516258088,0,2
1516258821,2,0
1516264565,0,1
1516265052,1,0
1516276325,0,2
1516276813,2,0
1516285214,0,1
1516285688,1,0
1516286170,0,1
1516286645,1,0
1516326490,0,1
1516326964,1,0
1516337526,0,1
1516338016,1,0
1516339212,0,1
1516339695,1,0
1516341128,0,1
1516341613,1,0
1516350245,0,1
1516350726,1,0
1516355528,0,1
1516356013,1,0
1516358890,0,1
1516359365,1,0
1516359852,0,1
1516360328,1,0
1516362724,0,1
1516363214,1,0
1516367050,0,1
1516367766,1,0
1516379765,0,1
1516380251,1,0
1516394165,0,1
1516394651,1,0
1516397766,0,1
1516398249,1,0
1516410486,0,1
1516410972,1,0
1516411929,1,1
1516412891,1,1
1516413366,1,0
1516422729,0,1
1516423209,1,0
1516440011,0,1
1516440493,1,0
1516455367,0,3
1516455845,3,0
1516467126,0,3
1516467613,3,0
1516468085,0,1
1516468570,1,0
1516478653,0,1
1516479128,1,0
1516479605,0,1
1516480090,1,0
1516480568,0,2
1516481048,2,0
1516481524,0,1
1516482017,1,0
1516498804,0,1
1516499286,0,2
1516499767,1,0
1516506491,0,1
1516506965,1,0
1516507449,0,1
1516507925,1,0
1516509367,0,1
1516509848,1,0
1516511766,1,0
1516516567,0,1
1516517051,1,0
1516523767,0,2
1516524246,2,0
1516528087,0,1
1516528572,1,0
1516535525,0,3
1516536014,3,0
1516540806,0,1
1516541528,1,0
1516552565,0,1
1516553048,1,0
1516559767,0,1
1516560248,1,0
1516565047,0,2
1516565531,1,0
1516573211,0,1
1516573687,1,0
1516582103,0,1
1516582564,1,0
1516583050,0,1
1516583537,1,0
1516584970,0,1
1516585445,1,0
1516596488,0,1
1516596969,1,0
1516605605,0,2
1516606099,2,0
1516611848,0,1
1516612328,1,0
1516642329,0,1
1516642805,1,0
1516643290,0,1
1516643765,1,0
1516655286,0,1
1516656970,1,0
1516669929,0,2
1516676167,0,1
1516676648,1,1
1516682885,0,1
1516683365,1,0
1516683851,0,1
1516684328,1,0
1516686725,0,1
1516687213,1,0
1516696806,1,0
1516700164,0,1
1516724647,1,0
1516735207,0,1
1516735686,1,0
1516756091,2,1
1516756569,0,1
1516757767,0,1
1516758247,1,0
1516758728,1,0
1516762090,0,1
1516762565,1,0
1516764965,0,1
1516765445,1,0
1516765926,0,1
1516766411,1,0
1516776965,0,1
1516789927,0,1
1516790408,1,0
1516791848,0,1
1516792328,1,0
1516815368,0,1
1516815845,1,0
1516816329,0,2
1516816814,2,0
1516819689,0,1
1516820171,1,0
1516838650,0,1
1516839131,1,0
1516839606,0,1
1516840090,1,0
1516842486,0,1
1516842966,1,0
1516843925,0,1
1516844406,2,0
1516844889,0,1
1516845366,1,0
1516845845,0,1
1516846329,1,0
1516865528,0,1
1516866008,1,0
1516866488,0,1
1516866965,1,0
1516869365,0,1
1516869852,1,0
1516890727,0,1
1516891445,1,0
1516891924,0,2
1516892416,2,0
1516895285,0,1
1516895769,1,0
1516915929,0,1
1516916405,1,0
1516917849,0,1
1516918328,1,0
1516918807,0,1
1516919291,1,0
1516924324,0,1
1516924813,1,0
1516929609,0,2
1516930093,2,0
1516931527,0,1
1516932018,1,0
1516932486,0,2
1516932969,1,0
1516933448,1,0
1516935367,1,0
1516941127,0,1
1516941609,1,1
1516942090,0,1
1516942568,1,0
1516946413,1,0
1516947845,0,1
1516948328,1,0
1516949765,0,1
1516950251,1,0
1516951207,0,1
1516951694,1,0
1516961290,0,1
1516961830,1,0
1516962244,0,1
1516962846,1,0
1516968250,0,2
1516968966,2,0
1516988889,0,1
1516993447,0,1
1516993936,1,0
1516994409,0,1
1516994886,1,0
1517101689,0,1
1517102648,0,1
1517103131,1,0
1517148247,1,0
1517188324,0,2
1517188810,1,0
1517189285,0,2
1517200805,0,1
1517274726,1,2
1517275205,1,0
1517277129,0,1
1517277625,1,0
1517360647,0,1
1517361606,0,1
1517362090,0,2
1517362567,2,1
1517363051,0,1
1517448245,0,1
1517448728,1,0
1517533926,0,1
1517534889,0,1
1517535365,1,0
1517535848,0,2
1517620576,0,1
1517621531,0,1
1517622005,2,0
1517622969,1,0
1517623449,0,1
1517623926,1,0
1517624408,1,0
1517706489,0,1
1517706967,1,0
1517709367,0,1
1517710090,1,2
1517730007,0,1
1517793848,0,1
1517794328,9,1
1517794805,0,1
1517796020,1,0
1517880725,2,2
1517881210,0,1
1517881685,2,0
1517888405,1,0
1517902328,3,0
1517902806,3,1
1517903289,1,0
1517904246,0,2
1517905207,1,0
1517907619,0,1
1517910004,1,0
1517913364,0,1
1517917925,1,0
1517921526,0,1
1517922016,1,0
1517925846,0,1
1517935444,1,0
1517935927,0,1
1517942405,1,0
1517944327,0,1
1517954885,1,0
1517956328,0,1
1517963526,1,0
1517965927,0,1
1517966409,0,1
1517966891,1,1
1517967364,1,11
1517967850,0,1
1517968325,1,0
1517990888,1,0
1517992805,0,1
1517997125,0,1
1517997616,1,0
1518001449,1,0
