DateTime,AddedIPs,RemovedIPs
1517628122,19,5
1517628722,4,0
1517629322,3,5
1517630521,5,21
1517631722,4,5
1517632323,1,29
1517632922,15,12
1517634122,11,0
1517634722,3,9
1517635322,7,9
1517635922,2,0
1517636522,9,2
1517637122,21,0
1517637722,7,11
1517638922,2,4
1517639521,20,2
1517640122,11,0
1517640722,3,2
1517641321,1,2
1517642522,11,16
1517643121,3,0
1517643722,14,0
1517644322,4,0
1517644922,9,0
1517646121,11,16
1517647322,7,12
1517648522,2,4
1517649721,7,12
1517650322,3,4
1517650921,7,0
1517652122,2,15
1517652722,13,0
1517653322,3,13
1517654522,2,6
1517655122,5,0
1517655722,3,0
1517656322,6,5
1517656922,2,0
1517657522,8,5
1517658121,1,7
1517658722,5,0
1517659322,11,3
1517660521,2,0
1517661121,1,27
1517662921,4,1
1517663522,15,4
1517664121,4,10
1517664721,7,6
1517665321,12,0
1517666521,4,32
1517667121,13,14
1517667721,10,2
1517668322,8,0
1517668922,27,6
1517670122,4,13
1517671321,9,15
1517672522,13,2
1517673122,8,0
1517673721,12,16
1517674921,20,9
1517675521,17,5
1517676121,2,16
1517676722,18,4
1517677321,6,0
1517677922,11,63
1517678522,6,0
1517679121,12,11
1517679721,8,0
1517680922,2,9
1517681522,17,37
1517682122,6,7
1517682722,9,0
1517683322,61,27
1517683922,13,0
1517684521,8,10
1517685122,9,0
1517685721,14,0
1517686321,3,5
1517686921,6,23
1517687521,21,5
1517688121,10,13
1517688722,8,0
1517689322,16,0
1517689921,6,30
1517690521,6,0
1517691121,8,17
1517691722,4,0
1517692922,5,12
1517693521,11,19
1517694121,15,3
1517694721,8,6
1517695321,11,6
1517695922,2,0
1517696522,8,0
1517698321,12,18
1517698922,4,5
1517699522,13,4
1517700121,13,0
1517701321,4,19
1517701922,2,11
1517702521,4,8
1517703723,14,21
1517704322,1,0
1517704922,4,2
1517705521,11,0
1517706121,4,10
1517706721,2,0
1517707321,10,55
1517707922,15,4
1517708521,11,0
1517709121,12,0
1517709721,12,3
1517710321,3,5
1517710922,1,3
1517711522,7,0
1517712122,9,5
1517713321,8,4
1517714521,4,18
1517715122,5,15
1517715721,33,0
1517716921,3,3
1517717521,10,16
1517718121,11,0
1517719321,1,1
1517719921,9,7
1517720522,7,0
1517721722,9,30
1517722321,9,0
1517722921,31,9
1517723522,0,15
1517724122,16,0
1517724722,3,5
1517725322,13,0
1517725921,13,7
1517726522,1,4
1517727121,3,3
1517727722,4,8
1517728322,10,0
1517728922,9,0
1517729521,2,5
1517730121,6,5
1517731322,4,8
1517732521,0,20
1517733121,5,0
1517733722,2,3
1517734921,5,0
1517735522,4,1
1517736122,1,1
1517737322,5,7
1517738522,12,0
1517739122,3,16
1517739721,2,0
1517740322,3,6
1517740921,4,7
1517741522,19,4
1517742123,2,0
1517743321,19,21
1517744521,5,23
1517745721,2,3
1517746922,4,2
1517748121,4,19
1517749322,4,8
1517750521,4,4
1517751121,1,0
1517751721,4,48
1517752921,9,10
1517753521,3,4
1517754122,6,9
1517754721,12,0
1517755322,4,13
1517755922,8,0
1517756522,7,0
1517757122,11,1
1517757722,7,8
1517758322,11,0
1517758922,7,0
1517760122,7,23
1517760722,10,0
1517761322,2,8
1517762521,30,11
1517763722,8,43
1517764321,4,0
1517764921,1,4
1517766122,9,12
1517766721,31,0
1517767321,8,0
1517767921,4,3
1517770321,17,37
1517770922,9,0
1517772122,16,31
1517772722,16,0
1517773322,5,4
1517773921,12,20
1517774521,5,9
1517775121,2,5
1517775721,12,19
1517776922,44,10
1517778121,8,17
1517778722,6,0
1517779322,2,0
1517779921,9,8
1517780521,11,0
1517781722,9,33
1517782322,17,15
1517782922,8,4
1517784122,3,15
1517784722,5,15
1517785321,12,0
1517785921,8,2
1517786522,7,19
1517787122,6,11
1517787722,8,4
1517788322,17,2
1517788922,21,9
1517789523,16,0
1517790121,6,0
1517790721,13,5
1517791922,31,25
1517792523,9,7
1517793722,13,6
1517794921,6,10
1517796121,6,28
1517797321,9,9
1517797922,10,1
1517798521,2,23
1517799122,16,0
1517799721,13,4
1517800321,11,0
1517800923,18,0
1517801522,12,6
1517802121,2,14
1517802723,16,0
1517803322,0,3
1517803921,8,9
1517804522,6,0
1517805122,20,5
1517805722,4,2
1517806322,4,0
1517806922,6,7
1517808122,10,0
1517808721,27,15
1517809322,9,25
1517809922,6,0
1517810522,4,59
1517811122,7,0
1517811722,10,3
1517812921,6,17
1517813521,9,5
1517814122,9,0
1517814722,9,14
1517815921,3,6
1517816522,12,0
1517817122,11,9
1517817721,9,13
1517818321,1,0
1517818922,6,0
1517819522,13,3
1517820121,2,6
1517821321,2,13
1517822521,23,2
1517823121,4,4
1517823722,2,0
1517824321,6,6
1517824922,10,8
1517825521,6,5
1517826121,22,1
1517826721,3,6
1517827322,2,0
1517828521,8,11
1517829721,6,0
1517830321,6,21
1517830921,8,0
1517832122,20,6
1517832722,11,0
1517833321,3,3
1517834521,7,0
1517835121,14,1
1517835722,9,0
1517836921,9,5
1517837522,16,1
1517838121,13,18
1517839321,14,0
1517839922,12,4
1517840522,1,2
1517841722,7,24
1517842921,16,9
1517843522,12,0
1517844122,14,17
1517844722,6,8
1517845322,22,8
1517846522,8,14
1517847122,13,0
1517847721,12,13
1517848922,29,0
1517849522,25,20
1517850122,27,0
1517851321,8,48
1517852522,7,6
1517853121,27,0
1517853722,10,24
1517854322,13,12
1517854921,18,0
1517855522,11,0
1517856121,11,0
1517856721,14,0
1517857322,12,11
1517857922,6,0
1517858522,7,0
1517859121,17,8
1517859722,2,0
1517860922,13,20
1517862121,37,3
1517862722,17,0
1517863321,10,51
1517864521,6,8
1517865121,61,11
1517865722,6,3
1517866921,15,22
1517868121,15,3
1517869321,6,7
1517869922,32,0
1517870522,8,0
1517871121,54,3
1517871722,55,17
1517872322,11,7
1517872921,19,7
1517873521,17,0
1517874122,22,9
1517874722,17,1
1517875322,7,7
1517875923,7,52
1517876522,12,28
1517877121,16,0
1517877722,2,9
1517878321,24,0
1517878921,22,21
1517880121,5,19
1517881322,10,0
1517881921,10,4
1517882521,16,12
1517883722,11,8
1517884321,5,2
1517884922,12,0
1517885521,13,1
1517886122,17,22
1517886722,3,0
1517887321,18,14
1517887923,11,7
1517888521,4,0
1517889121,16,8
1517889722,10,0
1517890321,9,5
1517890921,9,5
1517891522,14,9
1517892122,12,11
1517892722,8,0
1517893321,5,6
1517893921,12,4
1517894521,22,7
1517895722,11,21
1517896921,10,18
1517898122,4,15
1517898722,11,10
1517899322,3,0
1517900521,18,3
1517901122,10,11
1517901722,9,0
1517902921,2,1
1517903522,22,17
1517905321,17,27
1517906521,9,23
1517907122,16,0
1517907721,16,0
1517908321,9,5
1517908922,12,3
1517910121,12,5
1517910722,8,22
1517911321,33,0
1517911922,9,2
1517912521,6,1
1517913722,4,33
1517914321,15,5
1517914922,5,4
1517916121,1,5
1517917322,20,12
1517918521,10,3
1517919121,1,7
1517919721,15,5
1517920321,3,8
1517920921,30,8
1517921522,9,4
1517922121,24,8
1517922723,22,0
1517923322,9,8
1517923921,21,0
1517924521,6,17
1517925122,7,0
1517925721,5,6
1517926922,9,14
1517928121,15,19
1517928722,5,13
1517929322,6,5
1517929922,8,10
1517930522,26,4
1517931721,9,10
1517932322,31,14
1517932922,7,0
1517934122,12,24
1517935322,7,0
1517935921,10,14
1517936521,9,8
1517937121,14,6
1517937722,25,21
1517938922,18,0
1517939522,30,5
1517940122,12,9
1517940722,4,19
1517941321,52,0
1517941922,25,20
1517942521,9,41
1517943722,12,8
1517944921,9,44
1517945521,8,6
1517946122,21,0
1517946721,5,0
1517947322,15,1
1517948521,6,0
1517949722,35,42
1517950321,21,0
1517950922,10,0
1517951522,17,8
1517952121,18,38
1517952721,10,0
1517953321,8,0
1517954522,20,11
1517955122,10,11
1517955721,8,8
1517956921,7,48
1517957521,6,5
1517958122,25,0
1517958722,14,27
1517959321,13,11
1517959921,17,44
1517960521,36,9
1517961122,6,0
1517961722,19,22
1517962322,15,8
1517962921,29,0
1517964122,7,34
1517964722,13,14
1517965322,9,50
1517965922,13,0
1517966522,10,7
1517967722,7,7
1517968921,16,8
1517969521,11,0
1517970122,14,0
1517970722,1,9
1517971322,12,19
1517972521,8,7
1517973121,17,28
1517973722,17,0
1517974322,12,14
1517974921,17,7
1517975522,10,0
1517976121,10,59
1517977321,5,23
1517977922,19,0
1517978521,12,11
1517979122,16,20
1517979721,21,3
1517980922,12,18
1517982121,7,0
1517982721,4,17
1517983321,8,8
1517983922,16,0
1517984522,18,13
1517985122,7,0
1517985721,8,0
1517986321,10,7
1517986921,10,0
1517988123,5,25
1517989322,4,37
1517990522,0,15
1517991122,11,0
1517991722,24,7
1517992921,16,0
1517993522,7,4
1517994121,8,14
1517995322,16,40
1517995921,14,0
1517996522,32,4
1517997122,2,0
1517997722,20,19
1517998322,11,25
1517998921,7,12
1517999522,7,0
1518000122,8,4
1518001322,7,8
1518002521,10,5
