DateTime,Entries,UniqueIPs
1517628122,2771,2782
1517628722,2775,2786
1517629322,2773,2784
1517630521,2757,2768
1517631722,2756,2767
1517632323,2728,2739
1517632922,2731,2742
1517634122,2742,2753
1517634722,2736,2747
1517635322,2734,2745
1517635922,2736,2747
1517636522,2744,2754
1517637122,2765,2775
1517637722,2761,2771
1517638922,2759,2769
1517639521,2777,2787
1517640122,2787,2798
1517640722,2788,2799
1517641321,2787,2798
1517642522,2781,2793
1517643121,2784,2796
1517643722,2798,2810
1517644322,2802,2814
1517644922,2811,2823
1517646121,2808,2818
1517647322,2802,2813
1517648522,2800,2811
1517649721,2795,2806
1517650322,2794,2805
1517650921,2801,2812
1517652122,2788,2799
1517652722,2801,2812
1517653322,2791,2802
1517654522,2787,2798
1517655122,2792,2803
1517655722,2795,2806
1517656322,2796,2807
1517656922,2798,2809
1517657522,2801,2812
1517658121,2795,2806
1517658722,2800,2811
1517659322,2808,2819
1517660521,2810,2821
1517661121,2784,2795
1517662921,2787,2798
1517663522,2797,2809
1517664121,2791,2803
1517664721,2792,2804
1517665321,2804,2816
1517666521,2776,2788
1517667121,2775,2787
1517667721,2783,2795
1517668322,2791,2803
1517668922,2813,2824
1517670122,2804,2815
1517671321,2799,2809
1517672522,2809,2820
1517673122,2817,2828
1517673721,2813,2824
1517674921,2824,2835
1517675521,2836,2847
1517676121,2822,2833
1517676722,2836,2847
1517677321,2842,2853
1517677922,2790,2801
1517678522,2796,2807
1517679121,2797,2808
1517679721,2805,2816
1517680922,2798,2809
1517681522,2778,2789
1517682122,2777,2788
1517682722,2786,2797
1517683322,2820,2831
1517683922,2833,2844
1517684521,2831,2842
1517685122,2840,2851
1517685721,2853,2865
1517686321,2851,2863
1517686921,2834,2846
1517687521,2850,2862
1517688121,2847,2859
1517688722,2855,2867
1517689322,2871,2883
1517689921,2847,2859
1517690521,2853,2865
1517691121,2844,2856
1517691722,2848,2860
1517692922,2841,2853
1517693521,2833,2845
1517694121,2845,2857
1517694721,2847,2859
1517695321,2852,2864
1517695922,2854,2866
1517696522,2862,2874
1517698321,2855,2868
1517698922,2854,2867
1517699522,2863,2876
1517700121,2876,2889
1517701321,2861,2874
1517701922,2852,2865
1517702521,2848,2861
1517703723,2841,2854
1517704322,2842,2855
1517704922,2844,2857
1517705521,2855,2868
1517706121,2849,2862
1517706721,2851,2864
1517707321,2805,2819
1517707922,2816,2830
1517708521,2827,2841
1517709121,2839,2853
1517709721,2848,2862
1517710321,2846,2860
1517710922,2844,2858
1517711522,2851,2865
1517712122,2855,2869
1517713321,2859,2873
1517714521,2845,2859
1517715122,2834,2849
1517715721,2866,2882
1517716921,2866,2882
1517717521,2859,2876
1517718121,2870,2887
1517719321,2870,2887
1517719921,2872,2889
1517720522,2879,2896
1517721722,2858,2875
1517722321,2867,2884
1517722921,2889,2906
1517723522,2874,2891
1517724122,2889,2907
1517724722,2887,2905
1517725322,2900,2918
1517725921,2906,2924
1517726522,2903,2921
1517727121,2902,2921
1517727722,2898,2917
1517728322,2908,2927
1517728922,2917,2936
1517729521,2914,2933
1517730121,2915,2934
1517731322,2911,2930
1517732521,2892,2910
1517733121,2897,2915
1517733722,2896,2914
1517734921,2901,2919
1517735522,2904,2922
1517736122,2904,2922
1517737322,2902,2920
1517738522,2914,2932
1517739122,2901,2919
1517739721,2903,2921
