DateTime,Entries,UniqueIPs
1517409722,5858,6075
1517410322,5857,6075
1517410922,5856,6074
1517411521,5858,6077
1517413321,5846,6063
1517413921,5845,6062
1517414522,5843,6060
1517415122,5847,6065
1517415722,5847,6065
1517416322,5839,6057
1517416921,5835,6053
1517419322,5827,6044
1517420522,5826,6043
1517421121,5827,6044
1517421721,5826,6043
1517422922,5817,6034
1517423521,5817,6034
1517424122,5817,6035
1517425922,5811,6029
1517427721,5814,6035
1517429521,5813,6034
1517430122,5818,6040
1517430721,5812,6034
1517431921,5813,6035
1517432521,5807,6029
1517433121,5807,6030
1517433721,5805,6029
1517434921,5797,6021
1517435522,5798,6022
1517436122,5793,6016
1517437321,5790,6013
1517437922,5791,6014
1517439722,5787,6010
1517440321,5786,6009
1517440922,5788,6011
1517441522,5801,6024
1517442122,5796,6019
1517444521,5786,6009
1517445722,5783,6006
1517446922,5786,6009
1517448121,5811,6039
1517449322,5799,6025
1517449921,5795,6021
1517450523,5796,6022
1517451722,5793,6019
1517452321,5788,6014
1517453522,5787,6013
1517454122,5786,6012
1517454722,5783,6008
1517457121,5779,6004
1517458922,5777,6002
1517459521,5779,6004
1517460121,5779,6004
1517461322,5768,5992
1517463122,5767,5991
1517463722,5763,5986
1517466122,5765,5988
1517467321,5766,5989
1517468521,5766,5989
1517469122,5767,5990
1517469722,5775,5998
1517470321,5773,5996
1517470921,5772,5995
1517471522,5771,5994
1517473321,5764,5987
1517474522,5757,5979
1517476321,5757,5978
1517476922,5759,5980
1517478121,5759,5980
1517478721,5758,5979
1517480521,5753,5973
1517481122,5749,5968
1517482922,5739,5957
1517484122,5735,5953
1517487122,5740,5958
1517487721,5735,5953
1517488921,5734,5952
1517490121,5735,5953
1517491321,5734,5951
1517491922,5734,5950
1517493722,5728,5944
1517494921,5727,5943
1517496121,5726,5942
1517497321,5728,5943
1517498521,5730,5945
1517499121,5729,5944
1517499722,5728,5943
1517500922,5720,5935
1517502121,5718,5931
1517504521,5715,5928
1517505122,5713,5926
1517505721,5709,5921
1517506921,5710,5922
1517508122,5703,5915
1517509321,5701,5913
1517510522,5700,5912
1517511721,5712,5925
1517512921,5708,5919
1517514721,5709,5920
1517515322,5709,5920
1517516521,5710,5921
1517518322,5710,5921
1517518921,5708,5919
1517519521,5707,5918
1517520721,5701,5912
1517521322,5702,5913
1517522521,5703,5913
1517524921,5705,5915
1517525522,5704,5914
1517526121,5705,5915
1517527321,5707,5916
1517528522,5706,5915
1517533321,5705,5914
1517533922,5707,5916
1517535122,5706,5915
1517535722,5705,5914
1517536321,5705,5914
1517538122,5708,5917
1517539322,5704,5913
1517539922,5690,5898
1517541722,5689,5897
1517542321,5686,5894
1517542921,5687,5894
1517543521,5685,5892
1517544122,5683,5890
1517544721,5682,5888
1517545322,5684,5890
1517545921,5685,5891
1517546522,5676,5882
1517547722,5674,5880
1517548921,5672,5878
1517550722,5675,5881
1517551321,5675,5881
1517552522,5673,5879
1517553722,5660,5863
1517555522,5674,5877
1517556721,5672,5874
1517557322,5670,5872
1517558522,5671,5873
1517559121,5669,5871
1517560322,5668,5870
1517560922,5660,5861
1517562122,5658,5859
1517563321,5657,5858
1517563922,5654,5855
1517565721,5651,5852
1517566322,5652,5853
1517567521,5651,5852
1517569922,5650,5851
1517570522,5659,5860
