DateTime,AddedIPs,RemovedIPs
1517461322,2,0
1517461922,0,3
1517463122,1,12
1517464922,0,3
1517466122,4,0
1517467321,1,2
1517467921,0,6
1517468521,1,1
1517469122,1,0
1517469722,9,1
1517471522,2,1
1517472722,0,10
1517473321,0,2
1517474522,1,0
1517475721,0,1
1517476321,1,0
1517476922,3,1
1517478121,4,0
1517478721,1,0
1517479322,2,0
1517482922,3,0
1517484122,0,1
1517485321,0,1
1517487122,13,0
1517488921,1,0
1517489522,1,0
1517490121,1,0
1517491321,2,4
1517492521,0,1
1517494921,1,0
1517497321,5,0
1517498521,2,1
1517499121,0,3
1517499722,1,0
1517500922,0,4
1517501521,0,1
1517502121,1,2
1517502721,1,0
1517504521,0,5
1517505122,0,5
1517505721,0,3
1517506921,1,0
1517508122,0,10
1517510522,1,13
1517511721,13,1
1517512921,1,1
1517514121,2,2
1517514721,1,0
1517515322,1,0
1517516521,3,0
1517517721,0,4
1517518322,2,0
1517518921,0,4
1517520122,0,5
1517520721,1,0
1517521322,6,0
1517522521,1,7
1517523722,0,1
1517524921,2,1
1517525522,0,8
1517526121,1,0
1517527321,6,0
1517527922,0,1
1517528522,0,2
1517529722,0,2
1517530921,1,5
1517533321,2,1
1517533922,5,2
1517535122,1,0
1517535722,0,1
1517536321,1,4
1517538122,3,1
1517539322,1,2
1517539922,0,3
1517541722,0,3
1517542921,2,0
1517543521,0,2
1517544721,0,12
1517545322,4,1
1517545921,1,0
1517547722,1,0
1517549521,0,6
1517550722,3,1
1517551321,1,0
1517552522,2,0
1517555522,16,1
1517556721,1,0
1517557322,3,2
1517558522,3,1
1517559121,1,4
1517560322,0,1
1517560922,0,2
1517562122,0,4
1517563321,0,2
1517563922,1,0
1517565721,6,9
1517566322,1,0
1517566921,0,1
1517569322,0,3
1517570522,9,0
1517571722,1,0
1517572922,2,2
1517574122,0,1
1517576521,1,0
1517577722,13,1
1517578921,0,1
1517580122,1,0
1517581322,0,1
1517581921,0,3
1517583722,1,4
1517584921,0,3
1517586722,3,0
1517587321,0,4
1517588522,2,0
1517589721,0,8
1517591522,0,1
1517592121,1,4
1517592722,1,1
1517593321,1,0
1517593921,4,5
1517594522,0,7
1517595722,0,1
1517596321,3,0
1517597521,1,13
1517599321,0,2
1517600521,1,2
1517601722,3,3
1517602922,5,1
1517603522,1,4
1517604122,1,1
1517605321,4,3
1517605921,1,0
1517606521,2,3
1517607722,5,2
1517608322,15,0
1517610121,1,6
1517611322,1,1
1517611921,0,2
1517612522,1,0
1517613722,1,2
1517614321,0,3
1517614922,2,0
1517616122,6,4
1517616722,1,0
1517617321,0,5
1517618522,1,5
1517619722,0,1
1517620322,13,6
1517620922,2,0
1517622121,2,0
1517623322,1,1
1517624521,2,0
1517625122,2,0
1517626321,0,1
1517628122,0,3
1517628722,1,0
1517629321,12,0
1517629921,3,1
1517630521,1,0
1517631722,0,2
1517632922,1,7
1517634122,7,0
1517635322,2,0
1517637122,2,0
1517639521,2,0
1517641321,1,0
1517644922,1,3
1517645522,0,1
1517646121,0,2
1517646721,1,4
1517648522,10,0
1517649721,1,0
1517650921,0,8
1517653322,0,1
1517654522,0,1
1517655722,0,2
1517657522,1,3
1517658121,0,10
1517659322,14,0
1517660521,2,1
1517661121,0,2
1517662921,0,1
1517664121,1,0
1517666521,8,1
1517667121,1,11
1517667721,2,0
1517668922,0,1
1517670122,1,2
1517672522,2,8
1517673721,1,0
1517674921,0,8
1517676121,2,3
1517677922,2,0
1517678522,1,0
1517679121,5,0
1517679721,1,0
1517680922,0,3
1517682122,0,3
1517682722,1,0
1517685721,13,6
1517686321,1,0
1517686921,0,1
1517688121,1,0
1517689322,0,3
1517689921,2,5
1517691121,1,0
1517691722,0,4
1517692922,4,4
1517693521,2,0
1517695321,0,1
1517695922,1,0
1517697721,2,1
1517698321,1,0
1517699522,2,0
1517701321,0,5
1517702521,0,1
1517703723,1,1
1517704922,6,0
1517706121,0,1
1517706721,0,16
1517709121,0,6
1517709721,0,3
1517712122,1,1
1517713321,32,0
1517714521,0,3
1517715122,1,8
1517716921,1,0
1517717521,7,2
1517718121,4,3
1517719321,3,11
1517724122,0,1
1517725921,0,1
1517726522,0,1
1517727121,7,2
1517728922,2,4
1517730121,2,0
1517731322,0,2
1517732521,1,3
1517733121,3,4
1517734921,0,1
1517735521,0,3
1517736721,0,2
1517737322,0,2
1517738522,1,6
1517739721,1,2
1517740322,0,5
1517740921,1,20
1517741522,1,0
1517742122,8,0
1517743321,0,2
1517744521,0,4
1517745122,1,0
1517745721,1,0
1517746922,2,1
1517749322,1,2
1517750521,4,0
1517751121,1,0
1517751721,0,1
1517752322,2,0
1517752921,1,0
1517755322,1,1
1517756521,3,0
1517757722,2,1
1517758922,5,0
1517759521,2,0
1517760122,0,8
1517761921,0,2
1517762521,0,1
1517763722,8,4
1517764921,2,4
1517766122,0,6
1517766721,3,0
1517767321,0,3
1517767921,0,4
1517770321,0,2
1517770922,3,0
1517771522,1,5
1517772122,1,0
1517772722,1,6
1517773322,1,1
1517774521,6,13
1517775721,0,10
1517777521,0,1
1517778121,1,2
1517779322,2,0
1517779921,0,1
1517780521,2,0
1517781722,2,0
1517782321,3,3
1517782922,0,18
1517783521,2,0
1517784122,0,6
1517785321,2,0
1517785921,1,4
1517786522,1,7
1517787122,0,1
1517787722,0,8
1517788322,1,2
1517789522,0,5
1517790121,3,0
1517791321,1,0
1517791922,1,0
1517792523,4,11
1517793722,1,5
1517794921,0,4
1517796121,3,3
1517797321,0,3
1517798521,7,7
1517799721,0,2
1517800922,1,0
1517803322,0,1
1517804522,0,1
1517805722,5,0
1517806322,1,0
1517806922,1,0
1517808122,1,1
1517811122,2,1
1517811722,2,0
1517812921,1,0
1517814122,0,4
1517814722,1,0
1517815321,1,0
1517815921,0,25
1517816522,9,0
1517817721,1,1
1517818321,0,2
1517820121,1,0
1517821321,1,2
1517822521,0,1
1517823121,0,3
1517823722,0,1
1517824922,10,9
1517825521,5,0
1517826121,0,8
1517826721,2,0
1517827321,0,20
1517828521,2,1
1517829121,1,0
1517829721,0,1
1517831522,0,3
1517832122,6,1
1517832722,2,1
1517835722,1,4
1517836921,0,2
1517837521,3,0
1517838121,9,0
1517839321,1,2
1517841122,1,5
1517841722,3,0
1517842921,0,2
1517844122,5,4
1517845322,0,3
1517846522,0,3
1517847721,2,4
1517848922,0,1
1517849522,6,5
1517850122,1,0
1517851321,1,0
1517852522,1,5
1517853121,2,0
1517854921,5,7
1517855522,2,2
1517856121,1,0
1517856721,0,3
1517857322,0,3
1517858522,8,0
1517859121,0,7
1517860922,1,5
1517862121,1,15
1517862721,1,0
1517863321,0,3
1517864521,2,1
1517865121,0,1
1517865722,0,2
1517866921,16,1
1517868121,5,0
1517869321,1,3
1517869922,3,0
1517871121,3,0
1517872921,1,0
1517874122,2,0
1517874722,0,8
1517875322,1,1
1517876521,12,6
1517878921,1,1
1517880121,0,9
1517881322,6,16
1517882521,0,1
1517883722,8,17
1517884922,2,3
1517885521,1,0
1517886122,0,6
1517887321,1,0
1517888521,3,2
1517889121,2,1
1517890921,0,2
1517892121,2,5
1517893921,0,1
1517894521,5,1
1517895122,1,0
1517895722,0,1
1517896921,0,1
1517899322,3,1
1517899922,1,3
1517900521,0,2
1517901722,0,3
1517902322,1,3
1517902921,2,7
1517903522,1,5
1517905321,1,3
1517906521,1,2
1517907721,6,7
1517908321,1,2
1517908922,5,0
1517912521,1,2
1517913722,1,1
1517914321,9,5
1517916121,0,4
1517917322,3,0
1517918521,0,1
1517919721,1,1
1517920921,0,21
1517922121,2,4
1517922722,1,0
1517923322,0,4
1517923921,3,0
1517924521,0,11
1517925721,1,0
1517928121,0,8
1517929322,4,4
1517929922,1,3
1517931721,0,2
1517932322,0,13
1517932922,2,0
1517933522,1,0
1517934122,0,3
1517937121,0,4
1517937722,0,17
1517938922,1,6
1517940721,0,2
1517943722,0,5
1517944921,1,0
1517945521,1,2
1517946122,10,6
1517947322,1,2
1517948521,1,8
1517950921,0,4
1517952121,0,15
1517953321,0,1
1517954522,0,1
1517955122,2,0
1517955721,2,3
1517956322,2,0
1517956921,0,3
1517957521,2,0
1517958122,2,0
1517958722,0,7
1517959321,0,4
1517959921,0,4
1517960521,0,8
1517961722,0,2
1517962921,0,16
1517964122,17,1
1517965322,3,0
1517966522,0,5
1517967722,10,0
1517968921,1,1
1517970122,4,0
1517970722,0,4
1517971322,0,20
1517972521,2,6
1517974921,2,2
1517975522,15,4
1517976121,0,19
1517977321,1,0
1517978521,1,7
1517979122,0,6
1517979721,1,0
1517980322,0,4
1517981522,5,0
1517982121,1,0
1517982721,0,1
1517983922,0,13
1517985721,0,2
1517986921,13,0
1517987522,1,0
1517988721,3,2
1517989322,1,0
1517990521,1,10
1517991722,0,1
1517992921,11,0
1517994121,4,0
1517995322,0,19
1517996522,1,1
1517997722,1,2
1517998322,0,3
1517998921,2,9
1518000122,0,4
1518001922,0,3
1518002521,4,0
