DateTime,AddedIPs,RemovedIPs
1517590921,2,2
1517591522,2,2
1517592121,2,2
1517592722,4,4
1517593321,4,4
1517593921,12,12
1517594522,4,4
1517595722,3,3
1517596321,7,7
1517596921,1,1
1517597521,1,1
1517598122,1,1
1517599321,9,9
1517600521,6,6
1517601722,14,14
1517602922,12,12
1517603522,5,5
1517604122,4,4
1517605321,18,18
1517605921,5,5
1517606521,8,8
1517607722,14,14
1517608322,22,22
1517608922,2,2
1517610121,7,7
1517610721,4,4
1517611322,2,2
1517611921,4,4
1517612522,4,4
1517613722,5,5
1517614321,6,6
1517614922,3,3
1517615521,3,3
1517616122,8,8
1517616722,1,1
1517618522,8,8
1517619722,4,4
1517620322,15,15
1517620922,2,2
1517622121,8,8
1517623322,7,7
1517624521,9,9
1517625122,3,3
1517625721,1,1
1517626321,1,1
1517626921,1,1
1517627521,1,1
1517628122,2,2
1517628722,1,1
1517629321,13,13
1517629921,5,5
1517630521,6,6
1517631722,8,8
1517632922,4,4
1517634122,11,11
1517635322,8,8
1517635922,7,7
1517636522,4,4
1517637122,3,3
1517637722,1,1
1517638922,3,3
1517639521,3,3
1517640121,1,1
1517641321,5,5
1517642522,7,7
1517643121,1,1
1517643722,3,3
1517644922,1,1
1517645522,3,3
1517646121,2,2
1517646721,3,3
1517647322,2,2
1517647921,2,2
1517648522,12,12
1517649721,4,4
1517650921,3,3
1517652122,1,1
1517653322,1,1
1517653921,2,2
1517654522,2,2
1517655122,1,1
1517655722,2,2
1517656921,2,2
1517657522,1,1
1517658121,2,2
1517658722,2,2
1517659322,18,18
1517660521,2,2
1517661121,2,2
1517661722,1,1
1517662921,2,2
1517664121,4,4
1517664721,4,4
1517665321,2,2
1517666521,8,8
1517667121,3,3
1517667721,4,4
1517668922,1,1
1517670122,2,2
1517671321,2,2
1517672522,5,5
1517673122,1,1
1517673721,4,4
1517674921,7,7
1517676121,7,7
1517676722,1,1
1517677321,3,3
1517677922,4,4
1517678522,3,3
1517679121,7,7
1517679721,3,3
1517680922,4,4
1517682122,2,2
1517682722,2,2
1517684521,3,3
1517685122,1,1
1517685721,22,22
1517686321,6,6
1517686921,2,2
1517687521,8,8
1517688121,5,5
1517689322,17,17
1517689921,5,5
1517690521,7,7
1517691121,3,3
1517691722,2,2
1517692922,8,8
1517693521,6,6
1517694121,4,4
1517695321,5,5
1517695922,3,3
1517696522,4,4
1517697721,7,7
1517698321,5,5
1517698922,3,3
1517699522,8,8
1517700121,1,1
1517701321,2,2
1517701922,1,1
1517702521,3,3
1517703723,4,4
1517704321,3,3
1517704922,11,11
1517705521,4,4
1517706121,3,3
1517707321,1,1
1517708521,2,2
1517709121,1,1
1517709721,1,1
1517710321,1,1
1517710922,1,1
1517712122,1,1
1517713321,34,34
1517714521,3,3
1517715122,2,2
1517716921,5,5
1517717521,12,12
1517718121,5,5
1517719321,6,6
1517719921,3,3
1517720522,3,3
1517721722,7,7
1517722921,2,2
1517724122,3,3
1517724721,1,1
1517725322,1,1
1517725921,4,4
1517726522,2,2
1517727121,12,12
1517728922,6,6
1517729521,2,2
1517730121,3,3
1517731322,2,2
1517732521,3,3
1517733121,4,4
1517733722,1,1
1517734921,3,3
1517736721,2,2
1517737322,3,3
1517738522,3,3
1517739721,2,2
1517740921,4,4
1517741522,3,3
1517742122,10,10
1517743321,3,3
1517744521,3,3
1517745122,2,2
1517745721,3,3
1517746922,5,5
1517748121,10,10
1517749322,4,4
1517750521,5,5
1517751121,2,2
1517751721,3,3
1517752322,2,2
1517752921,2,2
1517753521,4,4
1517754122,2,2
1517755322,5,5
1517755922,2,2
1517756521,9,9
1517757722,7,7
1517758922,21,21
1517759521,13,13
1517760122,4,4
1517760722,4,4
1517761322,4,4
1517761921,4,4
1517762521,4,4
1517763122,1,1
1517763722,8,8
1517764321,2,2
1517764921,4,4
1517766122,7,7
1517766721,4,4
1517767321,3,3
1517770321,6,6
1517770922,4,4
1517771522,4,4
1517772122,5,5
1517772722,5,5
1517773322,3,3
1517773921,6,6
1517774521,13,13
1517775121,7,7
1517775721,3,3
1517776922,8,8
1517777521,2,2
1517778121,2,2
1517779322,9,9
1517779921,5,5
1517780521,10,10
1517781722,3,3
1517782321,5,5
1517782922,5,5
1517783521,6,6
1517784122,1,1
1517784722,2,2
1517785321,5,5
1517785921,4,4
1517786522,2,2
1517787122,2,2
1517787722,6,6
1517788322,3,3
1517788922,4,4
1517789522,2,2
1517790121,7,7
1517791321,5,5
1517791922,8,8
1517792523,6,6
1517793722,5,5
1517794921,3,3
1517796121,7,7
1517797321,1,1
1517798521,11,11
1517799122,4,4
1517799721,2,2
1517800321,4,4
1517800922,2,2
1517802121,6,6
1517802723,1,1
1517803322,1,1
1517803921,1,1
1517804522,1,1
1517805722,10,10
1517806322,4,4
1517806922,2,2
1517808122,1,1
1517809321,3,3
1517810522,1,1
1517811122,4,4
1517811722,3,3
1517812921,5,5
1517813521,4,4
1517814122,2,2
1517814722,2,2
1517815321,1,1
1517815921,1,1
1517816522,12,12
1517817721,3,3
1517818922,3,3
1517820121,3,3
1517821321,4,4
1517822521,1,1
1517823121,4,4
1517823722,1,1
1517824321,3,3
1517824922,14,14
1517825521,6,6
1517826121,2,2
1517826721,4,4
1517828521,7,7
1517829121,3,3
1517829721,1,1
1517830321,3,3
1517830921,2,2
1517831522,2,2
1517832122,10,10
1517832722,3,3
1517833321,2,2
1517834521,3,3
1517835722,2,2
1517836921,3,3
1517837521,3,3
1517838121,13,13
1517839321,4,4
1517839922,4,4
1517840522,7,7
1517841122,4,4
1517841722,4,4
1517842921,4,4
1517844122,5,5
1517844722,1,1
1517845322,2,2
1517846522,3,3
1517847122,6,6
1517847721,5,5
1517848322,1,1
1517848922,2,2
1517849522,7,7
1517850122,2,2
1517851321,5,5
1517852522,3,3
1517853121,2,2
1517853721,2,2
1517854921,9,9
1517855522,6,6
1517856121,4,4
1517856721,2,2
1517857322,2,2
1517857922,1,1
1517858522,10,10
1517859121,8,8
1517859722,4,4
1517860922,4,4
1517862121,4,4
1517862721,6,6
1517863321,6,6
1517864521,8,8
1517865722,5,5
1517866921,20,20
1517868121,12,12
1517869321,6,6
1517869922,5,5
1517871121,11,11
1517871722,5,5
1517872322,2,2
1517872921,7,7
1517874122,9,9
1517874722,5,5
1517875322,4,4
1517876521,19,19
1517877722,3,3
1517878921,7,7
1517880121,7,7
1517881322,13,13
1517882521,4,4
1517883722,16,16
1517884321,3,3
1517884922,12,12
1517885521,10,10
1517886122,4,4
1517887321,4,4
1517888521,6,6
1517889121,5,5
1517889722,3,3
1517890921,1,1
1517892121,5,5
1517893321,5,5
1517893921,2,2
1517894521,6,6
1517895122,8,8
1517896322,4,4
1517896921,4,4
1517897521,2,2
1517898122,3,3
1517899322,7,7
1517899922,7,7
1517900521,2,2
1517901122,3,3
1517901722,2,2
1517902322,1,1
1517902921,6,6
1517903522,2,2
1517905321,6,6
1517906521,5,5
1517907721,8,8
1517908321,1,1
1517908922,13,13
1517910121,4,4
1517910722,2,2
1517911321,2,2
1517912521,5,5
1517913722,7,7
1517914321,9,9
1517914922,1,1
1517916121,3,3
1517917322,8,8
1517918521,8,8
1517919721,6,6
1517920921,4,4
1517922121,3,3
1517922722,5,5
1517923921,6,6
1517924521,3,3
1517925721,7,7
1517926922,4,4
1517928121,1,1
1517929322,5,5
1517929922,3,3
1517930522,1,1
1517931721,4,4
1517932322,2,2
1517932922,3,3
1517933522,2,2
1517934122,3,3
1517934721,7,7
1517935321,1,1
1517936521,4,4
1517937121,1,1
1517937722,1,1
1517938922,2,2
1517940122,3,3
1517940721,1,1
1517941321,1,1
1517942521,4,4
1517943722,5,5
1517944921,4,4
1517945521,3,3
1517946122,13,13
1517947322,8,8
1517948521,7,7
1517949722,4,4
1517950321,1,1
1517950921,3,3
1517952121,5,5
1517952721,1,1
1517953321,4,4
1517953921,4,4
1517954522,4,4
1517955122,4,4
1517955721,4,4
1517956322,5,5
1517957521,4,4
1517958122,3,3
1517958722,7,7
1517959321,1,1
1517960521,4,4
1517961122,1,1
1517961722,1,1
1517962322,1,1
1517962921,1,1
1517964122,18,18
1517964722,2,2
1517965322,4,4
1517966522,4,4
1517967722,10,10
1517968921,4,4
1517969521,3,3
1517970122,6,6
1517970722,2,2
1517971322,5,5
1517972521,6,6
1517973722,4,4
1517974921,3,3
1517975522,20,20
1517976121,3,3
1517977321,5,5
1517978521,3,3
1517979122,1,1
1517979721,2,2
1517980322,2,2
1517981522,7,7
1517982121,5,5
1517982721,3,3
1517983922,5,5
1517984522,1,1
1517985721,2,2
1517986921,20,20
1517987522,2,2
1517988122,1,1
1517988721,10,10
1517989322,2,2
1517990521,2,2
1517991122,4,4
1517991722,1,1
1517992321,3,3
1517992921,12,12
1517993522,2,2
1517994121,6,6
1517995322,4,4
1517996522,4,4
1517997722,5,5
1517998322,1,1
1517998921,10,10
