DateTime,AddedIPs,RemovedIPs
1516203121,81,0
1516207621,89,0
1516211220,63,0
1516214821,76,0
1516218421,92,0
1516222021,64,0
1516225621,59,0
1516229221,68,0
1516232821,55,0
1516236421,46,2814
1516240021,64,0
1516243621,81,0
1516247221,57,0
1516250821,72,0
1516254421,91,0
1516258021,187,0
1516261621,255,0
1516265221,99,0
1516268821,102,0
1516272421,108,0
1516276021,105,0
1516279621,98,0
1516283222,114,0
1516286821,78,0
1516290422,96,0
1516294021,78,0
1516297622,88,0
1516301221,91,0
1516304821,80,0
1516308421,73,0
1516312021,63,0
1516315621,57,0
1516319221,52,0
1516322821,63,2459
1516326421,58,0
1516330021,63,0
1516333621,91,1
1516337221,57,0
1516340822,77,0
1516344422,104,0
1516348021,107,0
1516351622,119,0
1516355221,123,0
1516358821,176,0
1516362422,76,0
1516366021,95,0
1516369621,170,0
1516373222,87,0
1516376822,189,0
1516380421,79,0
1516384021,109,0
1516387621,51,0
1516391222,59,0
1516394821,66,0
1516398422,58,0
1516402022,47,0
1516405622,71,0
1516409221,188,2263
1516412821,84,0
1516416421,50,0
1516420021,93,0
1516423622,87,0
1516427222,116,0
1516430822,123,0
1516434422,82,0
1516438022,86,0
1516441622,107,0
1516445222,135,0
1516448822,391,0
1516452422,93,0
1516456022,113,0
1516459622,83,0
1516463222,102,0
1516466822,111,0
1516470422,83,0
1516474022,97,0
1516477622,92,0
1516481223,65,0
1516484822,62,0
1516488422,69,0
1516492022,55,0
1516495622,59,2232
1516499222,57,0
1516502822,90,0
1516506422,58,0
1516510022,76,0
1516513622,81,0
1516517222,106,0
1516520822,82,0
1516524422,77,0
1516528022,73,0
1516531622,94,0
1516535222,72,0
1516538822,118,0
1516542422,103,0
1516546022,93,0
1516549622,93,0
1516553222,93,0
1516556822,168,0
1516560422,64,0
1516564022,102,0
1516567622,82,0
1516571223,51,0
1516574822,48,0
1516578423,109,0
1516582022,64,2462
1516585622,75,0
1516589222,117,0
1516592823,73,0
1516596422,60,0
1516600023,132,0
1516603623,132,0
1516607222,141,0
1516610823,158,0
1516614422,105,0
1516618022,98,1
1516621622,148,0
1516625222,100,0
1516628823,100,0
1516632423,90,0
1516636023,78,0
1516639622,75,0
1516643222,204,0
1516646823,70,0
1516650423,76,0
1516654022,114,0
1516657622,55,0
1516661223,51,0
1516664823,77,0
1516668422,46,2140
1516672023,71,0
1516675623,159,0
1516679222,196,0
1516682823,55,0
1516686423,87,0
1516690023,96,0
1516693622,122,0
1516697222,118,0
1516700823,133,0
1516704422,102,0
1516708023,121,0
1516711623,123,0
1516715223,104,0
1516718823,86,0
1516722423,80,0
1516726023,109,0
1516729623,89,0
1516733223,65,0
1516736823,68,0
1516740423,62,0
1516744023,81,0
1516747623,81,0
1516751223,67,0
1516754823,49,2257
1516758423,84,0
1516762023,299,0
1516765623,140,0
1516769223,79,0
1516772823,94,0
1516776423,88,0
1516780023,111,0
1516783623,129,0
1516787224,116,0
1516790823,87,0
1516794423,94,5
1516798023,99,0
1516801623,110,0
1516805223,104,0
1516808823,76,0
1516812423,175,0
1516816024,103,0
1516819623,74,0
1516823223,64,0
1516826824,90,0
1516830423,100,0
1516834023,57,0
1516837623,41,0
1516841223,62,2318
1516844824,95,0
1516848423,55,0
1516852023,57,0
1516855623,93,0
1516859223,105,0
1516862823,127,0
1516866423,136,0
1516870023,140,0
1516873624,108,0
1516877223,101,2
1516880823,104,0
1516884423,97,0
1516888024,107,0
1516891623,68,0
1516895224,91,0
1516898824,77,0
1516902424,73,0
1516906023,76,0
1516909624,74,0
1516913223,91,0
1516916824,86,0
1516920424,98,0
1516924023,63,0
1516927624,69,2505
1516931223,77,0
1516934823,72,0
1516938423,70,0
1516942024,66,0
1516945624,72,0
1516949223,83,0
1516952824,86,0
1516956424,69,0
1516960024,88,3
1516963624,157,0
1516967224,86,0
1516970824,124,0
1516974423,173,0
1516978023,106,0
1516981623,237,0
1516985223,125,0
1516988824,92,0
1516992424,89,0
1516996024,110,0
1516999624,85,0
1517003224,82,0
1517006824,63,0
1517010423,65,0
1517014023,76,2027
1517017624,76,0
1517021224,68,0
1517024824,67,0
1517028424,76,0
1517032024,96,2
1517035624,93,0
1517039224,76,0
1517042824,144,0
1517046424,131,0
1517050024,121,0
1517053624,163,0
1517057224,343,0
1517060824,161,0
1517064424,202,5
1517068024,124,0
1517071624,159,0
1517075224,105,0
1517078824,72,0
1517082424,71,0
1517086025,69,0
1517089625,67,0
1517093224,74,0
1517096824,80,0
1517100424,54,2411
1517104024,88,0
1517107625,60,0
1517111224,49,0
1517114824,64,0
1517118424,60,0
1517122024,63,0
1517125625,65,0
1517129224,70,0
1517132824,63,0
1517136424,86,0
1517140024,107,0
1517143624,84,0
1517147225,72,0
1517150824,84,0
1517154424,132,0
1517158024,78,0
1517161625,72,0
1517165225,72,0
1517168824,75,0
1517172425,70,0
1517176025,69,0
1517179625,103,0
1517183225,57,0
1517186824,75,2749
1517190424,82,0
1517194024,83,0
1517197624,70,0
1517201225,104,0
1517204824,84,0
1517208424,99,0
1517212024,111,0
1517215624,150,0
1517219224,129,4
1517222825,157,0
1517226425,119,0
1517230025,89,0
1517233625,105,0
1517237225,142,0
1517240824,199,0
1517244424,102,0
1517248025,73,0
1517251624,106,0
1517255225,84,0
1517258825,100,0
1517262425,110,0
1517266025,99,0
1517269624,66,0
1517273225,55,1815
1517276825,80,0
1517280425,63,0
1517284025,76,0
1517287625,82,0
1517291225,117,0
1517294825,104,0
1517298425,87,0
1517302025,127,0
1517306525,230,0
1517310125,154,0
1517313725,124,0
1517317326,111,0
1517320925,112,0
1517324525,121,0
1517328125,124,0
1517331725,120,0
1517335325,89,0
1517338925,84,0
1517342526,82,0
1517346126,80,0
1517349725,121,0
1517353325,57,0
1517356925,120,2516
1517360526,270,0
1517364125,71,0
1517367725,116,0
1517371325,97,0
1517374925,91,0
1517378525,103,0
1517382125,119,0
1517385725,136,0
1517389326,103,0
1517392925,115,0
1517396525,117,0
1517400125,105,0
1517403725,90,0
1517407325,97,0
1517410925,85,0
1517414526,123,0
1517418126,112,0
1517421725,139,0
1517425326,98,0
1517428925,95,0
1517432525,66,0
1517436126,104,0
1517439725,70,0
1517443325,69,2540
1517446925,79,0
1517450526,78,0
1517454126,61,0
1517457726,77,0
1517461325,78,0
1517464926,108,1
1517468525,125,0
1517472126,116,0
1517475725,145,0
1517479326,195,0
1517482925,122,0
1517486526,150,0
1517490126,173,0
1517493725,227,0
1517497326,121,0
1517500925,217,0
1517504525,305,0
1517508126,82,0
1517511726,93,0
1517515326,68,0
1517518926,71,0
1517522526,63,0
1517526126,77,0
1517529725,58,2636
1517533326,80,0
1517536926,67,0
1517540526,59,0
1517544126,57,0
1517547726,78,0
1517551326,90,0
1517554926,81,0
1517558526,84,0
1517562126,105,0
1517565726,115,0
1517569326,105,2
1517572926,82,0
1517576526,99,0
1517580126,85,0
1517583726,101,0
1517587326,125,0
1517590926,115,0
1517594526,111,0
1517598126,61,0
1517601726,100,0
1517605326,87,0
1517608926,306,0
1517612526,86,0
1517616126,82,2961
1517619726,66,0
1517623326,89,0
1517626926,78,0
1517630526,114,0
1517634126,85,0
1517637726,128,0
1517641326,116,0
1517644926,116,0
1517648526,143,0
1517652126,137,0
1517655726,110,0
1517659326,150,0
1517662926,96,1
1517666526,90,0
1517670127,132,0
1517673727,127,0
1517677327,89,0
1517680927,163,0
1517684526,169,0
1517688126,70,0
1517691726,86,0
1517695327,63,0
1517698927,71,0
1517702526,57,2462
1517706126,82,0
1517709726,59,0
1517713326,86,0
