DateTime,AddedIPs,RemovedIPs
1515683912,10,2
1515684771,0,3
1515687475,0,1
1515689256,0,1
1515691062,4,6
1515696460,1,0
1515698257,8,9
1515705465,4,2
1515709061,1,0
1515712660,5,0
1515719861,1,6
1515727062,7,6
1515734259,6,4
1515735155,0,1
1515741456,7,7
1515742359,0,1
1515748658,2,3
1515755863,4,3
1515763062,5,6
1515763960,0,1
1515769402,0,1
1515770256,8,12
1515773863,1,0
1515777479,4,5
1515781075,0,1
1515782862,1,0
1515784672,3,7
1515791861,8,4
1515792763,1,0
1515799967,3,3
1515804470,1,0
1515806260,3,3
1515807165,0,1
1515809863,0,1
1515813461,7,5
1515820664,4,4
1515825168,0,1
1515827863,5,3
1515835072,3,4
1515839570,0,2
1515842259,2,6
1515843163,1,0
1515849466,5,15
1515854866,0,1
1515856685,4,3
1515858469,0,5
1515860260,0,1
1515863862,3,8
1515871075,4,1
1515878289,6,4
1515885475,9,4
1515892678,3,6
1515899873,2,6
1515907082,5,3
1515914272,2,3
1515916070,0,1
1515921472,6,1
1515928673,3,6
1515935886,4,5
1515939476,0,1
1515943075,5,9
1515947577,2,0
1515950279,7,8
1515957483,8,2
1515964672,5,4
1515971881,4,7
1515975479,0,1
1515979079,4,8
1515986280,5,5
1515993475,6,4
1515997977,0,1
1516000674,3,8
1516007881,5,5
1516015077,2,7
1516022267,5,4
1516029500,4,10
1516030384,3,0
1516036686,8,1
1516040276,1,0
1516043877,7,1
1516047477,1,0
1516051073,5,2
1516058275,5,1
1516064622,0,1
1516065471,1,5
1516066373,0,1
1516072675,22,3
1516079878,5,2
1516087081,4,8
1516088873,0,1
1516094277,5,6
1516101474,5,4
1516108676,3,4
1516115875,4,6
1516117769,1,0
1516120373,1,1
1516123075,6,1
1516126675,1,0
1516128474,0,2
1516130273,11,7
1516134778,0,1
1516137480,4,4
1516144679,6,5
1516151882,5,3
1516155481,1,0
1516159080,4,4
1516162673,0,1
1516164472,0,2
1516166275,6,7
1516173477,3,4
1516180677,4,3
1516187877,6,1
1516191478,0,1
1516194223,1,0
1516195072,4,4
1516202276,2,9
1516203182,1,0
1516204087,1,0
1516205874,1,1
1516209479,5,6
1516216680,5,3
1516223875,8,3
1516230225,1,0
1516231082,23,0
1516234683,0,1
1516237427,1,0
1516238280,23,5
1516241873,0,1
1516245477,11,7
1516252683,4,7
1516259882,5,5
1516267077,3,4
1516274285,2,3
1516281473,5,3
1516288695,5,9
1516295887,3,7
1516303073,1,5
1516310278,2,5
1516313886,1,0
1516317484,4,4
1516324685,3,3
1516331882,3,5
1516335476,0,1
1516339075,2,4
1516346272,4,9
1516353477,3,4
1516360681,2,12
1516367876,8,3
1516373271,1,0
1516375090,4,13
1516376882,1,0
1516378689,2,0
1516381438,1,0
1516382284,8,6
1516385885,3,52
1516389482,6,4
1516395837,1,0
1516396685,4,5
1516399436,1,0
1516403892,2,3
1516405683,1,0
1516408391,0,1
1516410236,0,2
1516411082,2,9
1516414684,1,0
1516418282,5,4
1516425492,5,6
1516432677,4,4
1516439881,2,7
1516447077,4,5
1516454279,5,5
1516457880,0,1
1516459683,0,1
1516461479,5,3
1516466044,1,4
1516466877,6,0
1516468690,6,4
1516475888,4,3
1516483086,5,4
1516490285,6,0
1516497483,3,3
1516504679,1,3
1516511887,1,7
1516519077,2,1
1516522681,0,1
1516526276,4,3
1516533482,0,4
1516539831,0,1
1516540681,1,5
1516542479,0,1
1516546084,0,1
1516547031,0,1
1516547886,3,8
1516549680,3,0
1516554226,0,2
1516555078,4,3
1516562278,5,5
1516569487,2,2
1516577581,0,2
1516583883,0,3
1516587486,1,0
1516591085,0,3
1516598295,0,3
1516605480,0,3
1516612680,19,4
1516616278,1,0
1516619877,8,5
1516627080,2,3
1516630690,0,1
1516634286,2,6
1516639682,1,6
1516641482,6,5
1516645087,2,0
1516648688,7,10
1516652283,1,0
1516656785,5,5
1516663086,5,4
1516670286,2,3
1516674780,1,0
1516677489,3,4
1516684694,8,3
1516691885,7,3
1516693688,0,1
1516699087,8,1
1516706290,6,5
1516713485,1,4
1516720685,6,9
1516724377,0,5
1516727925,4,4
1516730633,34,0
1516731484,1,0
1516735085,6,9
1516742294,2,12
1516743186,0,1
1516749483,10,0
1516756688,0,2
1516763878,2,1
1516771083,5,0
1516778287,1,2
1516785487,5,2
1516792681,2,1
1516799888,3,2
1516807088,5,3
1516808872,0,1
1516810679,0,1
1516814286,2,4
1516821555,6,3
1516823302,0,1
1516828679,4,6
1516835883,4,0
1516843089,1,3
1516850286,4,4
1516854783,1,0
1516857500,7,8
1516864692,5,7
1516871899,1,8
1516879091,9,0
1516886283,1,1
1516893487,1,6
1516900688,3,4
1516902483,0,2
1516911488,2,2
1516915101,5,1
1516922289,3,3
1516925888,2,0
1516929487,12,7
1516934891,1,0
1516935850,1,0
1516936691,24,6
1516937585,1,0
1516938487,1,0
1516943889,5,9
1516951088,4,6
1516954694,1,0
1516958287,5,3
1516961884,1,0
1516965484,5,3
1516973612,3,3
1516976283,2,0
1516979896,2,6
1516981688,1,0
1516983493,3,0
1516987099,1,4
1516990684,0,1
1516991588,1,0
1516994293,0,2
1517001485,0,3
1517008697,5,1
1517010492,1,0
1517015887,1,4
1517023086,0,5
1517030290,0,7
1517037492,0,1
1517044694,0,1
1517048291,2,0
1517051883,0,5
1517059091,0,2
1517066287,0,1
1517069885,1,0
1517071691,0,15
1517073487,0,2
1517077098,0,1
1517080685,0,3
1517087880,32,2
1517095080,4,4
1517102290,6,2
1517109484,2,7
1517111284,1,0
1517113095,0,1
1517116695,3,6
1517122085,1,0
1517123883,3,5
1517131080,2,6
1517134679,1,0
1517138283,1,3
1517145482,4,2
1517147277,0,1
1517153669,7,8
1517159892,7,3
1517160783,0,1
1517163501,0,2
1517167085,15,1
1517174288,3,1
1517182392,4,30
1517188677,4,0
1517195897,3,1
1517196793,0,1
1517201287,1,0
1517202241,1,0
1517203099,6,2
1517205828,0,2
1517210286,7,0
1517217505,1,1
1517224688,1,0
1517232796,6,1
1517239082,4,1
1517246290,8,1
1517247177,0,5
1517249028,1,0
1517253483,5,1
1517260694,3,4
1517265185,1,0
1517266982,1,0
1517267886,5,7
1517271477,0,1
1517275095,4,1
1517277783,1,0
1517282284,2,5
1517289489,6,2
1517296685,3,6
1517297581,2,0
1517303043,1,0
1517303884,7,6
1517310242,1,0
1517311087,2,4
1517311983,0,2
1517318287,5,1
1517325487,5,6
1517334526,10,5
1517347099,11,7
1517354290,3,4
1517357039,0,1
1517361501,2,3
1517368685,1,5
1517371439,1,0
1517373194,1,0
1517374091,0,1
1517375901,5,7
1517382240,0,1
1517383095,3,4
1517390292,4,1
1517397488,6,2
1517404682,2,2
1517409190,1,0
1517411887,1,11
1517413690,0,3
1517415489,1,0
1517419176,3,8
1517422691,1,2
1517426282,10,3
1517429887,1,0
1517433485,2,2
1517437099,0,1
1517440693,3,1
1517444291,0,1
1517447893,5,4
1517455094,16,8
1517462291,4,5
1517469490,10,7
1517473090,1,0
1517476684,5,2
1517483898,4,4
1517491091,3,4
1517494687,1,1
1517498287,1,13
1517511097,5,3
1517512693,3,5
1517513599,5,0
1517517197,2,0
1517519886,4,5
1517520797,0,1
1517521694,0,1
1517522631,0,1
1517523499,0,2
1517527094,7,2
1517534289,4,2
1517541496,5,7
1517548695,4,4
1517555887,9,6
1517559484,1,0
1517562201,1,0
1517563097,5,5
1517570288,4,3
1517577492,4,4
1517581085,0,1
1517584684,5,3
1517585585,0,1
1517586560,1,0
1517593742,8,10
1517599103,6,6
1517599984,0,1
1517606286,2,2
1517609890,2,0
1517612639,1,0
1517613490,6,5
1517620699,4,5
1517621586,1,0
1517627891,4,6
1517635095,5,10
1517637827,2,0
1517642289,5,5
1517649495,3,2
1517656687,2,1
1517663036,0,1
1517663885,4,3
1517669288,0,2
1517671105,3,6
1517678291,5,5
1517681881,1,0
1517685484,8,8
1517696285,1,5
1517699894,3,4
1517707089,1,1
1517714285,1,10
1517715194,1,0
1517726027,6,7
1517728691,23,6
1517735893,2,4
1517743086,4,3
1517748492,1,0
1517750292,4,3
1517757492,4,3
1517764694,5,4
