DateTime,AddedIPs,RemovedIPs
1515855753,4,0
1515859352,1,1
1515862953,1,0
1515866553,1,2
1515870152,1,3
1515873753,0,2
1515877353,6,1
1515880955,5,0
1515884555,1,0
1515888156,1,0
1515891755,1,3
1515898955,2,0
1515902556,2,2
1515906216,2,0
1515909755,1,6
1515916956,4,0
1515920616,1,4
1515924156,0,3
1515927755,2,2
1515931416,1,2
1515935015,1,4
1515938555,0,1
1515942157,5,2
1515945756,2,0
1515949416,1,3
1515952957,2,1
1515956616,3,5
1515960156,2,0
1515963758,4,0
1515967417,1,1
1515970957,2,3
1515974556,1,1
1515978216,1,4
1515981756,1,1
1515985356,2,0
1515988957,1,1
1515992616,3,2
1515996156,0,1
1515999756,1,2
1516003358,3,5
1516006957,1,1
1516014157,1,4
1516017757,3,0
1516021357,1,9
1516024957,2,3
1516028557,1,0
1516032217,3,2
1516035757,3,0
1516039358,1,2
1516042957,6,0
1516046557,1,2
1516050157,2,0
1516053758,1,3
1516057358,2,0
1516060957,0,2
1516068238,4,1
1516071778,17,0
1516075379,2,3
1516078978,2,0
1516082578,1,2
1516086180,3,1
1516089778,2,4
1516093379,2,1
1516100578,4,5
1516107779,2,3
1516111379,1,1
1516114979,3,1
1516122179,4,4
1516125779,3,0
1516129379,4,0
1516132980,1,3
1516136580,1,2
1516140179,3,0
1516143780,2,4
1516147379,1,0
1516151008,2,1
1516158180,2,0
1516161779,1,3
1516165379,4,3
1516172579,2,0
1516176180,4,4
1516183380,2,4
1516186980,3,0
1516190579,2,2
1516194179,2,3
1516201380,2,0
1516204980,1,5
1516212181,2,0
1516215781,2,0
1516219382,1,3
1516222980,0,4
1516226582,2,0
1516230181,20,0
1516233721,9,0
1516237380,14,3
1516240981,9,0
1516244580,2,5
1516251785,3,3
1516255385,2,0
1516258925,2,1
1516262585,0,2
1516266185,3,0
1516269726,1,2
1516273386,1,16
1516276986,2,3
1516280585,1,0
1516284185,1,1
1516287786,1,3
1516294928,1,1
1516298588,0,1
1516302188,1,0
1516305788,1,2
1516309387,1,0
1516312988,2,4
1516320128,1,1
1516323788,0,5
1516327388,1,0
1516330988,2,1
1516338131,1,3
1516341791,0,2
1516345394,3,2
1516348935,1,2
1516352534,2,0
1516356135,1,1
1516363394,1,7
1516366995,4,0
1516370595,2,2
1516374135,2,0
1516377795,2,1
1516381335,2,1
1516384995,2,3
1516388595,2,0
1516392195,2,0
1516395795,0,2
1516399335,1,2
1516410136,1,0
1516413796,1,0
1516417395,2,5
1516424595,4,5
1516428195,1,0
1516431736,2,0
1516435395,2,2
1516438936,0,7
1516446195,1,0
1516449796,2,2
1516453396,1,0
1516456995,2,1
1516460596,1,1
1516464136,1,0
1516467736,3,2
1516471396,2,0
1516474936,1,1
1516478596,2,3
1516482196,2,9
1516485796,2,0
1516489396,2,1
1516492997,1,0
1516496536,1,3
1516503796,1,2
1516507397,0,2
1516510997,1,0
1516514596,0,3
1516518197,1,3
1516521797,1,0
1516525397,1,4
1516532537,0,1
1516536136,0,1
1516543397,1,3
1516546997,0,2
1516550597,2,3
1516554197,3,0
1516557797,2,2
1516561337,2,1
1516564997,1,0
1516568537,1,3
1516609990,10,16
1516610791,1,0
1516615374,4,5
1516618974,4,2
1516633375,1,3
1516636975,0,2
1516640575,4,1
1516644175,2,0
1516647774,1,1
1516651434,2,0
1516654975,0,1
1516658575,0,1
1516662177,1,0
1516665777,0,2
1516669375,1,2
1516676575,1,3
1516680175,2,3
1516683775,2,2
1516687375,1,4
1516690975,4,0
1516694575,4,4
1516698175,2,2
1516701776,0,2
1516705389,3,0
1516709067,0,1
1516712593,0,2
1516716194,2,0
1516719733,0,2
1516723334,1,1
1516727002,1,0
1516730601,3,0
1516734201,2,2
1516737803,1,1
1516745002,1,1
1516748541,1,1
1516752202,0,2
1516755807,0,2
1516759406,1,3
1516763005,1,0
1516766544,3,5
1516770204,1,0
1516773804,0,1
1516777404,2,0
1516781005,3,5
1516788204,1,1
1516795345,1,2
1516798944,1,3
1516802605,3,0
1516806147,1,2
1516813405,1,3
1516816945,2,0
1516820605,1,0
1516824145,1,4
1516827745,1,0
1516831345,1,2
1516835006,1,0
1516842212,0,3
1516849406,3,5
1516853007,2,0
1516856606,2,0
1516863806,4,7
1516867406,1,0
1516874546,3,0
1516878146,3,5
1516889006,0,4
1516892606,1,1
1516899806,1,1
1516903406,0,4
1516906946,1,3
1516910607,0,1
1516914206,3,1
1516917746,1,2
1516921406,1,2
1516924946,1,0
1516928966,8,0
1516932148,9,0
1516935807,14,2
1516939407,3,0
1516943007,2,0
1516950146,1,2
1516953746,2,0
1516957406,3,3
1516960946,2,0
1516964546,3,0
1516968207,0,1
1516971806,0,1
1516975347,1,2
1516979009,1,1
1516982548,3,1
1517007702,0,11
1517009049,2,0
1517012099,1,1
1517014945,0,6
1517024586,1,4
1517025786,1,0
1517084624,14,21
1517086963,2,0
1517090625,2,2
1517094163,1,0
1517097763,2,0
1517101363,1,2
1517108623,2,2
1517109164,1,0
1517115824,1,1
1517119424,1,3
1517123024,1,0
1517126564,2,0
1517130164,1,1
1517133764,1,0
1517137425,0,5
1517141025,1,0
1517144564,2,2
1517148164,2,1
1517151765,4,3
1517155424,4,1
1517158964,2,0
1517162624,2,2
1517166225,1,2
1517169764,2,0
1517173365,1,0
1517177025,0,2
1517180625,2,3
1517184225,2,0
1517191365,1,1
1517194965,0,2
1517198565,2,0
1517202165,3,2
1517205765,3,3
1517209425,4,0
1517213025,0,4
1517220226,0,3
1517227366,2,0
1517234625,0,5
1517238165,2,0
1517241765,1,1
1517245365,3,1
1517248966,0,1
1517252626,2,1
1517256226,0,1
1517259766,1,0
1517263366,4,0
1517266966,1,0
1517270566,2,4
1517277766,1,2
1517284966,3,6
1517288566,2,2
1517292166,0,2
1517295766,2,0
1517299366,4,1
1517302966,1,2
1517306566,0,1
1517310166,2,1
1517313766,1,0
1517317426,0,7
1517320966,4,0
1517324566,0,1
1517328166,2,1
1517331766,6,0
1517335366,3,2
1517338966,1,0
1517342567,1,0
1517346167,5,1
1517349766,1,1
1517353427,1,1
1517357027,1,0
1517364167,0,1
1517371367,2,6
1517375027,1,1
1517378567,1,0
1517382167,2,0
1517385767,1,0
1517389367,1,2
1517392967,2,1
1517396567,2,2
1517400167,2,0
1517403827,0,1
1517407367,1,2
1517410968,0,1
1517414568,0,1
1517421767,3,1
1517425368,4,1
1517432568,2,3
1517436228,0,1
1517439768,1,0
1517443368,2,0
1517446968,1,0
1517450568,4,0
1517454168,1,0
1517457828,3,2
1517461428,1,5
1517464968,4,0
1517468568,3,1
1517472168,2,0
1517475768,1,2
1517479368,1,1
1517482968,0,1
1517486568,1,0
1517493768,1,1
1517497369,0,1
1517500969,3,2
1517504568,1,0
1517508168,0,1
