DateTime,AddedIPs,RemovedIPs
1516042957,10,2
1516046557,4,5
1516050157,5,0
1516053758,1,1
1516057358,2,4
1516060957,1,0
1516064557,1,0
1516068238,6,3
1516071778,17,4
1516075379,2,7
1516078978,2,1
1516082578,4,4
1516086180,3,4
1516089778,4,8
1516093379,3,1
1516100578,6,7
1516104179,1,3
1516107779,2,1
1516111379,2,1
1516114979,3,4
1516118578,2,2
1516122179,5,6
1516125779,4,4
1516129379,8,4
1516132980,3,2
1516136580,1,4
1516140179,3,5
1516143780,4,3
1516147379,1,3
1516151008,3,3
1516154580,1,0
1516158180,3,4
1516161779,3,2
1516165379,5,4
1516168980,0,2
1516172579,3,5
1516176180,5,5
1516179779,2,6
1516183380,4,1
1516186980,3,2
1516190579,3,3
1516194179,3,11
1516197780,0,1
1516201380,3,3
1516204980,2,4
1516208580,2,8
1516212181,3,5
1516215781,4,4
1516219382,3,4
1516222980,6,1
1516226582,3,3
1516230181,21,3
1516233721,9,2
1516237380,14,0
1516240981,12,7
1516244580,2,2
1516248185,1,2
1516251785,3,5
1516255385,3,2
1516258925,2,3
1516262585,0,5
1516266185,5,2
1516269726,2,3
1516273386,1,4
1516276986,3,2
1516280585,1,3
1516284185,2,4
1516287786,1,3
1516291388,2,1
1516294928,5,2
1516298588,0,1
1516302188,1,3
1516305788,1,2
1516309387,1,3
1516312988,3,5
1516316587,1,0
1516320128,4,1
1516323788,1,1
1516327388,2,2
1516330988,2,1
1516338131,4,3
1516341791,0,2
1516345394,3,4
1516348935,1,2
1516352534,6,0
1516356135,1,3
1516359795,4,2
1516363394,4,2
1516366995,5,5
1516370595,2,4
1516374135,3,0
1516377795,2,4
1516381335,4,3
1516384995,4,2
1516388595,5,0
1516392195,3,5
1516395795,1,1
1516399335,3,0
1516402995,0,2
1516406596,2,1
1516410136,2,0
1516413796,2,1
1516417395,2,2
1516420995,1,0
1516424595,4,3
1516428195,1,3
1516431736,4,2
1516435395,2,3
1516438936,0,2
1516442595,1,0
1516446195,2,5
1516449796,3,6
1516453396,1,1
1516456995,3,3
1516460596,2,0
1516464136,1,1
1516467736,4,5
1516471396,4,2
1516474936,3,3
1516478596,3,7
1516482196,2,4
1516485796,2,1
1516489396,2,4
1516492997,1,2
1516496536,2,2
1516503796,1,1
1516507397,0,1
1516510997,1,3
1516514596,0,2
1516518197,1,2
1516521797,2,2
1516525397,1,0
1516528997,0,1
1516532537,1,0
1516536136,0,3
1516539737,1,2
1516543397,2,2
1516546997,0,1
1516550597,2,4
1516554197,3,3
1516557797,2,2
1516561337,4,1
1516564997,2,7
1516568537,1,1
1516572198,0,1
1516609990,20,21
1516610791,5,0
1516611774,2,0
1516615374,8,2
1516618974,6,3
1516628814,1,0
1516633375,1,3
1516640575,6,5
1516644175,6,0
1516647774,1,3
1516651434,5,2
1516654975,0,1
1516658575,2,1
1516662177,2,3
1516669375,3,0
1516672975,3,0
1516676575,3,1
1516680175,3,2
1516683775,2,1
1516687375,2,1
1516690975,5,5
1516694575,5,2
1516698175,3,9
1516701776,0,4
1516705389,4,6
1516709067,2,0
1516716194,3,1
1516719733,4,0
1516723334,2,0
1516727002,1,5
1516730601,3,4
1516734201,2,1
1516737803,2,0
1516741404,1,1
1516745002,1,1
1516748541,8,1
1516752202,2,4
1516755807,0,1
1516759406,1,2
1516763005,1,4
1516766544,3,3
1516770204,2,4
1516773804,0,4
1516777404,2,7
1516781005,3,6
1516784605,1,1
1516788204,2,1
1516791804,0,1
1516795345,1,0
1516798944,2,2
1516802605,4,5
1516806147,2,2
1516809804,1,5
1516813405,2,5
1516816945,4,1
1516820605,3,4
1516824145,5,2
1516827745,2,2
1516831345,5,1
1516835006,3,2
1516838606,2,2
1516842212,1,1
1516845745,1,0
1516849406,4,4
1516853007,3,5
1516856606,4,1
1516860146,1,0
1516863806,4,7
1516867406,1,3
1516870946,0,1
1516874546,4,1
1516878146,4,2
1516881806,0,3
1516885346,1,2
1516889006,0,2
1516892606,2,0
1516896206,1,1
1516899806,2,2
1516903406,1,4
1516906946,1,1
1516910607,1,2
1516914206,4,2
1516917746,3,1
1516921406,1,2
1516924946,2,0
1516928607,1,1
1516928966,8,2
1516932148,9,1
1516935807,14,2
1516939407,3,6
1516943007,3,1
1516946606,2,2
1516950146,2,3
1516953746,2,5
1516957406,4,5
1516960946,3,4
1516964546,4,3
1516968207,2,0
1516971806,0,1
1516975347,1,0
1516979009,4,2
1516982548,4,3
1517007702,3,16
1517009049,19,2
1517012099,4,3
1517024586,2,5
1517025786,1,2
1517084624,17,30
1517085680,5,0
1517086963,4,0
1517090625,3,2
1517094163,1,2
1517097763,3,6
1517101363,2,3
1517104963,1,0
1517108623,2,1
1517109164,1,1
1517112165,0,1
1517115824,3,3
1517119424,1,1
1517123024,1,1
1517126564,3,2
1517130164,1,0
1517133764,2,3
1517137425,0,5
1517141025,1,3
1517144564,2,0
1517148164,2,1
1517151765,5,1
1517155424,5,2
1517158964,3,1
1517162624,25,2
1517166225,1,1
1517169764,2,1
1517173365,1,3
1517177025,0,1
1517180625,3,3
1517184225,2,2
1517187766,3,2
1517191365,1,1
1517194965,1,2
1517198565,2,3
1517202165,4,4
1517205765,4,4
1517209425,4,6
1517213025,2,2
1517216565,0,3
1517223765,1,0
1517227366,3,1
1517230965,0,3
1517234625,1,1
1517238165,3,3
1517241765,3,3
1517245365,5,19
1517248966,5,2
1517252626,3,6
1517256226,1,2
1517259766,2,0
1517263366,4,1
1517266966,1,0
1517270566,3,1
1517274166,0,1
1517277766,1,2
1517281366,1,0
1517284966,4,4
1517288566,2,4
1517292166,0,1
1517295766,3,3
1517299366,4,4
1517302966,1,5
1517310166,2,4
1517313766,3,1
1517317426,3,2
1517320966,4,3
1517324566,1,2
1517328166,2,2
1517331766,7,3
1517335366,3,3
1517338966,1,0
1517342567,2,1
1517346167,6,3
1517349766,2,1
1517353427,1,3
1517357027,2,2
1517360567,1,0
1517367767,0,2
1517371367,2,4
1517375027,2,2
1517378567,2,1
1517382167,2,5
1517385767,2,3
1517389367,1,2
1517392967,2,3
1517396567,3,1
1517400167,2,3
1517403827,0,2
1517407367,2,3
1517410968,1,4
1517414568,0,1
1517418168,1,1
1517421767,4,5
1517425368,4,3
1517429028,1,1
1517432568,3,6
1517439768,1,1
1517443368,3,2
1517446968,3,5
1517450568,16,7
1517454168,1,1
1517457828,3,4
1517461428,1,2
1517464968,5,5
1517468568,6,4
1517472168,3,3
1517475768,3,3
1517479368,2,0
1517482968,1,1
1517486568,1,1
1517493768,1,3
1517497369,0,1
1517500969,4,2
1517504568,6,33
1517508168,0,3
1517511769,2,4
1517515428,2,7
1517518969,3,2
1517522568,5,2
1517526169,1,5
1517529769,3,3
1517533429,2,6
1517536969,23,1
1517540569,3,2
1517544169,3,3
1517547769,1,4
1517551369,2,3
1517555029,6,4
1517558629,2,5
1517562169,3,2
1517565769,2,2
1517569369,3,1
1517572969,1,1
1517576629,1,2
1517580169,5,4
1517583769,1,1
1517587369,2,2
1517591029,7,4
1517594569,4,2
1517598169,3,3
1517601770,2,0
1517605370,2,1
1517608970,3,2
1517612630,2,1
1517616170,2,3
1517619830,1,7
1517623370,2,2
1517626970,2,4
1517630570,1,1
1517634170,3,4
1517637770,2,2
1517641370,3,2
1517644970,2,3
1517648630,2,3
1517652230,30,5
1517655770,2,1
1517659370,4,3
1517662970,2,1
1517666570,0,6
1517670230,2,2
1517673770,1,2
1517677370,2,0
1517680970,3,4
1517684570,5,3
1517688170,0,3
1517691770,1,0
1517695370,2,1
1517698971,2,0
1517702571,0,2
1517706171,0,1
1517709770,1,0
1517713370,0,1
1517716971,2,2
1517720571,3,4
1517724171,2,4
1517727831,1,1
1517731371,3,3
1517734971,1,1
1517738631,1,1
1517742231,2,6
1517745831,3,2
1517749371,0,3
1517752971,3,4
1517756571,3,1
1517760232,4,3
1517763831,4,4
1517767371,2,1
1517770972,2,2
1517774572,3,2
1517778171,2,3
1517781831,3,2
1517785372,4,2
1517788972,2,1
1517792632,1,1
1517799772,1,0
1517803372,2,4
1517806972,3,6
1517810572,2,4
1517814172,1,0
1517817772,4,5
1517821372,2,2
1517824972,1,0
1517828632,1,2
1517832232,1,2
1517835772,3,2
1517839372,3,3
1517842972,1,3
1517846572,1,0
1517850172,5,0
1517853832,5,6
1517857432,3,3
1517860972,9,3
1517864572,4,2
1517868172,1,0
1517871772,2,3
1517875372,2,0
1517882572,0,3
1517886172,1,3
1517889773,4,5
1517893373,4,3
1517896973,2,1
1517900633,4,11
1517904173,2,0
1517907773,3,2
1517911373,0,1
1517914973,2,1
1517918573,5,2
1517922173,1,2
1517925773,2,1
1517929373,1,1
1517932973,0,3
1517936573,2,5
1517940173,3,3
1517943773,2,6
1517947433,4,5
1517951033,5,2
1517954633,5,5
1517958173,3,3
1517968973,2,5
1517976174,4,3
1517979774,4,4
1517983374,2,3
1517986974,0,2
1517990634,6,5
1517994174,2,1
