DateTime,AddedIPs,RemovedIPs
1515547816,1,1
1515551577,3,2
1515559273,5,8
1515563129,6,8
1515566960,8,3
1515570784,13,7
1515578555,21,13
1515586252,14,35
1515590024,0,16
1515593868,5,20
1515597719,10,38
1515601554,7,17
1515605393,7,19
1515613325,24,64
1515617162,11,11
1515621014,7,37
1515625081,3,3
1515629159,11,0
1515636840,26,5
1515640689,9,14
1515651953,12,20
1515656063,7,9
1515660132,6,9
1515664210,2,6
1515675955,26,14
1515683643,12,8
1515687719,5,4
1515691578,4,0
1515695383,2,0
1515699250,10,7
1515707198,11,9
1515714846,1,2
1515718665,0,1
1515730714,9,9
1515738339,9,3
1515742456,0,3
1515746314,4,3
1515750064,1,9
1515753954,2,7
1515757780,2,1
1515765751,2,6
1515769580,2,0
1515773409,3,0
1515777245,4,8
1515781118,4,5
1515784909,5,3
1515788765,3,4
1515796467,10,11
1515800264,2,3
1515804060,0,1
1515807895,0,1
1515812083,4,1
1515823791,3,0
1515827666,7,3
1515831715,8,3
1515835478,2,4
1515839366,5,10
1515843228,9,6
1515847094,4,4
1515850866,3,5
1515854974,1,1
1515858884,2,2
1515862643,4,2
1515866553,1,0
1515874173,2,1
1515877973,2,0
1515881846,0,1
1515885642,2,0
1515889495,4,0
1515893342,10,3
1515897229,10,0
1515904910,8,0
1515908723,9,1
1515912823,7,2
1515916707,1,0
1515920557,5,2
1515932072,0,6
1515935836,3,1
1515939667,3,1
1515947376,2,2
1515951294,39,9
1515955083,96,41
1515958904,102,34
1515962799,114,77
1515966592,66,19
1515970670,95,90
1515978353,153,154
1515982203,51,52
1515986266,66,69
1515990121,65,66
1515993960,69,68
1515997996,98,100
1516001902,63,66
1516005675,56,51
1516009543,61,63
1516025405,290,355
1516033094,91,127
1516036895,4,7
1516040721,3,5
1516150691,105,307
1516154563,5,2
1516158346,1,1
1516162467,4,2
1516170106,7,2
1516173906,2,0
1516178050,12,7
1516181892,6,3
1516185730,2,1
1516212649,44,22
1516220215,38,30
1516224110,3,8
1516232044,8,9
1516239754,17,9
1516243565,5,2
1516251437,3,2
1516255272,0,1
1516259399,5,7
1516263250,0,2
1516267331,7,9
1516271430,3,2
1516275506,2,1
1516279513,4,3
1516283405,0,8
1516287208,2,12
1516291050,1,34
1516294964,1,1
1516299066,3,3
1516302844,8,0
1516306939,3,0
1516310779,1,6
1516319055,0,5
1516334773,10,8
1516338612,4,7
1516346268,2,4
1516350079,5,0
1516354220,2,1
1516358055,6,0
1516365985,7,0
1516370301,8,2
1516377962,6,2
1516389974,12,0
1516393788,1,0
1516397917,2,0
1516401708,1,1
1516413482,11,12
1516421205,10,18
1516425010,10,11
1516432878,4,3
1516436962,12,4
1516440861,1,0
1516460174,2,178
1516464277,5,0
1516468110,20,0
1516471979,18,0
1516475809,2,0
1516483462,1,0
1516491254,1,0
1516502658,12,0
1516506511,2,0
1516510369,12,0
1516514195,7,0
1516518046,9,0
1516521862,5,0
1516525861,2,0
1516529536,2,0
1516533376,5,0
1516537109,9,0
1516540815,7,0
1516544669,8,0
1516548494,7,0
1516552335,3,0
1516560012,1,0
1516563855,1,0
1516567716,1,0
1516571552,14,0
1516575382,5,0
1516579273,4,0
1516583076,1,0
1516590756,1,0
1516594593,4,0
1516598432,3,0
1516602291,3,0
1516606218,2,0
1516617864,8,0
1516621969,1,0
1516625803,10,0
1516629650,8,0
1516633492,10,0
1516637302,1,0
1516641399,1,0
1516649082,6,0
1516652896,4,0
1516656597,8,0
1516660349,2,0
1516667782,3,0
1516675451,23,0
1516679294,21,1
1516683145,32,25
1516686973,39,23
1516690820,2,1
1516694679,6,3
1516702337,9,16
1516706175,14,8
1516710281,12,9
1516714126,19,19
1516722024,0,27
1516725866,1,1
1516730728,17,40
1516734517,7,21
1516738610,12,22
1516742442,15,34
1516746278,19,50
1516750729,9,17
1516754417,5,11
1516758276,6,4
1516762129,13,11
1516765953,4,9
1516770052,15,14
1516773877,14,7
1516777702,17,35
1516781725,2,2
1516785654,13,15
1516789464,9,14
1516793326,1,3
1516797395,6,11
1516801248,2,1
1516805085,1,3
1516808906,3,4
1516812768,4,8
1516816868,4,11
1516820668,5,4
1516824503,3,1
1516828369,5,1
1516832220,4,3
1516838197,8,4
1516842039,2,0
1516849710,8,4
1516853555,8,5
1516857404,14,10
1516861231,7,9
1516865073,9,11
1516868914,3,5
1516872766,15,3
1516876597,6,4
1516880425,3,2
1516884276,1,2
1516888108,1,0
1516891965,1,1
1516895815,16,6
1516899643,19,7
1516903476,7,3
1516907323,15,4
1516911112,12,1
1516914998,4,0
1516918850,5,2
1516922929,13,11
1516926775,10,28
1516930618,5,13
1516934449,12,15
1516938281,4,3
1516942127,10,7
1516945966,12,6
1516949816,27,33
1516953640,12,16
1516957483,2,12
1516961340,13,52
1516965395,10,18
1516969496,21,16
1516973331,5,3
1516977346,9,8
1516981218,14,13
1516985099,1,1
1516988937,4,12
1516993085,1,0
1516996833,10,4
1517000686,14,3
1517004538,12,8
1517008648,15,14
1517012439,14,8
1517016292,8,6
1517020119,10,13
1517023979,6,5
1517027819,17,1
1517031626,10,12
1517035485,5,3
1517039319,2,0
1517043164,12,5
1517046991,1,1
1517050840,7,12
1517054689,2,5
1517059108,4,4
1517062825,22,33
1517066924,17,14
1517070741,17,20
1517074856,18,14
1517082793,21,11
1517086612,14,13
1517090448,20,21
1517094307,6,13
1517098390,14,17
1517102213,10,18
1517106055,4,6
1517109892,4,6
1517113751,7,14
1517117581,13,21
1517121435,7,10
1517125237,30,45
1517129194,10,5
1517132915,6,4
1517140611,13,8
1517144448,12,7
1517152241,1,4
1517155945,0,2
1517159804,2,1
1517167472,2,1
1517171312,4,1
1517175187,1,1
1517179030,8,1
1517182858,24,20
1517186679,11,11
1517190560,1,1
1517194356,1,2
1517198207,1,2
1517202056,1,0
1517206128,4,2
1517209941,0,1
1517213794,3,4
1517217638,5,2
1517221501,8,6
1517225311,8,0
1517244527,18,7
1517248361,6,0
1517252190,9,0
1517256056,6,0
1517259874,6,0
1517263734,5,0
1517267549,4,0
1517271412,5,0
1517282906,3,0
1517286769,8,0
1517290605,4,3
1517294424,0,2
1517298286,5,15
1517302104,3,3
1517306302,9,3
1517310295,1,0
1517314266,2,3
1517317945,1,1
1517325910,0,1
1517329968,9,6
1517333828,6,10
1517337625,13,7
1517341471,15,18
1517345242,7,8
1517348916,20,6
1517352768,37,6
1517356583,6,11
