DateTime,AddedIPs,RemovedIPs
1515354144,3,3
1515358019,7,9
1515361914,3,6
1515365686,1,1
1515369464,0,2
1515381126,12,9
1515392633,8,16
1515396446,0,2
1515400303,5,2
1515408232,11,9
1515419752,10,9
1515423604,3,7
1515435538,13,14
1515443296,10,9
1515454953,8,5
1515463090,3,3
1515466984,4,5
1515471102,1,3
1515475157,5,2
1515479190,0,2
1515483083,5,5
1515486934,4,5
1515494641,16,10
1515498615,2,2
1515506391,9,7
1515522266,14,26
1515526262,5,8
1515530068,3,6
1515534131,2,0
1515545785,9,2
1515549584,2,1
1515553282,2,3
1515557355,3,3
1515561210,1,0
1515565085,3,1
1515568953,3,1
1515572723,3,4
1515576573,2,5
1515581177,3,0
1515584989,9,7
1515589114,2,0
1515600707,8,7
1515604532,3,1
1515608365,3,10
1515624115,15,18
1515651601,17,19
1515663872,15,10
1515702664,25,22
1515773697,45,55
1515804353,26,26
1515808085,3,2
1515823935,8,14
1515827870,3,0
1515831857,3,6
1515835583,4,3
1515839467,5,2
1515843496,6,2
1515847426,1,3
1515851369,2,1
1515855286,3,0
1515859236,5,3
1515867380,10,7
1515871358,6,1
1515875190,2,1
1515882818,6,5
1515886509,4,4
1515890504,8,6
1515894363,2,2
1515905963,13,11
1515909757,3,4
1515917717,5,13
1515921459,7,6
1515925482,1,1
1515929654,2,3
1515933434,2,1
1515937241,3,4
1515941140,2,1
1515944953,2,1
1515948818,5,4
1515952693,2,2
1515956477,3,4
1515961993,10,6
1515969732,7,14
1515973655,2,5
1515977395,1,5
1515985090,3,7
1515989166,3,2
1515993020,1,4
1516000944,5,6
1516004768,2,3
1516008614,2,1
1516012678,1,3
1516016563,4,7
1516020404,5,6
1516024224,4,1
1516035982,6,17
1516039812,3,4
1516145173,75,72
1516149030,1,3
1516152856,2,6
1516156684,2,1
1516160471,0,2
1516168158,5,0
1516176183,8,7
1516180257,4,0
1516184044,3,0
1516187841,3,2
1516191731,6,4
1516207499,19,8
1516219552,16,11
1516234914,12,12
1516238792,2,6
1516242630,2,1
1516246482,2,8
1516250503,2,6
1516254340,3,1
1516258220,1,3
1516262274,1,1
1516266108,7,4
1516273846,6,10
1516278130,4,3
1516281945,9,7
1516285757,8,4
1516293453,6,12
1516297534,0,1
1516301402,2,6
1516305446,5,10
1516309534,1,2
1516313372,2,3
1516317462,4,3
1516321519,1,2
1516325624,11,6
1516329703,3,2
1516333520,3,3
1516337601,3,3
1516341695,0,6
1516345790,3,0
1516349595,7,8
1516353690,7,5
1516357550,5,12
1516361366,7,12
1516365465,1,1
1516369527,1,6
1516373354,7,2
1516381026,8,3
1516384899,2,5
1516388719,6,3
1516392513,6,3
1516404318,4,1
1516408138,3,5
1516411997,3,4
1516419652,3,6
1516423512,2,2
1516431434,8,11
1516435270,1,2
1516439379,7,6
1516447047,7,11
1516451145,3,0
1516462846,4,173
1516466663,6,0
1516470522,17,0
1516474368,6,0
1516478202,2,0
1516482029,4,0
1516485873,4,0
1516489727,5,0
1516493554,1,0
1516497387,9,0
1516501222,6,0
1516505075,2,0
1516508903,4,0
1516512769,3,0
1516516615,4,0
1516520425,3,0
1516524264,2,0
1516528107,1,0
1516531937,3,0
1516535798,3,0
1516539633,5,0
1516543475,3,0
1516547329,2,0
1516551171,2,0
1516554988,4,0
1516558826,2,0
1516562682,4,0
1516566501,1,0
1516570347,1,0
1516574211,5,0
1516578431,2,0
1516582131,2,0
1516585961,2,0
1516589810,3,0
1516593648,1,0
1516597476,4,0
1516601345,1,0
1516605161,2,0
1516608991,3,0
1516612843,2,0
1516616680,5,0
1516620503,3,0
1516624350,6,0
1516628185,4,0
1516632036,4,0
1516635872,1,0
1516639696,4,0
1516643537,5,1
1516647401,9,6
1516651216,3,8
1516655068,1,3
1516658910,2,4
1516662750,5,4
1516666599,2,1
1516670450,2,4
1516674294,1,5
1516678122,2,2
1516681971,3,0
1516685818,3,3
1516689644,0,2
1516693348,3,2
1516697085,5,3
1516701175,1,2
1516705003,2,6
1516708867,2,0
1516712692,3,2
1516716759,1,1
1516720626,4,1
1516724425,5,8
1516728289,1,2
1516732394,2,6
1516736252,5,3
1516740057,4,1
1516743910,0,1
1516747747,2,0
1516751804,3,1
1516755659,3,1
1516759481,2,0
1516763329,5,1
1516767195,0,3
1516771031,5,3
1516774857,0,1
1516778704,3,0
1516782544,1,3
1516786614,4,5
1516790463,3,5
1516794309,1,2
1516798126,3,0
1516802245,4,2
1516806100,3,4
1516809889,5,4
1516813755,2,4
1516817846,4,7
1516821649,8,13
1516825516,5,4
1516829362,4,2
1516833195,2,0
1516839204,0,1
1516843035,2,0
1516850715,3,4
1516854539,2,6
1516858402,1,0
1516866080,2,3
1516869899,3,1
1516873742,5,4
1516877582,3,4
1516881428,5,1
1516885292,4,6
1516889099,2,1
1516892946,1,1
1516896792,0,3
1516900634,1,6
1516904483,3,1
1516908295,7,6
1516912129,8,6
1516915980,1,2
1516919842,1,1
1516923662,0,2
1516927509,1,4
1516931618,6,4
1516935424,4,1
1516939285,0,3
1516943123,1,2
1516946945,4,4
1516950822,3,3
1516954720,3,5
1516958480,2,3
1516962343,1,3
1516966148,3,0
1516969985,6,7
1516973823,3,1
1516977804,6,4
1516981523,2,2
1516985344,2,1
1516989415,6,12
1516993124,2,4
1517000735,14,8
1517004582,2,1
1517008709,3,1
1517016339,4,4
1517020162,3,0
1517024034,1,1
1517027861,6,2
1517031688,2,3
1517035569,5,8
1517039415,3,2
1517043247,5,0
1517047028,1,3
1517050897,6,6
1517054731,4,4
1517059163,2,2
1517062919,1,2
1517066982,6,8
1517070821,4,1
1517082857,7,3
1517086656,1,0
1517094423,3,5
1517098448,6,4
1517102270,6,2
1517106123,3,1
1517109944,2,3
1517113818,6,3
1517117656,2,4
1517121550,3,1
1517125323,1,3
1517129272,5,4
1517132991,2,2
1517144559,11,8
1517148527,1,1
1517152317,5,6
1517156015,2,4
1517159849,3,2
1517163679,4,8
1517167530,6,7
1517171372,2,2
1517179115,3,1
1517182990,1,1
1517190650,4,1
1517194442,2,2
1517206152,12,5
1517209965,1,1
1517213817,3,5
1517217672,6,2
1517221546,0,3
1517225362,2,4
1517244605,19,14
1517248403,1,1
1517252221,0,3
1517256175,5,10
1517259905,5,6
1517263763,3,0
1517267592,2,3
1517271455,0,1
1517275296,2,3
1517279092,5,3
1517282947,1,1
1517286798,4,0
1517290642,4,0
1517294458,4,4
1517298322,2,6
1517302160,3,2
1517306327,1,7
1517310320,4,3
1517314318,8,3
1517318195,1,4
1517322076,4,2
1517325938,5,4
1517330006,2,2
1517333906,4,6
1517337701,1,1
1517341516,4,4
1517345299,4,4
1517353292,3,5
1517357088,2,3
1517360940,3,7
1517365019,3,4
1517368859,3,2
1517372716,5,3
1517376567,2,1
1517380376,6,6
1517384279,4,1
1517388045,5,3
1517391928,4,3
1517395723,7,6
1517399638,4,0
1517403449,4,11
1517407342,10,8
1517411374,3,2
1517415203,5,6
1517419117,2,4
1517422863,0,1
1517426716,7,8
1517430542,2,1
1517434382,3,1
1517438224,2,1
1517442087,2,0
1517445922,2,2
1517449785,4,5
1517453627,1,2
1517457483,2,2
1517461433,2,2
1517465140,2,4
1517468989,3,4
1517472818,6,3
1517533773,3,4
1517537596,10,6
1517541465,6,5
1517545307,5,4
1517549132,7,3
1517552990,3,1
1517556841,8,7
1517560651,4,3
1517565438,12,12
1517569369,4,0
1517573160,1,1
1517576973,2,1
1517580835,2,1
1517584645,5,4
1517588335,5,0
1517592343,0,1
1517596176,5,4
1517603843,14,4
1517607740,1,0
1517620037,11,6
1517627671,11,8
1517631505,2,6
1517639164,5,11
1517646810,5,16
1517650674,2,4
1517658623,7,11
1517662457,2,1
1517666301,6,6
1517674454,11,8
1517678294,5,3
1517682119,3,1
1517686060,4,3
1517689784,3,2
1517693671,2,5
1517697786,7,5
1517709565,3,9
1517713596,3,1
1517721215,9,9
1517725090,3,2
1517728941,2,5
1517732988,1,4
1517736932,2,4
1517740785,2,3
1517748398,4,3
1517756275,11,12
1517760136,3,2
1517764172,5,10
1517768096,4,5
1517775982,9,10
1517779870,4,6
1517787581,4,4
1517791381,1,4
1517795134,3,0
1517799071,2,4
1517806706,7,5
1517810588,3,4
1517814457,7,9
1517822033,7,10
1517825911,1,1
1517829791,3,3
1517833630,2,7
1517841310,3,3
1517845183,3,1
1517848988,2,0
1517852715,1,14
1517856597,3,3
1517864286,6,14
1517868147,3,3
1517872217,2,1
1517876059,1,0
1517879887,2,4
1517887554,4,7
1517891362,3,5
1517895331,2,2
1517899078,0,3
1517902874,1,1
1517906693,2,6
1517910610,3,0
1517918231,8,4
1517925964,11,18
1517929780,1,1
1517933649,0,6
1517937598,2,1
1517941516,3,1
1517945348,8,4
1517949189,5,2
1517953018,1,3
1517956887,1,3
1517960718,1,0
1517964581,1,0
1517968416,1,0
1517972264,2,3
1517979944,2,7
1517983796,3,2
1517987585,4,2
1517991443,0,4
1517995270,3,3
1517999112,2,4
