DateTime,AddedIPs,RemovedIPs
1515392584,268,334
1515396409,250,275
1515400265,208,213
1515408192,336,298
1515423555,316,338
1515435510,334,313
1515439420,289,273
1515443246,265,254
1515447096,266,261
1515454935,336,368
1515463068,167,228
1515466954,68,72
1515471065,306,186
1515475127,311,308
1515479169,306,338
1515483055,343,342
1515486896,302,317
1515494602,235,300
1515498591,79,110
1515506345,356,248
1515522209,372,360
1515526216,127,173
1515530050,66,104
1515534106,31,42
1515541880,179,206
1515545731,38,36
1515549545,11,9
1515553261,10,7
1515557347,27,23
1515561203,311,163
1515565065,291,260
1515568925,367,362
1515572714,351,355
1515576562,198,201
1515581154,269,264
1515584966,84,272
1515589103,177,205
1515600665,283,190
1515604489,320,316
1515608334,337,327
1515624069,315,316
1515651559,250,315
1515663804,149,172
1515687332,332,201
1515695010,435,377
1515702625,331,428
1515706612,149,160
1515773659,358,317
1515804323,305,368
1515808064,18,28
1515823912,74,70
1515827843,137,105
1515831849,185,100
1515835572,177,155
1515839459,196,201
1515843463,170,164
1515847386,152,155
1515851359,200,195
1515855250,168,164
1515859204,172,178
1515863323,199,197
1515867326,48,51
1515871330,30,39
1515875167,15,17
1515879107,18,39
1515882805,11,22
1515886500,246,241
1515890486,263,221
1515894349,259,264
1515905946,436,436
1515909737,219,219
1515917687,106,123
1515921450,45,58
1515925449,20,29
1515929620,14,47
1515933414,8,15
1515937233,24,51
1515941107,12,24
1515944921,13,20
1515948781,18,53
1515952650,92,76
1515956459,105,42
1515961957,138,71
1515965744,93,98
1515969682,90,91
1515973618,92,78
1515977366,100,102
1515981229,88,87
1515985040,70,81
1515989120,53,61
1515992976,87,87
1516000896,164,170
1516004718,44,33
1516008562,136,239
1516012638,177,295
1516016509,202,195
1516020355,211,204
1516024164,162,165
1516028282,173,169
1516032120,136,129
1516035930,77,80
1516039776,95,131
1516141301,344,180
1516145132,315,336
1516148979,289,193
1516152809,307,358
1516156631,298,337
1516160443,322,307
1516164329,292,342
1516168136,85,128
1516176122,103,153
1516180207,75,77
1516184019,75,79
1516187814,159,162
1516191690,174,124
1516195795,160,109
1516199644,161,147
1516203508,156,231
1516207452,159,159
1516215447,259,230
1516219511,201,205
1516234866,267,244
1516238723,150,108
1516242578,65,50
1516246419,25,24
1516250467,12,17
1516254300,49,63
1516258177,56,118
1516262242,67,135
1516266066,177,181
1516269941,113,115
1516273791,64,67
1516281481,103,85
1516285306,40,32
1516289129,65,75
1516292982,53,48
1516300876,114,121
1516308436,182,190
1516328306,382,174
1516332513,383,392
1516336548,350,381
1516348029,395,354
1516359614,340,386
1516371630,355,329
1516375436,351,369
1516410776,329,357
1516414887,343,327
1516418718,286,262
1516422475,301,284
1516438100,401,383
1516445822,355,395
1516461422,340,365
1516465246,327,340
1516469123,337,326
1516472937,326,337
1516476761,79,91
1516480602,10,9
1516484431,8,6
1516488302,13,11
1516492107,6,8
1516495950,15,14
1516499786,19,19
