DateTime,AddedIPs,RemovedIPs
1515590974,52,91
1515594787,142,103
1515598650,74,77
1515602471,59,63
1515606437,94,79
1515618134,401,433
1515621933,96,80
1515626002,50,57
1515630116,56,49
1515642124,202,197
1515649615,172,171
1515657713,193,228
1515661777,189,154
1515665869,96,94
1515673552,218,213
1515681224,104,112
1515685288,101,95
1515689130,80,81
1515693376,88,85
1515697267,90,92
1515704950,213,216
1515709029,37,70
1515712827,90,96
1515716723,67,27
1515720803,49,48
1515724618,138,132
1515728735,96,107
1515732896,132,124
1515736656,69,72
1515740472,169,169
1515744329,56,57
1515748173,188,181
1515752004,129,134
1515759916,235,235
1515763780,41,40
1515767605,62,111
1515771458,161,108
1515775269,60,57
1515779127,39,41
1515782958,63,64
1515790639,257,260
1515794500,48,56
1515798678,58,73
1515802367,91,72
1515806194,67,99
1515810048,45,17
1515813888,101,101
1515817976,56,52
1515821843,50,54
1515825886,64,60
1515829714,214,213
1515833606,53,55
1515837410,120,138
1515841289,95,69
1515845096,56,73
1515848972,176,155
1515852770,46,47
1515856600,52,76
1515860447,168,142
1515864268,79,78
1515868101,69,71
1515872220,134,135
1515876051,114,115
1515879888,35,51
1515883731,42,67
1515887568,60,69
1515891465,115,67
1515895306,89,94
1515902983,214,214
1515906769,68,66
1515910640,158,160
1515914694,67,64
1515918556,105,138
1515922354,94,57
1515926226,56,142
1515930038,134,44
1515933882,40,44
1515937749,138,137
1515941590,47,50
1515945464,55,110
1515949324,179,122
1515953094,75,73
1515957001,94,96
1515962036,165,169
1515969788,120,147
1515973693,54,56
1515977432,89,66
1515985130,172,161
1515989217,64,68
1515993065,123,120
1516000986,183,181
1516004824,63,64
1516008662,64,65
1516012730,74,74
1516016627,106,108
1516020450,187,184
1516039847,306,303
1516145217,426,439
1516149081,55,72
1516152920,67,71
1516156732,74,53
1516160520,43,84
1516168195,121,124
1516180308,169,133
1516184076,47,83
1516187874,150,96
1516191773,39,42
1516207551,314,315
1516219599,337,345
1516234967,258,249
1516238836,135,130
1516242690,68,68
1516246543,119,118
1516250555,88,91
1516254398,68,66
1516258295,129,126
1516262317,55,58
1516266163,127,158
1516273909,214,186
1516285785,282,319
1516293508,227,189
1516297576,56,63
1516305488,316,303
1516309604,76,79
1516313437,33,61
1516317503,50,53
1516321562,43,85
1516329759,235,175
1516333570,135,157
1516337646,82,54
1516341752,86,105
1516345841,83,62
1516353742,161,160
1516361409,199,200
1516369576,103,175
1516373426,159,86
1516381080,102,133
1516384963,97,66
1516388757,171,165
1516392546,98,103
1516396699,52,70
1516404373,70,105
1516408169,166,120
1516412072,44,58
1516419682,147,170
1516423559,45,10
1516431481,145,145
1516439438,149,143
1516447106,155,151
1516459016,5,441
1516462850,51,0
1516466671,160,0
1516470536,211,0
1516474372,123,109
1516478207,40,44
1516482035,37,41
1516485877,36,42
1516489729,36,40
1516493556,31,36
1516497390,37,37
1516501225,186,180
1516505078,94,87
1516508907,104,155
1516512775,87,33
1516516626,98,102
1516520428,53,44
1516524268,47,50
1516528111,75,74
1516531940,226,228
1516535803,45,49
1516539639,101,150
1516543478,107,51
1516547334,59,96
1516551177,190,146
1516554990,57,63
1516558830,54,58
1516562684,128,134
1516566503,40,42
1516570351,57,85
1516574215,129,151
1516578437,72,12
1516582134,76,96
1516585963,33,71
1516589816,32,22
1516593652,90,71
1516597479,86,62
1516601349,55,49
1516605168,82,82
1516608993,39,44
1516612845,39,37
1516616687,152,146
1516620506,84,86
1516624356,78,155
1516628187,100,63
1516632038,63,69
1516635875,131,82
1516639698,48,51
1516643539,27,29
1516647405,157,154
1516651218,119,123
1516655072,60,82
1516658913,102,95
1516662753,36,27
1516666603,49,44
1516670453,76,77
1516674298,111,109
1516678132,61,76
1516681975,97,86
1516685823,110,106
