DateTime,AddedIPs,RemovedIPs
1515441215,2,2
1515450448,7,8
1515454463,3,2
1515458427,6,5
1515462453,1,3
1515470388,5,2
1515474412,2,3
1515478374,3,2
1515482153,2,1
1515485944,4,0
1515489837,4,3
1515497576,2,5
1515505211,3,3
1515509092,3,4
1515520657,3,4
1515532106,11,4
1515540991,8,2
1515545082,3,3
1515548903,2,0
1515552782,2,3
1515556879,2,2
1515560729,0,1
1515564530,8,1
1515568363,1,1
1515572195,1,0
1515576048,3,2
1515579899,14,4
1515583999,4,9
1515587822,3,6
1515591918,1,4
1515595770,9,8
1515599605,1,2
1515603458,1,4
1515607300,16,14
1515619058,9,25
1515622894,1,1
1515626961,2,3
1515634871,7,15
1515638689,4,6
1515642579,2,2
1515650164,4,10
1515654113,8,10
1515662260,6,8
1515666328,5,4
1515670197,4,1
1515674021,0,6
1515677868,3,3
1515681700,2,3
1515685774,5,4
1515697319,7,3
1515704985,12,3
1515709047,2,0
1515720851,3,2
1515724665,3,0
1515728764,1,0
1515732938,1,1
1515740534,5,3
1515748215,5,4
1515752039,1,1
1515759950,1,4
1515767640,0,5
1515771512,2,1
1515779173,2,1
1515794565,5,1
1515798734,2,0
1515802872,2,0
1515806964,0,1
1515811059,2,2
1515814837,3,0
1515818682,2,1
1515822811,3,2
1515826874,2,3
1515830734,4,3
1515834583,2,1
1515838372,2,0
1515842230,2,0
1515846054,1,0
1515849873,4,0
1515853741,1,0
1515861650,2,1
1515865492,2,0
1515873639,0,1
1515881323,1,0
1515885205,2,1
1515889012,3,4
1515892847,2,2
1515896706,2,3
1515900560,5,4
1515904390,2,2
1515908237,2,0
1515912294,2,1
1515916135,7,2
1515920002,5,1
1515923836,1,2
1515927646,0,1
1515931504,2,0
1515935352,5,3
1515939179,2,1
1515943018,1,4
1515946836,2,2
1515950671,3,5
1515954525,2,1
1515958366,1,0
1515962074,1,2
1515969841,6,11
1515973723,1,4
1515977476,5,3
1515985164,5,6
1515989262,4,4
1515993102,6,2
1516001016,2,2
1516008711,0,2
1516020499,10,10
1516039876,15,16
1516145259,58,71
1516149132,1,1
1516160569,6,8
1516168229,0,5
1516180356,17,8
1516184105,3,2
1516187903,4,7
1516191814,2,0
1516207594,15,19
1516219638,7,10
1516235016,7,4
1516238867,2,1
1516246607,4,2
1516250623,2,3
1516254456,2,1
1516262354,7,4
1516266208,4,1
1516285808,10,15
1516293558,4,6
1516297625,0,4
1516305515,5,5
1516309653,2,7
1516313488,2,4
1516321601,3,1
1516329818,1,4
1516333621,4,2
1516337688,1,2
1516341813,1,1
1516345886,4,5
1516353791,2,5
1516361450,2,2
1516369625,6,7
1516373493,2,2
1516381131,10,8
1516385024,3,3
1516388788,2,6
1516392588,2,2
1516396748,1,1
1516404428,4,3
1516408199,6,1
1516419720,8,5
1516423612,4,2
1516431532,3,1
1516439499,2,0
1516447153,1,3
1516459020,0,155
1516462855,5,0
1516466676,3,0
1516470543,8,0
1516474375,6,0
1516478210,1,0
1516482039,2,0
1516485879,6,0
1516489730,2,0
1516497391,5,0
1516501227,2,0
1516505080,1,0
1516512777,2,0
1516516631,3,0
1516520429,3,0
1516524269,6,0
1516528112,2,0
1516531941,4,0
1516535807,1,0
1516539641,4,0
1516543481,2,0
1516547337,2,0
1516551178,3,0
1516554991,1,0
1516558833,3,0
1516562685,4,0
1516566504,1,0
1516570354,3,0
1516574219,1,0
1516582135,2,0
1516585965,2,0
1516589819,2,0
1516593653,2,0
1516597481,4,0
1516601351,2,0
1516605172,1,0
1516608995,2,0
1516612847,4,0
1516616693,2,0
1516620508,1,0
1516624358,3,0
1516628189,5,0
1516632041,5,0
1516639700,1,0
1516643541,3,0
1516647413,5,0
1516651223,3,0
1516655074,2,0
1516658915,2,0
1516662755,1,0
1516674301,2,0
1516678140,2,0
1516685826,5,0
1516689648,6,0
1516693363,4,0
1516697089,4,0
1516701182,2,0
1516705010,2,0
1516712699,3,0
1516716765,3,0
1516720631,2,0
1516724429,2,2
1516728297,4,1
1516732408,5,8
1516736273,5,7
1516740084,2,1
1516743928,5,1
1516747769,5,9
1516751816,1,4
1516755690,4,11
1516759490,4,4
1516763342,6,4
1516767212,3,5
1516771053,3,2
1516774873,12,8
1516778717,6,5
1516782566,3,3
1516786628,3,3
1516790471,1,2
1516794322,1,5
1516798134,4,4
1516802267,1,0
1516806129,0,1
1516809902,5,2
1516813772,10,19
1516817857,4,4
1516821661,4,3
1516825542,4,2
1516829384,3,4
1516833218,4,0
1516839221,4,5
1516843062,5,6
1516850728,2,2
1516854553,1,1
1516858429,4,4
1516866103,12,19
1516869913,1,1
1516873763,1,3
1516877593,1,1
1516881446,0,3
1516885319,3,1
1516889110,2,3
1516892963,2,1
1516896818,2,2
1516900649,1,0
1516904509,3,4
1516908311,2,3
1516912143,2,2
1516915991,1,3
1516919858,6,4
1516923682,5,4
1516927527,5,8
1516931639,2,4
1516935434,6,6
1516939310,4,2
1516943143,2,2
1516946961,3,6
1516950856,7,8
1516954735,2,0
1516958495,3,5
1516962371,3,0
1516966183,0,1
1516970001,4,3
1516973839,4,4
1516977830,5,3
1516981554,7,6
1516985356,2,4
1516989427,2,7
1516993144,2,7
1517000749,5,6
1517004596,6,5
1517008729,5,7
1517012494,6,7
1517016351,2,1
1517020177,1,1
1517024046,0,1
1517027877,3,3
1517031708,3,4
1517035583,1,0
1517039445,1,0
1517043258,0,1
1517047044,3,2
1517050930,0,2
1517054744,6,7
1517059180,6,5
1517062947,7,8
1517066997,2,3
1517070848,11,10
1517082870,13,17
1517086666,8,10
1517090556,12,9
