DateTime,AddedIPs,RemovedIPs
1515231242,3,2
1515235102,1,5
1515239154,5,0
1515254764,3,11
1515270381,12,4
1515278105,1,5
1515289579,2,2
1515301174,4,4
1515305200,1,4
1515316689,5,3
1515320525,0,2
1515324407,0,2
1515332059,6,4
1515335958,2,0
1515339697,0,3
1515343622,2,0
1515351305,6,1
1515355089,3,2
1515358981,3,2
1515362765,0,6
1515366851,3,3
1515370906,3,1
1515374798,5,1
1515378572,3,2
1515382741,0,3
1515386566,1,6
1515410040,5,9
1515417692,7,2
1515421580,1,0
1515429534,5,3
1515433323,0,1
1515437440,1,3
1515441241,4,2
1515450478,1,2
1515454480,1,4
1515458460,3,0
1515462468,6,2
1515470421,4,3
1515474446,4,4
1515478417,0,2
1515482195,3,2
1515485973,1,4
1515489870,5,0
1515493666,1,3
1515497623,2,1
1515505239,2,5
1515513193,3,4
1515521137,5,1
1515525183,3,2
1515529052,3,1
1515536955,0,2
1515541052,1,5
1515545089,1,1
1515552825,6,2
1515556913,2,3
1515560771,2,1
1515564554,0,6
1515568382,3,2
1515572205,2,3
1515576062,9,2
1515579935,0,1
1515584043,3,3
1515595813,4,6
1515599654,1,1
1515603516,0,1
1515619099,7,7
1515622945,0,4
1515627023,1,1
1515634914,6,3
1515638727,2,1
1515650217,2,2
1515654166,1,5
1515662301,3,4
1515674063,4,4
1515697372,5,4
1515705016,6,4
1515709069,0,1
1515712875,1,2
1515720908,3,3
1515724714,3,1
1515728796,0,3
1515732985,7,2
1515748261,4,4
1515752079,1,3
1515759987,7,6
1515767684,4,4
1515771564,3,3
1515775363,6,2
1515779218,0,1
1515802885,7,11
1515807007,2,0
1515811110,0,3
1515818689,0,2
1515822853,1,1
1515830784,2,0
1515834637,2,0
1515838388,2,0
1515842238,1,2
1515846071,0,2
1515849896,7,0
1515853751,0,3
1515857608,1,0
1515861659,3,5
1515865509,1,1
1515869654,1,1
1515873652,2,3
1515877515,2,2
1515881329,1,1
1515885213,1,1
1515889022,1,2
1515896738,2,2
1515900597,0,1
1515904417,1,1
1515912322,1,0
1515916167,2,1
1515920054,0,1
1515923881,0,2
1515927693,2,2
1515931531,1,2
1515939191,2,2
1515943034,2,4
1515946846,2,0
1515950680,1,2
1515954548,0,1
1515958388,2,1
1515962112,2,2
1515966065,2,2
1515969888,3,0
1515973751,5,2
1515977534,2,1
1515985192,3,5
1515993137,1,2
1515997016,2,2
1516001044,2,0
1516004953,1,2
1516008762,2,3
1516020549,4,5
1516039904,6,6
1516145300,8,7
1516149182,1,2
1516160612,2,0
1516168293,2,0
1516180389,1,2
1516184146,2,0
1516187933,5,2
1516191862,1,1
1516207647,2,9
1516219670,7,5
1516227662,2,4
1516231507,4,2
1516235380,0,2
1516239198,1,1
1516247122,1,0
1516250981,2,0
1516258923,4,2
1516262716,0,5
1516266582,3,0
1516274297,6,4
1516285836,4,8
1516293602,5,5
1516297685,0,1
1516305542,7,6
1516313531,6,1
1516317572,2,5
1516321637,1,4
1516329867,9,4
1516333671,2,1
1516337732,3,7
1516341872,3,0
1516345932,3,4
1516353841,6,3
1516361477,6,6
1516369680,3,8
1516381193,8,5
1516385083,1,3
1516388826,4,2
1516392618,2,0
1516396790,0,8
1516404501,7,4
1516408229,7,0
1516419772,1,9
1516423674,0,1
1516431585,8,2
1516439571,3,6
1516443836,3,4
1516448013,9,1
1516452055,1,2
1516459960,0,13
1516463808,1,0
1516467630,4,0
1516471476,5,0
1516475350,0,2
1516498818,2,0
1516502665,2,2
1516506520,1,4
1516510378,2,3
1516514205,5,0
1516518066,1,2
1516521871,3,2
1516525870,0,5
1516529553,2,2
1516533391,3,4
1516537131,2,0
1516540823,2,2
1516544686,1,1
1516548504,1,4
1516552349,2,0
1516560020,3,0
1516563867,1,0
1516571572,4,0
1516575390,3,0
1516598443,4,1
1516617871,2,0
1516637308,1,0
1516649092,8,0
1516652906,1,0
1516660361,1,0
1516671627,1,0
1516714158,1,0
1516722032,3,2
1516725882,2,2
1516730752,1,28
1516734545,2,3
1516738640,5,3
1516742463,1,1
1516746298,2,3
1516750742,2,2
1516754432,1,3
1516758301,3,0
1516762153,5,4
1516765976,0,2
1516770090,0,2
1516773894,4,4
1516777721,3,0
1516781749,2,2
1516785696,3,4
1516789488,5,3
1516793343,0,2
1516797412,3,1
1516801282,0,5
1516805107,5,2
1516808932,2,2
1516812782,0,1
1516816927,3,4
1516820688,5,1
