DateTime,AddedIPs,RemovedIPs
1515727981,4,3
1515731581,6,11
1515735181,10,12
1515738781,6,4
1515745981,6,5
1515749581,8,9
1515753181,6,5
1515756781,5,3
1515760381,6,8
1515767581,11,13
1515771181,7,7
1515774781,6,9
1515778381,6,5
1515785581,11,10
1515792782,8,8
1515796827,11,11
1515803581,10,10
1515810781,9,7
1515814381,10,11
1515821581,6,5
1515825181,15,13
1515832381,6,4
1515835982,3,6
1515839581,3,3
1515843182,5,4
1515850381,5,8
1515853981,7,11
1515857581,8,7
1515861181,7,5
1515868381,7,5
1515871981,12,12
1515875581,1,3
1515879181,4,7
1515886381,8,8
1515889981,6,2
1515893581,11,9
1515900781,6,10
1515904381,11,11
1515911582,4,4
1515915181,9,12
1515918781,9,7
1515925981,10,8
1515929581,7,8
1515933181,6,7
1515936781,3,3
1515940381,9,8
1515947582,7,5
1515951182,8,9
1515954782,17,15
1515958382,4,4
1515961981,5,7
1515965581,6,8
1515969181,6,3
1515972781,2,4
1515976381,7,6
1515983582,10,9
1515987181,8,9
1515990781,7,6
1515997981,18,17
1516001581,3,4
1516005181,7,7
1516012382,11,9
1516015981,14,13
1516019581,4,3
1516026781,12,13
1516030381,7,6
1516033981,13,10
1516037581,10,15
1516041181,9,10
1516044781,15,14
1516048381,7,6
1516051981,11,11
1516055581,9,9
1516059181,8,8
1516066381,6,7
1516069981,15,14
1516073581,9,9
1516080781,6,5
1516084381,10,10
1516091581,2,3
1516095182,13,14
1516098781,10,12
1516102381,5,7
1516105982,6,5
1516109581,11,8
1516113181,6,8
1516116781,6,5
1516120382,10,10
1516123981,5,7
1516127581,13,12
1516131181,4,3
1516134781,6,8
1516141981,10,7
1516145581,10,11
1516149181,5,5
1516152782,11,7
1516156381,11,13
1516163581,11,10
1516167181,15,12
1516174381,5,9
1516177982,8,10
1516185181,7,8
1516188781,6,5
1516195981,13,11
1516199581,11,12
1516206781,11,13
1516210381,5,4
1516217581,14,13
1516221181,10,10
1516228382,9,11
1516231981,13,9
1516235581,10,10
1516242781,7,9
1516246381,6,11
1516253581,13,9
1516257181,7,8
1516264381,11,8
1516267981,10,10
1516275181,12,11
1516278781,4,6
1516282381,11,12
1516289581,5,3
1516293181,13,13
1516296781,6,7
1516303981,9,7
1516307581,14,15
1516311181,9,8
1516314782,9,10
1516318382,8,11
1516321981,8,8
1516329181,10,7
1516332781,8,7
1516336382,9,11
1516343581,12,12
1516347182,8,9
1516350782,19,18
1516357981,12,15
1516361581,15,13
1516368781,22,20
1516372381,9,10
1516375981,6,7
1516383182,13,15
1516390382,8,7
1516393981,8,7
1516397581,7,7
1516404781,6,8
1516408382,11,9
1516411981,8,8
1516415581,5,5
1516422781,19,19
1516426381,5,6
1516433581,17,16
1516437182,9,13
1516444826,14,11
1516451581,12,13
1516458781,8,7
1516462381,12,13
1516465981,5,5
1516469581,5,5
1516473181,9,10
1516480381,10,8
1516483981,7,7
1516487581,5,10
1516491181,8,7
1516498381,10,8
1516501981,8,6
1516509181,10,9
1516512781,8,9
1516516381,9,9
1516523581,11,9
1516527181,15,14
1516534381,14,12
1516537981,8,9
1516545181,14,15
1516548781,12,15
1516555981,12,11
1516559581,7,7
1516563181,12,7
1516566782,5,10
1516573981,8,8
1516577581,13,13
1516584781,6,4
1516588381,13,12
1516591981,10,10
1516599181,18,21
1516602781,8,8
1516609981,14,16
1516613582,11,11
1516617182,7,7
1516620781,12,12
1516627981,10,11
1516631581,16,15
1516635181,5,6
1516638782,10,9
1516642381,10,10
1516649581,12,12
1516656781,11,13
1516660381,5,7
1516663982,8,6
1516667581,14,13
1516671182,8,7
1516678381,8,7
1516681982,11,12
1516689181,10,10
1516692782,5,6
1516696381,11,9
1516699981,7,5
1516703581,7,9
1516707181,8,8
1516710781,11,12
1516714381,4,3
1516717982,3,6
1516721582,10,9
1516725181,10,7
1516728782,12,8
1516732381,12,15
1516739581,6,8
1516743182,11,9
1516746781,4,5
1516750381,7,4
1516753982,8,7
1516757581,4,6
1516761181,5,6
1516768381,13,12
1516771981,13,14
1516779181,13,16
1516782781,14,14
1516789981,19,15
1516793581,7,8
1516800781,9,13
1516804381,9,7
1516811581,14,13
1516815181,7,8
1516818782,10,10
1516825982,14,12
1516833182,4,5
1516836781,17,16
1516840381,10,8
1516843981,6,5
1516851181,15,14
1516854782,8,11
1516858381,7,7
1516861981,8,6
1516865581,10,15
1516869182,3,5
1516872781,6,5
1516876381,8,7
1516879981,6,4
1516883581,10,7
1516887181,7,9
1516890781,7,10
1516897981,14,14
1516901581,10,11
1516905181,7,8
1516908782,9,7
1516912382,3,3
1516915982,10,11
1516923182,9,5
1516926781,11,12
1516933981,8,8
1516937581,4,6
1516941181,11,13
1516944781,8,7
1516948381,6,8
1516955581,7,8
1516959181,10,10
1516962781,9,7
1516966381,7,7
1516973581,9,9
1516977181,9,9
1516980782,14,13
1516984381,10,8
1516991582,12,15
1516995181,5,4
1517002381,15,14
1517005981,7,8
1517009581,13,14
1517013182,9,7
1517020381,15,12
1517027581,10,10
1517031181,12,13
1517038381,6,8
1517041981,14,15
1517045581,12,13
1517049181,11,10
1517052781,7,4
1517056381,11,13
1517059981,9,8
1517067181,14,15
1517070781,11,12
1517077981,8,8
1517081581,12,12
1517085181,9,8
1517088781,6,6
1517092381,7,10
1517095981,9,8
1517099581,11,9
1517103181,10,7
1517106782,4,7
1517110381,7,7
1517117581,15,11
1517121181,6,11
1517124781,11,8
1517128382,8,9
1517131982,7,9
1517135581,15,11
1517139182,8,7
1517142781,11,11
1517149981,14,15
1517153581,12,14
1517160781,9,8
1517164381,13,16
1517167981,11,9
1517171581,7,7
1517175182,6,6
1517182381,13,12
1517185981,8,7
1517189581,2,4
1517193181,3,3
1517200381,15,13
1517203981,5,4
1517211181,15,18
1517214781,8,5
1517218382,8,7
1517225581,6,7
1517229181,6,11
1517236381,12,7
1517239981,13,11
1517243581,8,11
1517250781,7,5
1517254381,7,11
1517257982,8,5
1517261581,12,11
1517265181,9,8
1517268781,8,6
1517275981,16,16
1517279581,8,11
1517286781,9,14
1517290381,9,7
1517293981,12,9
1517301181,13,13
1517304782,10,9
1517311981,11,11
1517315581,11,11
1517322781,11,14
1517326381,13,14
1517333581,11,11
1517337181,7,8
1517340781,10,7
1517344381,11,11
1517351581,9,7
1517355181,11,12
1517362381,10,10
1517365981,5,8
1517373181,12,10
1517376782,7,10
1517380381,16,13
